"sample.depths","sample.ages","Abies","Acer.saccharum.type","Artemisia","Betula","Chamaedaphne.calyculata","Cupressaceae","Cyperaceae","Empetrum","Fagus","Gaultheria","Picea","Quercus","Thalictrum","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Alnus","Fraxinus","Myrica","Pinus","Amaranthaceae","Poaceae","Plantago","Ericaceae.undiff.","Acer.rubrum","Ambrosia.type","Larix","Asteraceae.subf..Cichorioideae","Ostrya.Carpinus","Cornus","Ledum","Salix","Tilia","Pyrus.type","Carya","Cephalanthus","Gaylussacia","Ilex","Rhododendron","Rosaceae.undiff.","Juglans","Corylus","Ranunculaceae.undiff.","Populus","Sanguisorba","Brassicaceae","Caryophyllaceae","Polygonum"
0,261,0.0439189189189189,0.00844594594594595,0.00337837837837838,0.173986486486486,0.0219594594594595,0.00337837837837838,0.00675675675675676,0.0304054054054054,0.00337837837837838,0.00168918918918919,0.130067567567568,0.00675675675675676,0.00168918918918919,0.0523648648648649,0.00168918918918919,0.00168918918918919,0.00337837837837838,0.0540540540540541,0.00168918918918919,0.0320945945945946,0.383445945945946,0.00168918918918919,0.0219594594594595,0.00337837837837838,0.00675675675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,304,0.0555555555555556,0.0123456790123457,0.00205761316872428,0.226337448559671,0.051440329218107,0,0.00411522633744856,0.0534979423868313,0.00205761316872428,0.0102880658436214,0.148148148148148,0,0,0.0102880658436214,0.00205761316872428,0.00411522633744856,0.00617283950617284,0.0864197530864197,0.00411522633744856,0.104938271604938,0.137860082304527,0,0.0185185185185185,0,0.0185185185185185,0.00205761316872428,0.0308641975308642,0.00205761316872428,0.00205761316872428,0.00205761316872428,0.00205761316872428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,348,0.0381861575178998,0,0,0.252983293556086,0.0501193317422434,0.00477326968973747,0.00238663484486874,0.0620525059665871,0.00954653937947494,0.00238663484486874,0.210023866348449,0.00477326968973747,0.00238663484486874,0.0501193317422434,0,0.00238663484486874,0.0071599045346062,0.0238663484486874,0,0.0477326968973747,0.167064439140811,0,0.0071599045346062,0.00238663484486874,0.0238663484486874,0,0.00954653937947494,0,0,0,0,0.0190930787589499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,394,0.0786163522012579,0,0,0.135220125786164,0.207547169811321,0,0.00314465408805031,0.0251572327044025,0,0,0.176100628930818,0,0,0.0283018867924528,0,0,0.00314465408805031,0.0377358490566038,0,0.122641509433962,0.141509433962264,0,0.00314465408805031,0,0.00943396226415094,0,0,0,0,0.00314465408805031,0,0.0188679245283019,0.00314465408805031,0.00314465408805031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,441,0.0161527165932452,0.00587371512481645,0,0.149779735682819,0.0719530102790015,0,0,0.1071953010279,0.00146842878120411,0.00146842878120411,0.211453744493392,0.00440528634361234,0,0.0543318649045521,0,0.00293685756240822,0,0.0117474302496329,0,0.0337738619676946,0.279001468428781,0,0,0,0.0367107195301028,0.00146842878120411,0.00146842878120411,0,0,0,0,0.00734214390602056,0,0.00146842878120411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,490,0.0752864157119476,0.0016366612111293,0,0.0965630114566285,0.0343698854337152,0,0.0016366612111293,0.055646481178396,0.00981996726677578,0,0.202945990180033,0,0,0.104746317512275,0,0.0016366612111293,0.0016366612111293,0.00981996726677578,0.00327332242225859,0.016366612111293,0.356792144026187,0,0,0,0.0147299509001637,0,0,0.0016366612111293,0,0.0016366612111293,0,0.00818330605564648,0,0,0.0016366612111293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,540,0.0734463276836158,0,0,0.177966101694915,0.0254237288135593,0,0,0.0790960451977401,0.0225988700564972,0,0.23728813559322,0.00564971751412429,0,0.0819209039548023,0,0.00282485875706215,0,0.0112994350282486,0.00282485875706215,0.0112994350282486,0.242937853107345,0,0,0,0.0169491525423729,0,0.00282485875706215,0,0,0,0,0.00564971751412429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,592,0.0406732117812062,0.00140252454417952,0,0.210378681626928,0.0532959326788219,0.00280504908835905,0.00280504908835905,0.0771388499298738,0.0308555399719495,0,0.141654978962132,0.00140252454417952,0,0.091164095371669,0,0,0,0.0154277699859748,0,0.0392706872370266,0.237026647966339,0,0,0,0.0266479663394109,0,0,0,0,0,0,0.0140252454417952,0,0,0.00841514726507714,0.00140252454417952,0.00140252454417952,0.00140252454417952,0.00140252454417952,0,0,0,0,0,0,0,0,0,0
45,700,0.0542521994134897,0.00146627565982405,0,0.278592375366569,0.0395894428152493,0,0.00146627565982405,0.107038123167155,0.0146627565982405,0.00293255131964809,0.156891495601173,0,0,0.0865102639296188,0,0.00146627565982405,0,0.00586510263929619,0,0.0219941348973607,0.156891495601173,0.00146627565982405,0,0,0.030791788856305,0,0.00146627565982405,0.00293255131964809,0,0,0,0.0190615835777126,0,0,0.00879765395894428,0,0.00586510263929619,0,0,0,0,0,0,0,0,0,0,0,0
50,756,0.0355987055016181,0.00323624595469256,0,0.15210355987055,0.029126213592233,0,0,0.0485436893203883,0.00647249190938511,0,0.216828478964401,0.00323624595469256,0,0.242718446601942,0,0.00323624595469256,0,0.00323624595469256,0,0.0129449838187702,0.216828478964401,0,0.00323624595469256,0,0.00970873786407767,0,0,0.00970873786407767,0,0.00323624595469256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,814,0.086080586080586,0.00183150183150183,0,0.106227106227106,0.0750915750915751,0,0,0.0457875457875458,0.0146520146520147,0,0.086080586080586,0.00366300366300366,0,0.108058608058608,0,0.00183150183150183,0.206959706959707,0.00915750915750916,0,0.0146520146520147,0.131868131868132,0,0,0,0.0549450549450549,0,0,0.00183150183150183,0,0,0,0.0274725274725275,0,0.00183150183150183,0.00183150183150183,0,0,0.00183150183150183,0.0128205128205128,0.00549450549450549,0,0,0,0,0,0,0,0,0
60,873,0.062374245472837,0.00603621730382294,0,0.160965794768612,0.0422535211267606,0.00603621730382294,0,0.142857142857143,0.0201207243460765,0,0.138832997987928,0.00804828973843058,0,0.0824949698189135,0,0.00402414486921529,0,0.0100603621730382,0.00201207243460765,0.028169014084507,0.219315895372233,0,0.00201207243460765,0,0.0442655935613682,0,0,0,0,0.00201207243460765,0,0.00603621730382294,0,0,0,0,0,0,0.0100603621730382,0,0.00201207243460765,0,0,0,0,0,0,0,0
65,934,0.138413685847589,0.0031104199066874,0,0.118195956454121,0.0077760497667185,0,0,0.0326594090202177,0.0186625194401244,0,0.166407465007776,0,0,0.121306376360809,0,0.0031104199066874,0,0.0062208398133748,0,0.0451010886469673,0.250388802488336,0,0,0,0.0342146189735614,0,0,0,0,0,0,0.046656298600311,0,0,0.0031104199066874,0,0,0,0.0031104199066874,0,0,0.0015552099533437,0,0,0,0,0,0,0
70,996,0.0143266475644699,0.00286532951289398,0,0.140401146131805,0.120343839541547,0,0,0.212034383954155,0.00859598853868195,0,0.111747851002865,0.00286532951289398,0,0.0859598853868195,0,0.00286532951289398,0,0.00859598853868195,0,0.0114613180515759,0.214899713467049,0,0,0,0.0515759312320917,0,0,0,0,0,0,0,0.00859598853868195,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1060,0.118226600985222,0,0,0.0541871921182266,0.0197044334975369,0,0,0.0147783251231527,0.0147783251231527,0,0.25615763546798,0,0,0.118226600985222,0,0,0,0,0,0.0147783251231527,0.32512315270936,0,0,0,0.0295566502463054,0,0,0.00985221674876847,0,0,0,0.0246305418719212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1125,0.0566037735849057,0,0,0.245283018867925,0.0754716981132075,0,0.00377358490566038,0.00377358490566038,0.0150943396226415,0,0.166037735849057,0,0,0.0867924528301887,0,0,0,0.00754716981132075,0,0.00754716981132075,0.275471698113208,0,0.00377358490566038,0,0.00377358490566038,0,0,0.0113207547169811,0,0,0,0.0113207547169811,0,0,0.0264150943396226,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1261,0.043343653250774,0.00619195046439629,0,0.513931888544892,0.00619195046439629,0,0,0.0123839009287926,0.0154798761609907,0,0.0773993808049536,0.00309597523219814,0,0.0743034055727554,0,0.00309597523219814,0,0.021671826625387,0,0.043343653250774,0.164086687306502,0,0,0,0.00309597523219814,0,0,0,0,0,0,0.00928792569659443,0,0,0,0,0.00309597523219814,0,0,0,0,0,0,0,0,0,0,0,0
100,1402,0.0333863275039746,0.0111287758346582,0,0.260731319554849,0.00317965023847377,0.00158982511923688,0.00158982511923688,0.0349761526232114,0.0317965023847377,0,0.124006359300477,0,0,0.124006359300477,0,0.00476947535771065,0,0.0254372019077901,0.00158982511923688,0.106518282988871,0.213036565977742,0,0,0,0.00794912559618442,0,0,0.00317965023847377,0,0,0,0.0111287758346582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1475,0.08130081300813,0,0,0.113821138211382,0.024390243902439,0,0,0.032520325203252,0.105691056910569,0,0.08130081300813,0,0,0.113821138211382,0,0,0,0.008130081300813,0,0.056910569105691,0.365853658536585,0.008130081300813,0,0,0.008130081300813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1550,0.0474452554744526,0.00364963503649635,0,0.200729927007299,0,0,0,0.0291970802919708,0.0182481751824818,0,0.0985401459854015,0,0,0.182481751824818,0,0.00364963503649635,0,0.00364963503649635,0.0109489051094891,0.0875912408759124,0.291970802919708,0.00364963503649635,0,0,0.00364963503649635,0,0,0.0072992700729927,0,0,0,0.0072992700729927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1626,0.0988142292490119,0.00790513833992095,0,0.126482213438735,0,0,0,0.0434782608695652,0.0355731225296443,0,0.142292490118577,0.0158102766798419,0,0.067193675889328,0,0,0,0.0197628458498024,0.00395256916996047,0.0790513833992095,0.300395256916996,0,0,0,0.00790513833992095,0,0,0.0118577075098814,0,0.00395256916996047,0,0.0158102766798419,0,0,0,0.0197628458498024,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1703,0.0453563714902808,0,0.00215982721382289,0.123110151187905,0.00431965442764579,0,0.00215982721382289,0.019438444924406,0.00431965442764579,0,0.103671706263499,0.00215982721382289,0,0.170626349892009,0,0,0,0.0172786177105832,0,0.0518358531317495,0.423326133909287,0,0,0,0.0107991360691145,0,0,0.00215982721382289,0,0.00215982721382289,0,0.00647948164146868,0,0,0,0,0,0.00215982721382289,0,0.00647948164146868,0,0,0,0,0,0,0,0,0
125,1782,0.097560975609756,0.0016260162601626,0,0.105691056910569,0.0048780487804878,0,0.0016260162601626,0.0617886178861789,0.0211382113821138,0.0016260162601626,0.19349593495935,0.0032520325203252,0,0.0195121951219512,0,0.0097560975609756,0,0.008130081300813,0,0.0292682926829268,0.414634146341463,0,0,0,0.0032520325203252,0,0,0.0065040650406504,0,0.0016260162601626,0,0.0097560975609756,0,0.0016260162601626,0,0,0.0016260162601626,0,0,0,0,0.0016260162601626,0,0,0,0,0,0,0
130,1863,0.0304568527918782,0.00338409475465313,0.00169204737732657,0.22165820642978,0.00169204737732657,0,0,0.0473773265651438,0.0169204737732657,0.00169204737732657,0.170896785109983,0.00338409475465313,0,0.126903553299492,0.00169204737732657,0.0050761421319797,0,0.0169204737732657,0.0050761421319797,0.027072758037225,0.277495769881557,0,0.00169204737732657,0,0.011844331641286,0.00338409475465313,0,0.0050761421319797,0,0.00338409475465313,0,0.011844331641286,0,0,0,0.00169204737732657,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0
