"sample.depths","sample.ages","Acer.negundo","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Betula","Bidens.type","Carya","Caryophyllaceae","Iva.annua.type","Corylus","Cyperaceae","Fraxinus..tricolpate.","Fraxinus.undiff.","Gleditsia","Poaceae.undiff.","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Liquidambar","Morus","Nyssa","Ostrya.Carpinus","Pinus.subg..Pinus","Pinus.undiff.","Planera.aquatica","Platanus","Quercus","Rhus","Rubus","Rumex","Salix","Sambucus","Spiraea.type","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Xanthium","Zea.mays","Amaranthaceae","Cupressaceae.undiff.","Acer.saccharinum","Cephalanthus.occidentalis","Populus.deltoides.type","Viburnum.acerifolium.type","Viburnum.lentago.type","Celtis.Maclura.type","Fraxinus.pennsylvanica.F..americana.type","Artemisia","Asteraceae.subf..Cichorioideae","Plantago.undiff.","Taxodium","Thalictrum","Urtica","Toxicodendron.radicans","Fraxinus.quadrangulata.F..nigra.type","Tilia","Acer.saccharum","Prunus.virginiana.type","Lamiaceae.undiff.","Plantago.major","Polygonum.hydropiper.type","Clethra","Fabaceae","Juglans.undiff.","Onagraceae.undiff.","Apiaceae","Berchemia.scandens","Mentha.type","Humulus","Calycanthus","Plantago.lanceolata","Picea","Polygonum.aviculare","Fagus","Ilex.type","Abies","Galium","Brassicaceae","Impatiens","Cirsium.Carduus.type","Myrica.type","Ranunculus.flabellaris.type","Gaura","Saxifragaceae","Achillea.type","Epilobium","Shepherdia.argentea","Prunus.undiff.","Potentilla","Viburnum.opulus.type","Cornus.canadensis.type","Prunus.americana.type","Larix","Shepherdia.canadensis"
0,-32,0.00606520090978014,0.00151630022744503,0.00151630022744503,0.22289613343442,0.0045489006823351,0.0090978013646702,0.0090978013646702,0.0272934040940106,0.00303260045489007,0.00151630022744503,0.0697498104624716,0.00758150113722517,0.0197119029567854,0.00303260045489007,0.0227445034116755,0.00606520090978014,0.00151630022744503,0.00151630022744503,0.0166793025018954,0.00151630022744503,0.00151630022744503,0.00606520090978014,0.0106141015921152,0.00379075056861259,0.00151630022744503,0.0151630022744503,0.141015921152388,0.00303260045489007,0.00303260045489007,0.00606520090978014,0.0530705079605762,0.0151630022744503,0.00606520090978014,0.0379075056861259,0.0166793025018954,0.0121304018195603,0.0151630022744503,0.0136467020470053,0.00606520090978014,0.137983320697498,0.00303260045489007,0.0181956027293404,0.0227445034116755,0.00151630022744503,0.00303260045489007,0.00151630022744503,0.00758150113722517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,303,0.00198216055500496,0.00594648166501487,0.00198216055500496,0.0594648166501487,0.0178394449950446,0.00991080277502478,0.0138751238850347,0.0218037661050545,0.00198216055500496,0.0198216055500496,0.0277502477700694,0.0317145688800793,0.0376610505450942,0,0.0356788899900892,0,0.00198216055500496,0.00198216055500496,0.0198216055500496,0,0.00198216055500496,0.00991080277502478,0.0158572844400396,0.0109018830525273,0.00396432111000991,0.0218037661050545,0.22001982160555,0.00198216055500496,0,0,0.0733399405351833,0.0178394449950446,0.00198216055500496,0.111000991080278,0.0495540138751239,0.00594648166501487,0.00594648166501487,0,0.00396432111000991,0.0713577799801784,0.00198216055500496,0.00198216055500496,0.0396432111000991,0.00198216055500496,0,0,0.00991080277502478,0.00594648166501487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,535,0.00543478260869565,0,0.00181159420289855,0.159420289855072,0.0217391304347826,0.0253623188405797,0.0217391304347826,0.00543478260869565,0.0036231884057971,0.00181159420289855,0.0181159420289855,0.036231884057971,0.0199275362318841,0.00181159420289855,0.0253623188405797,0.0199275362318841,0,0.00181159420289855,0.0144927536231884,0,0,0.00905797101449275,0.0036231884057971,0.0126811594202899,0,0.00905797101449275,0.21195652173913,0,0.00181159420289855,0.00181159420289855,0.115942028985507,0.0072463768115942,0,0.0398550724637681,0.068840579710145,0.0126811594202899,0.0036231884057971,0,0.0036231884057971,0.0543478260869565,0.00543478260869565,0.00905797101449275,0,0.00181159420289855,0.0126811594202899,0.00543478260869565,0.0072463768115942,0,0.00181159420289855,0.00181159420289855,0.0036231884057971,0.0036231884057971,0.00181159420289855,0.00181159420289855,0.0036231884057971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.5,561,0.002,0,0.002,0.208,0.022,0.018,0.012,0.002,0.004,0,0.006,0.012,0.006,0.002,0.034,0.004,0,0.004,0.018,0,0.004,0.012,0.004,0.024,0,0.016,0.188,0,0.002,0,0.166,0.006,0,0.042,0.068,0.008,0.008,0,0.01,0.048,0,0.002,0,0.002,0,0.004,0.018,0,0,0,0.004,0,0.002,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,587,0,0,0.00596125186289121,0.137108792846498,0.0163934426229508,0.014903129657228,0.00894187779433681,0.00894187779433681,0.0014903129657228,0.00745156482861401,0.0342771982116244,0.0417287630402385,0.0253353204172876,0.0014903129657228,0.029806259314456,0,0,0,0.0208643815201192,0,0,0.0193740685543964,0.0104321907600596,0.0029806259314456,0.00596125186289121,0.0208643815201192,0.180327868852459,0,0,0,0.135618479880775,0.014903129657228,0,0.0760059612518629,0.0536512667660209,0.014903129657228,0.00447093889716841,0.00447093889716841,0.0104321907600596,0.0536512667660209,0.0029806259314456,0.0029806259314456,0.00745156482861401,0,0,0.00447093889716841,0.0104321907600596,0,0,0,0,0,0,0,0,0,0.00596125186289121,0,0.0029806259314456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2153,0,0,0.00211416490486258,0.135306553911205,0,0.0126849894291755,0.0190274841437632,0.00211416490486258,0.00211416490486258,0,0.040169133192389,0.0359408033826638,0.0126849894291755,0,0.0317124735729387,0,0,0,0.0211416490486258,0,0.0105708245243129,0.00845665961945032,0.00211416490486258,0.0105708245243129,0,0.0147991543340381,0.272727272727273,0,0,0,0.095137420718816,0,0.00211416490486258,0.00634249471458774,0.06553911205074,0.0422832980972516,0.0105708245243129,0,0.0105708245243129,0.0782241014799154,0.0126849894291755,0.00845665961945032,0.00422832980972516,0,0,0,0.0147991543340381,0,0,0,0.00634249471458774,0.00211416490486258,0,0,0,0,0,0,0,0.00211416490486258,0.00422832980972516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2466,0.00481347773766546,0,0.00240673886883273,0.10589651022864,0.00962695547533093,0.0144404332129964,0.00962695547533093,0.0072202166064982,0,0.00240673886883273,0.0192539109506619,0.0481347773766546,0.0072202166064982,0.00240673886883273,0.0385078219013237,0,0,0,0.0409145607701564,0,0,0.0120336943441637,0.0240673886883273,0.0204572803850782,0.00240673886883273,0.0072202166064982,0.247894103489771,0,0,0.00240673886883273,0.120336943441637,0,0,0.0288808664259928,0.0336943441636582,0.00481347773766546,0.0144404332129964,0,0,0.1323706377858,0.00481347773766546,0.0120336943441637,0,0.00240673886883273,0,0,0.00481347773766546,0,0,0,0.0072202166064982,0,0.00240673886883273,0,0,0,0,0,0,0,0.00240673886883273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,3093,0.00613496932515337,0.00408997955010225,0.00204498977505112,0.118609406952965,0.00408997955010225,0.0184049079754601,0.0204498977505112,0.0143149284253579,0,0,0.0347648261758691,0.0388548057259714,0.0102249488752556,0.00204498977505112,0.0368098159509202,0,0,0,0.0204498977505112,0,0.00204498977505112,0.0143149284253579,0.0081799591002045,0.0204498977505112,0,0.00613496932515337,0.282208588957055,0,0.00204498977505112,0.0102249488752556,0.0449897750511247,0.00204498977505112,0,0.032719836400818,0.0572597137014315,0.0224948875255624,0.00408997955010225,0,0.00613496932515337,0.0961145194274029,0.00408997955010225,0.0265848670756646,0,0,0.00613496932515337,0,0.0081799591002045,0,0,0,0.00204498977505112,0,0.0102249488752556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3719,0.00893854748603352,0,0.00446927374301676,0.0759776536312849,0.00670391061452514,0.00893854748603352,0.0268156424581006,0.0111731843575419,0,0,0.0491620111731844,0.0581005586592179,0,0,0.017877094972067,0,0,0,0.017877094972067,0,0.00223463687150838,0.00446927374301676,0.0134078212290503,0.00558659217877095,0,0.00670391061452514,0.265921787709497,0,0,0,0.0893854748603352,0.00223463687150838,0,0.0424581005586592,0.046927374301676,0.0156424581005587,0.00223463687150838,0,0.00670391061452514,0.136312849162011,0,0.0335195530726257,0,0,0.00446927374301676,0,0.0134078212290503,0,0,0,0.00893854748603352,0,0.00446927374301676,0,0,0,0,0.00446927374301676,0,0,0,0.00223463687150838,0.00223463687150838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,4346,0.00195121951219512,0,0,0.0370731707317073,0,0.015609756097561,0.0331707317073171,0.00195121951219512,0,0.00195121951219512,0.0507317073170732,0.048780487804878,0.0136585365853659,0.00195121951219512,0.0370731707317073,0,0,0,0.0097560975609756,0,0,0.00195121951219512,0.00585365853658537,0.0048780487804878,0,0.00195121951219512,0.253658536585366,0,0,0,0.199024390243902,0,0,0.0253658536585366,0.0097560975609756,0.0175609756097561,0.00195121951219512,0,0.00780487804878049,0.0780487804878049,0.00195121951219512,0.0663414634146341,0,0,0.00390243902439024,0,0.0117073170731707,0,0,0,0.0117073170731707,0,0.00195121951219512,0,0,0,0,0.00195121951219512,0.00195121951219512,0,0.00390243902439024,0,0,0.0253658536585366,0.00195121951219512,0.00390243902439024,0.00195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
