"sample.depths","sample.ages","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.balsamifera","Populus.tremuloides","Quercus","Ribes","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Viburnum","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","cf..Lysimachia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dalea","Euphorbia","Fabaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Onagraceae","Plantago","Poaceae","Polygala","Polygonum","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifraga.oppositifolia","Thalictrum","Urtica","Xanthium"
45,1809,0,0.000965250965250965,0,0,0.00772200772200772,0.0193050193050193,0.000965250965250965,0,0.0028957528957529,0,0,0,0,0.0028957528957529,0.00193050193050193,0.0106177606177606,0.1496138996139,0,0.00193050193050193,0.0318532818532819,0,0.0106177606177606,0,0,0,0,0.0028957528957529,0,0.0888030888030888,0.00193050193050193,0.0347490347490347,0.0617760617760618,0.00482625482625483,0.00193050193050193,0,0,0,0.0608108108108108,0.237451737451737,0.00193050193050193,0,0.000965250965250965,0,0,0,0.000965250965250965,0,0,0,0.252895752895753,0,0.000965250965250965,0,0,0.000965250965250965,0.00193050193050193,0,0,0.000965250965250965,0,0.00193050193050193
65,2618,0,0,0,0.00105932203389831,0.0148305084745763,0.0185381355932203,0.000529661016949153,0.00211864406779661,0.00582627118644068,0,0,0.00211864406779661,0.000529661016949153,0.000529661016949153,0.00105932203389831,0.00900423728813559,0.0836864406779661,0,0.0132415254237288,0.0227754237288136,0,0.0100635593220339,0,0,0,0,0.00317796610169492,0,0.0201271186440678,0.000529661016949153,0.0211864406779661,0.0169491525423729,0.00105932203389831,0,0,0,0,0.0105932203389831,0.284957627118644,0,0,0.000529661016949153,0,0,0,0.000529661016949153,0,0,0.000529661016949153,0.444385593220339,0.000529661016949153,0.000529661016949153,0.00370762711864407,0,0.00158898305084746,0.00158898305084746,0.000529661016949153,0,0.00105932203389831,0,0
90,3630,0,0,0,0,0.00820067534973468,0.0144717800289436,0,0.000964785335262904,0.00289435600578871,0,0,0.00289435600578871,0,0.000482392667631452,0,0.00385914134105162,0.0395561987457791,0,0.00289435600578871,0.0178485287023637,0,0.00530631934394597,0.000964785335262904,0,0,0.000964785335262904,0.00241196333815726,0.000482392667631452,0.0106126386878919,0.00144717800289436,0.0183309213699952,0.0139893873613121,0,0,0,0.000482392667631452,0,0.00289435600578871,0.13941148094549,0,0,0,0,0,0.000964785335262904,0.000482392667631452,0,0,0,0.7009165460685,0.000482392667631452,0.000964785335262904,0.000964785335262904,0,0.00241196333815726,0.000964785335262904,0,0,0,0,0.000482392667631452
110,4439,0,0,0,0,0.00577756379393356,0.0115551275878671,0,0.00337024554646124,0.000481463649494463,0,0,0.000962927298988926,0,0,0.000481463649494463,0.0052961001444391,0.0452575830524795,0,0.00240731824747232,0.0158883004333173,0,0.00385170919595571,0,0,0,0,0.0052961001444391,0,0.00722195474241695,0.000962927298988926,0.0264805007221955,0.0163697640828117,0.000481463649494463,0,0,0,0,0.00337024554646124,0.139624458353394,0,0,0.000481463649494463,0,0,0,0,0.000481463649494463,0,0,0.696677900818488,0,0.000481463649494463,0,0,0.00288878189696678,0,0.00288878189696678,0,0.000962927298988926,0,0
130,5249,0,0.000485908649173955,0.000485908649173955,0,0.00583090379008746,0.00534499514091351,0,0.00194363459669582,0.00242954324586978,0.000485908649173955,0,0.00242954324586978,0.000485908649173955,0.000485908649173955,0.00097181729834791,0.00194363459669582,0.0359572400388727,0,0.00388726919339164,0.010689990281827,0,0.00242954324586978,0,0,0,0,0.00242954324586978,0,0.00923226433430515,0.00097181729834791,0.0233236151603499,0.0150631681243926,0,0,0,0.000485908649173955,0,0.00728862973760933,0.139941690962099,0,0,0.00097181729834791,0,0,0,0.00097181729834791,0.00097181729834791,0,0,0.71865889212828,0,0.000485908649173955,0,0,0.00097181729834791,0,0.00097181729834791,0,0,0,0.00097181729834791
155,6261,0,0,0,0,0.00466321243523316,0.00259067357512953,0,0.00103626943005181,0.000518134715025907,0,0,0.00103626943005181,0,0.00103626943005181,0,0.00207253886010363,0.0191709844559586,0,0.000518134715025907,0.00829015544041451,0,0.00310880829015544,0,0,0,0,0.00155440414507772,0,0.00362694300518135,0.00362694300518135,0.0181347150259067,0.00829015544041451,0,0.000518134715025907,0,0,0,0.00569948186528497,0.0953367875647668,0.000518134715025907,0,0.00103626943005181,0,0,0,0.000518134715025907,0,0.000518134715025907,0,0.811917098445596,0,0.00103626943005181,0,0,0.000518134715025907,0,0.00155440414507772,0,0,0,0.00155440414507772
175,7070,0,0,0,0,0.00391006842619746,0.00244379276637341,0,0.00244379276637341,0.000977517106549365,0,0,0.000977517106549365,0,0.000488758553274682,0.000488758553274682,0.00195503421309873,0.0185728250244379,0,0.00146627565982405,0.0083088954056696,0,0.00146627565982405,0,0,0,0,0.00293255131964809,0,0.0146627565982405,0.00342130987292278,0.0224828934506354,0.00928641251221896,0,0,0,0,0,0.00879765395894428,0.15347018572825,0,0,0,0,0.000488758553274682,0,0.00146627565982405,0.000488758553274682,0.000488758553274682,0,0.73069403714565,0,0.000977517106549365,0,0,0.00488758553274682,0,0.000977517106549365,0,0.000488758553274682,0,0.000488758553274682
195,7879,0,0,0,0,0.00162425554953979,0.00270709258256632,0,0.00108283703302653,0.00108283703302653,0,0,0.00108283703302653,0,0,0,0.0075798592311857,0.0194910665944775,0,0.00270709258256632,0.00541418516513265,0,0.00162425554953979,0,0,0,0,0.00108283703302653,0,0.0216567406605306,0.00324851109907959,0.0297780184082296,0.0108283703302653,0,0,0,0,0,0.010286951813752,0.175961017866811,0.00162425554953979,0,0,0,0.00162425554953979,0,0.000541418516513265,0,0,0,0.695722793719545,0,0,0,0.000541418516513265,0,0,0,0.000541418516513265,0.000541418516513265,0,0.00162425554953979
217,8770,0,0,0,0,0.00145631067961165,0.00388349514563107,0,0.00194174757281553,0,0,0,0.00194174757281553,0,0,0,0.0160194174757282,0.0368932038834951,0,0.00242718446601942,0.0101941747572816,0,0.00145631067961165,0.000485436893203883,0.000485436893203883,0,0,0.00194174757281553,0,0.0592233009708738,0.00194174757281553,0.041747572815534,0.0140776699029126,0.000485436893203883,0,0,0.000970873786407767,0,0.012621359223301,0.237864077669903,0.000970873786407767,0,0,0,0,0,0,0.000485436893203883,0,0,0.544660194174757,0,0,0,0,0.00242718446601942,0.00145631067961165,0.000485436893203883,0,0.000485436893203883,0,0.000970873786407767
233,9417,0.000517330574236937,0.00103466114847387,0,0,0.00258665287118469,0.0098292809105018,0.000517330574236937,0.00206932229694775,0.00465597516813244,0,0,0.00155199172271081,0,0.00258665287118469,0,0.0362131401965856,0.0610450077599586,0,0.0118986032074496,0.0181065700982928,0,0.00517330574236937,0.00103466114847387,0.000517330574236937,0,0.000517330574236937,0.00724262803931712,0,0.112778065183652,0.00310398344542162,0.0698396275219866,0.0186239006725297,0.00155199172271081,0.00310398344542162,0,0,0,0.0300051733057424,0.340920848422142,0.00258665287118469,0,0,0,0.00206932229694775,0,0,0,0,0.000517330574236937,0.243145369891361,0,0.00103466114847387,0,0,0.000517330574236937,0,0.000517330574236937,0,0.00103466114847387,0,0.00155199172271081
