"sample.depths","sample.ages","upland.sum","Abies","Acer.negundo","Acer.rubrum","Acer.saccharum","Alnus","Betula","Carya","Corylus","Cupressaceae","Ephedra","Ericaceae","Fraxinus.nigra","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.undiff.","Populus.balsamifera","Populus.tremuloides","Quercus","Ribes","Salix","Sarcobatus.vermiculatus","Shepherdia.argentea","Shepherdia.canadensis","Tilia","Ulmus","Viburnum","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Brassicaceae","Campanula","Caryophyllaceae","cf..Lysimachia","Chenopodiaceae.Amaranthaceae","Cyperaceae","Dalea","Euphorbia","Fabaceae","Humulus","Iva.annua.type","Iva.xanthifolia","Lamiaceae","Liliaceae","Onagraceae","Plantago","Poaceae","Polygala","Polygonum","Potentilla","Ranunculaceae.undiff.","Ranunculus","Rosaceae","Rumex","Saxifraga.oppositifolia","Thalictrum","Urtica","Xanthium"
45,1809,1036,0,1,0,0,8,20,1,0,3,0,0,0,0,3,2,11,155,0,2,33,0,11,0,0,0,0,3,0,92,2,36,64,5,2,0,0,0,63,246,2,0,1,0,0,0,1,0,0,0,262,0,1,0,0,1,2,0,0,1,0,2
65,2618,1888,0,0,0,2,28,35,1,4,11,0,0,4,1,1,2,17,158,0,25,43,0,19,0,0,0,0,6,0,38,1,40,32,2,0,0,0,0,20,538,0,0,1,0,0,0,1,0,0,1,839,1,1,7,0,3,3,1,0,2,0,0
90,3630,2073,0,0,0,0,17,30,0,2,6,0,0,6,0,1,0,8,82,0,6,37,0,11,2,0,0,2,5,1,22,3,38,29,0,0,0,1,0,6,289,0,0,0,0,0,2,1,0,0,0,1453,1,2,2,0,5,2,0,0,0,0,1
110,4439,2077,0,0,0,0,12,24,0,7,1,0,0,2,0,0,1,11,94,0,5,33,0,8,0,0,0,0,11,0,15,2,55,34,1,0,0,0,0,7,290,0,0,1,0,0,0,0,1,0,0,1447,0,1,0,0,6,0,6,0,2,0,0
130,5249,2058,0,1,1,0,12,11,0,4,5,1,0,5,1,1,2,4,74,0,8,22,0,5,0,0,0,0,5,0,19,2,48,31,0,0,0,1,0,15,288,0,0,2,0,0,0,2,2,0,0,1479,0,1,0,0,2,0,2,0,0,0,2
155,6261,1930,0,0,0,0,9,5,0,2,1,0,0,2,0,2,0,4,37,0,1,16,0,6,0,0,0,0,3,0,7,7,35,16,0,1,0,0,0,11,184,1,0,2,0,0,0,1,0,1,0,1567,0,2,0,0,1,0,3,0,0,0,3
175,7070,2046,0,0,0,0,8,5,0,5,2,0,0,2,0,1,1,4,38,0,3,17,0,3,0,0,0,0,6,0,30,7,46,19,0,0,0,0,0,18,314,0,0,0,0,1,0,3,1,1,0,1495,0,2,0,0,10,0,2,0,1,0,1
195,7879,1847,0,0,0,0,3,5,0,2,2,0,0,2,0,0,0,14,36,0,5,10,0,3,0,0,0,0,2,0,40,6,55,20,0,0,0,0,0,19,325,3,0,0,0,3,0,1,0,0,0,1285,0,0,0,1,0,0,0,1,1,0,3
217,8770,2060,0,0,0,0,3,8,0,4,0,0,0,4,0,0,0,33,76,0,5,21,0,3,1,1,0,0,4,0,122,4,86,29,1,0,0,2,0,26,490,2,0,0,0,0,0,0,1,0,0,1122,0,0,0,0,5,3,1,0,1,0,2
233,9417,1933,1,2,0,0,5,19,1,4,9,0,0,3,0,5,0,70,118,0,23,35,0,10,2,1,0,1,14,0,218,6,135,36,3,6,0,0,0,58,659,5,0,0,0,4,0,0,0,0,1,470,0,2,0,0,1,0,1,0,2,0,3
239,9660,2163,0,0,0,0,4,38,0,10,13,1,1,3,0,3,2,117,206,0,11,37,0,8,1,2,1,0,11,0,231,6,162,36,1,2,0,2,2,71,709,3,0,0,0,9,0,0,0,0,0,441,0,0,0,0,6,1,0,0,3,4,5
251,10145,2002,0,4,0,0,8,38,0,8,15,0,3,5,0,15,1,98,389,0,18,19,0,19,1,0,0,1,22,0,111,3,136,14,4,2,0,1,0,49,778,1,0,0,0,2,0,3,1,0,0,227,0,2,0,0,0,3,0,0,0,0,1
255,10247,2162,1,1,0,0,6,177,1,22,41,1,0,21,1,34,3,288,508,0,95,42,0,34,2,0,0,0,64,0,53,3,110,21,0,1,0,0,0,32,439,1,0,2,0,1,0,1,3,0,0,144,0,1,0,1,2,1,0,0,0,0,4
256.5,10285,2150,2,4,0,0,10,166,5,28,57,0,2,23,1,31,11,284,626,0,198,31,1,42,2,1,1,1,70,0,34,0,93,12,0,0,0,0,0,22,297,0,0,0,0,0,0,2,0,0,0,86,0,0,1,1,0,3,0,0,0,1,1
