"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.undiff.","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brasenia.schreberi","Brassicaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae.undiff.","Cyperaceae","Dryopteris","Equisetum","Ericaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Galium","Indeterminable","Iva.type","Juglans.cinerea.type","Juglans.nigra.type","Juniperus.type","Larix","Lycopodiaceae","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Other.herbs","Other.trees.and.shrubs","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Polygonum","Polypodiaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rhamnus","Rhus","Rosaceae","Sagittaria","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..Paleozoic.","Unknown..trilete.","Urtica","Xanthium"
15,NA,0,0,0,1,0,0,5,0,3,0,0,4,0,4,0,0,0,95,0,1,2,0,0,0,0,34,0,0,4,14,3,19,0,1,0,0,3,0,0,1,0,0,0,1,0,25,9,0,12,1,4,2,4,2,7,0,4,5,0,2,373,0,1,0,2,0,0,0,0,185,1,1,0,0,2,16,2,0,0,3,0,0
31,NA,0,2,0,2,0,1,0,0,4,0,1,2,0,3,0,0,0,30,0,0,0,2,0,0,0,36,0,0,2,30,4,9,0,8,0,3,10,0,0,1,0,0,0,0,1,75,9,0,8,0,2,0,7,4,6,0,1,6,0,7,218,0,0,0,7,0,2,0,0,8,4,2,4,0,0,30,5,0,1,10,0,0
61,7680,0,0,0,6,0,0,2,0,7,0,1,1,0,0,0,0,0,28,0,0,0,0,0,11,0,15,0,0,9,29,3,10,0,2,0,3,0,0,0,0,0,0,0,0,0,2,17,0,0,0,5,0,2,9,2,0,1,5,0,2,160,0,0,0,0,0,0,0,0,15,1,0,3,0,22,44,0,0,0,1,0,0
91,9206,0,0,0,5,1,0,1,1,17,0,2,4,0,4,1,0,0,27,0,2,3,0,0,3,1,3,4,0,12,1,2,10,0,7,0,1,0,0,0,0,1,0,0,0,0,2,12,1,0,0,2,0,5,8,14,0,18,8,2,4,228,0,0,3,0,0,6,0,0,130,1,3,2,0,1,24,1,0,0,0,0,0
102,9696,0,0,0,3,1,0,3,0,5,0,0,0,0,3,0,0,0,16,0,0,0,0,0,2,0,13,0,0,1,0,1,11,0,1,0,2,0,0,0,0,0,0,0,0,0,2,42,0,0,0,3,0,17,0,8,0,0,3,0,1,172,0,0,0,0,0,1,0,0,2,0,6,3,0,0,37,0,0,0,1,0,0
112,10111,1,0,0,6,1,0,4,0,0,0,3,1,0,7,0,0,0,17,0,0,0,0,0,8,0,6,0,0,9,1,4,8,0,2,0,2,0,0,1,0,0,0,0,0,0,0,67,0,0,0,21,79,267,0,9,0,3,0,0,1,114,0,0,0,0,0,1,0,0,3,0,0,0,1,1,35,0,0,0,1,0,0
122,10497,5,0,0,4,0,0,4,0,1,0,0,2,0,11,1,0,0,1,0,0,0,0,0,6,0,6,1,0,0,0,0,13,0,0,0,1,0,0,5,0,0,0,0,0,0,0,23,0,0,4,60,146,323,1,5,0,0,1,1,5,73,0,0,0,0,0,2,0,0,4,0,2,8,0,0,35,0,0,0,0,0,0
132,10857,9,0,0,1,0,1,4,0,0,0,1,2,0,17,0,0,0,4,0,1,0,0,0,2,1,31,0,0,0,0,1,4,0,1,0,3,0,0,3,1,0,0,0,0,0,1,14,0,0,17,102,42,100,0,9,0,1,2,5,8,66,0,0,0,2,0,6,0,0,85,0,0,17,0,0,31,1,0,0,0,0,0
152,11499,9,0,0,2,0,0,0,0,1,0,1,0,0,5,0,0,0,4,0,0,0,0,0,6,0,4,1,0,2,1,0,16,0,2,0,1,1,0,4,0,0,0,0,0,0,0,23,0,0,12,182,175,415,0,4,0,2,0,2,11,64,0,0,0,0,0,2,0,0,1,1,0,14,0,0,31,0,0,0,0,0,0
165,11865,2,0,0,3,1,0,5,0,3,1,2,6,0,18,0,0,0,3,0,0,0,0,0,6,2,10,1,0,0,0,1,16,0,1,0,1,0,0,4,1,0,0,0,0,0,0,6,2,0,12,102,34,249,0,6,0,0,1,3,0,52,0,0,0,0,0,13,0,0,2,0,0,15,1,3,35,4,0,0,0,0,0
