"depth","best.age","min.age","max.age"
10,139,128,150
20,278,255,300
30,417,383,452
40,556,511,603
50,695,638,754
75,1042,957,1131
100,1389,1275,1508
120,1667,1531,1811
140,1945,1786,2112
160,2223,2040,2413
180,2501,2295,2715
200,2778,2550,3017
225,3126,2868,3394
250,3473,3187,3771
275,3820,3506,4149
300,4260,3967,4566
320,4619,4344,4906
340,4979,4719,5251
365,5429,5183,5690
385,5789,5547,6046
400,6058,5815,6313
415,6328,6081,6585
430,6598,6346,6860
450,6958,6698,7233
475,7407,7130,7707
500,7857,7557,8186
510,8037,7727,8379
520,8217,7897,8573
530,8396,8068,8769
535,8486,8152,8866
540,8576,8237,8964
545,8666,8322,9062
550,8756,8406,9159
555,8846,8490,9257
560,NA,NA,NA
565,NA,NA,NA
570,NA,NA,NA
