"sample.depths","sample.ages","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Cyperaceae","Ericaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Asteraceae.subf..Cichorioideae","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Cerealia","Brassicaceae","Plantago","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.strobus","Rumex.type","Tsuga.canadensis","Picea.undiff.","Acer.rubrum","Acer.spicatum","Carya.ovata","Pinus.banksiana.type","Pinaceae","Larix","Viburnum.nudum","Alnus.viridis.type","Populus.tremuloides.type","Acer.pensylvanicum","Ostrya.Carpinus","Tilia","Amaranthaceae","Populus.balsamifera.type","Sambucus","Rosaceae.undiff.","Pinus.resinosa.type","Viburnum.edule","Fraxinus.pennsylvanica.type","Saxifraga.cernua.type","Juglans.cinerea","Castanea.dentata","Thalictrum","Ilex.Nemopanthus","Potentilla.palustris.type","Liliaceae","Polygonum","Shepherdia.canadensis","Juniperus.type","cf..Oxyria.digyna","Ranunculaceae.undiff.","Viburnum.alnifolium","Caryophyllaceae","Epilobium"
10,139,0.0228758169934641,0.130718954248366,0.00326797385620915,0.444444444444444,0.0163398692810458,0.0163398692810458,0.0065359477124183,0.0130718954248366,0.0457516339869281,0.00980392156862745,0.0196078431372549,0.065359477124183,0.0065359477124183,0.0228758169934641,0.0065359477124183,0.00980392156862745,0.00980392156862745,0.00326797385620915,0.00326797385620915,0.00980392156862745,0.0130718954248366,0.0130718954248366,0.0065359477124183,0.0065359477124183,0.0588235294117647,0.0196078431372549,0.00980392156862745,0.0065359477124183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,278,0.0487012987012987,0.116883116883117,0.00162337662337662,0.375,0.00162337662337662,0.00811688311688312,0.00974025974025974,0.00324675324675325,0.102272727272727,0,0.00162337662337662,0,0.0373376623376623,0.00811688311688312,0,0.00162337662337662,0.00324675324675325,0,0,0,0.0373376623376623,0.00324675324675325,0.00487012987012987,0,0.0357142857142857,0.0454545454545455,0.012987012987013,0.105519480519481,0.00487012987012987,0.00324675324675325,0.00162337662337662,0.00162337662337662,0.0243506493506494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,417,0.0193050193050193,0.0308880308880309,0.00386100386100386,0.494208494208494,0.00386100386100386,0.00386100386100386,0.0193050193050193,0,0.0193050193050193,0,0.1003861003861,0.0540540540540541,0.0154440154440154,0.0154440154440154,0,0.00386100386100386,0.00772200772200772,0,0,0,0.0463320463320463,0.00772200772200772,0.0115830115830116,0.0115830115830116,0.0888030888030888,0.00772200772200772,0.0193050193050193,0.00772200772200772,0,0,0,0,0,0.00386100386100386,0.00386100386100386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,556,0.0211946050096339,0,0,0.522157996146435,0.00578034682080925,0.00578034682080925,0.023121387283237,0.00385356454720617,0,0,0.0423892100192678,0.069364161849711,0.0366088631984586,0.0385356454720617,0,0,0.00963391136801541,0,0,0,0.0308285163776493,0.0115606936416185,0.0173410404624277,0.00385356454720617,0.0635838150289017,0.00192678227360308,0.0500963391136802,0.0269749518304432,0,0,0.00385356454720617,0,0,0.00192678227360308,0,0.00770712909441233,0.00192678227360308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,695,0.0210526315789474,0,0,0.513157894736842,0,0.00526315789473684,0.0236842105263158,0.00526315789473684,0.00263157894736842,0,0.0473684210526316,0.0421052631578947,0.0210526315789474,0.0342105263157895,0,0,0.00789473684210526,0,0,0,0.0605263157894737,0.0184210526315789,0.00526315789473684,0.0105263157894737,0.0736842105263158,0,0.05,0.0289473684210526,0.00526315789473684,0,0,0.00526315789473684,0.00263157894736842,0.00263157894736842,0,0,0,0.00263157894736842,0.00263157894736842,0.00526315789473684,0.00263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1042,0.00952380952380952,0,0.00136054421768707,0.570068027210884,0,0.0054421768707483,0.0285714285714286,0.00272108843537415,0.00272108843537415,0,0.017687074829932,0.0421768707482993,0.00816326530612245,0.00680272108843537,0,0,0.00272108843537415,0,0,0,0.0299319727891156,0.017687074829932,0.00816326530612245,0.00136054421768707,0.115646258503401,0,0.104761904761905,0.00680272108843537,0.00272108843537415,0.00136054421768707,0.00136054421768707,0.00272108843537415,0,0.00408163265306122,0,0,0,0,0,0,0.00136054421768707,0.00136054421768707,0.00136054421768707,0.00136054421768707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1389,0.00521739130434783,0.00173913043478261,0,0.4,0.00521739130434783,0.00173913043478261,0.0278260869565217,0.00347826086956522,0.00173913043478261,0,0.0104347826086957,0.0573913043478261,0.0278260869565217,0.0104347826086957,0,0.00173913043478261,0.00521739130434783,0,0,0,0.0695652173913043,0.00869565217391304,0.00869565217391304,0.00347826086956522,0.201739130434783,0,0.114782608695652,0.0139130434782609,0,0,0.00173913043478261,0.00869565217391304,0.00173913043478261,0,0,0,0,0,0.00173913043478261,0,0.00173913043478261,0,0,0,0.00173913043478261,0.00173913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1667,0.0138648180242634,0,0.00173310225303293,0.54419410745234,0,0.0138648180242634,0.0225303292894281,0.00519930675909879,0,0,0.0155979202772964,0.0433275563258232,0.00866551126516464,0.0346620450606586,0,0,0.00519930675909879,0,0,0,0.0277296360485269,0.0138648180242634,0.0225303292894281,0.0103986135181976,0.107452339688042,0,0.0675909878682842,0.00693240901213172,0.00173310225303293,0,0.00173310225303293,0.0155979202772964,0,0.00866551126516464,0,0,0,0,0.00519930675909879,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1945,0.0149769585253456,0,0.00115207373271889,0.526497695852535,0,0.00576036866359447,0.0702764976958525,0.00115207373271889,0,0,0.032258064516129,0.0276497695852535,0.0138248847926267,0.0253456221198157,0,0,0.00345622119815668,0,0,0,0.0345622119815668,0.021889400921659,0.0115207373271889,0.00576036866359447,0.104838709677419,0,0.0841013824884793,0.00576036866359447,0,0,0.00115207373271889,0.00115207373271889,0,0.00115207373271889,0,0,0.00345622119815668,0,0.00115207373271889,0,0,0,0,0.00115207373271889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2223,0.0153846153846154,0.00118343195266272,0.00118343195266272,0.555029585798817,0.00118343195266272,0.0331360946745562,0.0224852071005917,0.00236686390532544,0.00118343195266272,0,0.0189349112426036,0.0331360946745562,0.0165680473372781,0.0224852071005917,0,0,0.00946745562130178,0,0,0,0.050887573964497,0.0165680473372781,0.00473372781065089,0.00828402366863905,0.127810650887574,0,0.0142011834319527,0.00946745562130178,0.00236686390532544,0,0.00118343195266272,0.00946745562130178,0.00118343195266272,0.00473372781065089,0,0.00236686390532544,0.00236686390532544,0,0.00118343195266272,0.00236686390532544,0,0,0,0,0,0,0.00473372781065089,0.00236686390532544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2501,0.00548446069469835,0.00182815356489945,0,0.53199268738574,0.0036563071297989,0.020109689213894,0.036563071297989,0.00182815356489945,0.00182815356489945,0,0.00182815356489945,0.0292504570383912,0.036563071297989,0.0127970749542962,0,0,0.00731261425959781,0,0,0,0.0585009140767824,0.00731261425959781,0.00548446069469835,0.00182815356489945,0.177330895795247,0,0.0438756855575868,0.00182815356489945,0.00182815356489945,0,0,0.0036563071297989,0,0,0,0,0,0,0,0,0.00182815356489945,0,0,0,0.00548446069469835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2778,0.0281195079086116,0.00351493848857645,0,0.592267135325132,0.0070298769771529,0.00527240773286467,0.031634446397188,0.00527240773286467,0,0,0.0123022847100176,0.0105448154657293,0.0210896309314587,0.0281195079086116,0.00175746924428822,0.00175746924428822,0.00351493848857645,0,0,0,0.0228471001757469,0.031634446397188,0.00527240773286467,0.0105448154657293,0.107205623901582,0,0.0404217926186292,0.00351493848857645,0,0,0.00527240773286467,0.00527240773286467,0,0.00175746924428822,0,0,0,0,0,0,0.00175746924428822,0,0,0,0.00175746924428822,0,0.0070298769771529,0,0.00175746924428822,0.00175746924428822,0,0,0,0,0,0,0,0,0,0,0,0
225,3126,0.00383877159309021,0,0.00191938579654511,0.543186180422265,0,0.00191938579654511,0.0134357005758157,0.00191938579654511,0,0,0.00383877159309021,0.0441458733205374,0.0211132437619962,0.0191938579654511,0,0.00191938579654511,0.00191938579654511,0,0,0,0.0614203454894434,0.0383877159309021,0.0191938579654511,0.00383877159309021,0.136276391554703,0,0.0614203454894434,0.00191938579654511,0,0,0,0.00575815738963532,0.00383877159309021,0.00383877159309021,0,0.00191938579654511,0,0,0,0,0,0,0,0,0.00191938579654511,0,0,0,0.00191938579654511,0,0,0,0,0,0,0,0,0,0,0,0,0
250,3473,0.0094850948509485,0,0.0013550135501355,0.555555555555556,0,0.0013550135501355,0.024390243902439,0.002710027100271,0,0,0.0013550135501355,0,0.035230352303523,0.00677506775067751,0,0.0013550135501355,0.010840108401084,0,0,0,0.0149051490514905,0.0121951219512195,0.00677506775067751,0,0.237127371273713,0,0.016260162601626,0.0284552845528455,0.0013550135501355,0,0.0013550135501355,0,0.02710027100271,0.0013550135501355,0,0,0,0,0,0.0013550135501355,0,0,0,0,0.0013550135501355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,3820,0.004739336492891,0,0,0.412322274881517,0.00710900473933649,0.018957345971564,0.0165876777251185,0.004739336492891,0,0,0.004739336492891,0.018957345971564,0.033175355450237,0.009478672985782,0,0,0.004739336492891,0,0,0,0.0616113744075829,0.0165876777251185,0.0118483412322275,0.009478672985782,0.315165876777251,0,0.018957345971564,0.004739336492891,0.0023696682464455,0,0,0.009478672985782,0,0.009478672985782,0,0.0023696682464455,0,0,0,0,0,0,0,0,0.0023696682464455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,4260,0.0178041543026706,0,0,0.477744807121662,0,0.130563798219585,0.0178041543026706,0.0029673590504451,0,0,0.00890207715133531,0.0207715133531157,0.0118694362017804,0.0178041543026706,0,0,0.0029673590504451,0,0,0,0.0178041543026706,0.0178041543026706,0,0.0029673590504451,0.234421364985163,0,0.00593471810089021,0.0029673590504451,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0.0029673590504451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,4619,0.0172413793103448,0.0021551724137931,0,0.491379310344828,0.0021551724137931,0.0237068965517241,0.0107758620689655,0,0.00646551724137931,0,0.0193965517241379,0.0107758620689655,0.0237068965517241,0.0193965517241379,0,0,0.0021551724137931,0,0,0,0.0129310344827586,0.00431034482758621,0.0280172413793103,0.0150862068965517,0.273706896551724,0,0.00431034482758621,0.0021551724137931,0.0021551724137931,0,0,0.0021551724137931,0.00431034482758621,0,0,0,0.0107758620689655,0,0.00431034482758621,0.0021551724137931,0,0,0,0,0,0,0.0021551724137931,0,0,0,0.0021551724137931,0,0,0,0,0,0,0,0,0,0,0
340,4979,0.0288184438040346,0.00144092219020173,0.00144092219020173,0.465417867435159,0.00288184438040346,0.00720461095100865,0.00432276657060519,0.00864553314121038,0.00144092219020173,0,0.00144092219020173,0,0.0446685878962536,0.0129682997118156,0,0.00144092219020173,0.00432276657060519,0,0,0,0.0129682997118156,0.00720461095100865,0.00720461095100865,0.00144092219020173,0.298270893371758,0,0.00720461095100865,0.0259365994236311,0,0,0,0,0.0432276657060519,0.00432276657060519,0,0,0,0,0.00144092219020173,0.00144092219020173,0.00144092219020173,0,0,0,0,0,0,0,0.00144092219020173,0,0,0,0,0,0,0,0,0,0,0,0,0
365,5429,0.00420168067226891,0,0,0.371848739495798,0.00210084033613445,0.0630252100840336,0.00630252100840336,0,0.00210084033613445,0,0.0126050420168067,0.023109243697479,0.0273109243697479,0.0168067226890756,0,0.00210084033613445,0.00420168067226891,0,0,0,0.0210084033613445,0.00630252100840336,0.00420168067226891,0.00210084033613445,0.254201680672269,0,0.159663865546218,0.00210084033613445,0,0,0,0.00420168067226891,0,0,0,0,0.00630252100840336,0,0,0,0,0,0,0.00210084033613445,0,0,0,0,0.00210084033613445,0,0,0,0,0,0,0,0,0,0,0,0,0
385,5789,0.0101522842639594,0,0.00253807106598985,0.416243654822335,0.00761421319796954,0.00380710659898477,0.00253807106598985,0.0050761421319797,0.00126903553299492,0,0.0101522842639594,0.0203045685279188,0.0203045685279188,0.00761421319796954,0,0,0.00380710659898477,0,0,0,0.0190355329949239,0.00634517766497462,0.0101522842639594,0.0139593908629442,0.199238578680203,0,0.215736040609137,0.00634517766497462,0.00126903553299492,0,0.00126903553299492,0.00888324873096447,0,0.00126903553299492,0,0,0,0,0.00126903553299492,0.00253807106598985,0,0,0,0,0.00126903553299492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6058,0.0130111524163569,0,0,0.360594795539033,0.00371747211895911,0.00371747211895911,0.00557620817843866,0.00557620817843866,0.00185873605947955,0,0.0223048327137546,0.00371747211895911,0.0204460966542751,0.00929368029739777,0,0,0.00371747211895911,0,0,0,0.0148698884758364,0.0185873605947955,0.00185873605947955,0.00557620817843866,0.299256505576208,0,0.187732342007435,0.00185873605947955,0,0,0,0,0,0.00371747211895911,0,0,0.00371747211895911,0,0.00185873605947955,0.00371747211895911,0,0,0,0,0,0,0,0,0.00185873605947955,0,0,0.00185873605947955,0,0,0,0,0,0,0,0,0,0
415,6328,0.0080906148867314,0,0.00161812297734628,0.389967637540453,0,0.00161812297734628,0.00485436893203883,0.00647249190938511,0.00161812297734628,0,0.0145631067961165,0.0194174757281553,0.0453074433656958,0.0177993527508091,0,0,0.00970873786407767,0,0,0,0.0194174757281553,0.0145631067961165,0,0.0129449838187702,0.200647249190939,0,0.202265372168285,0.00485436893203883,0.00161812297734628,0,0,0.00323624595469256,0.00323624595469256,0.00323624595469256,0,0.00161812297734628,0.00485436893203883,0,0.00161812297734628,0.00161812297734628,0,0,0.00161812297734628,0,0,0,0.00161812297734628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,6598,0.0091533180778032,0.0022883295194508,0.0022883295194508,0.389016018306636,0,0.0045766590389016,0.0045766590389016,0.0045766590389016,0.0022883295194508,0,0.0160183066361556,0.0091533180778032,0.045766590389016,0.022883295194508,0,0.0022883295194508,0.0137299771167048,0,0,0,0.0160183066361556,0.011441647597254,0.011441647597254,0.0045766590389016,0.320366132723112,0,0.080091533180778,0.0022883295194508,0,0,0,0.0022883295194508,0,0.0022883295194508,0,0,0.0091533180778032,0,0,0,0.0022883295194508,0,0,0,0,0,0.0022883295194508,0,0.0045766590389016,0.0022883295194508,0,0,0,0,0,0,0,0,0,0,0,0
450,6958,0,0.00186219739292365,0.00186219739292365,0.175046554934823,0.00186219739292365,0.00186219739292365,0,0,0,0,0.00558659217877095,0.0186219739292365,0.0335195530726257,0.0223463687150838,0,0,0.00558659217877095,0,0,0,0.0130353817504655,0.00931098696461825,0.00186219739292365,0,0.651769087523277,0,0.0260707635009311,0.00186219739292365,0,0,0,0,0,0.00186219739292365,0,0,0.00186219739292365,0,0.00186219739292365,0.0037243947858473,0.00186219739292365,0,0,0,0.0111731843575419,0,0.00186219739292365,0,0,0.0037243947858473,0,0,0,0,0,0,0,0,0,0,0,0
475,7407,0.0112570356472795,0,0,0.268292682926829,0.0168855534709193,0.0281425891181989,0.00375234521575985,0.00187617260787992,0.00187617260787992,0,0,0.0318949343339587,0.0150093808630394,0.0187617260787993,0,0,0.0131332082551595,0,0,0,0.0075046904315197,0.00375234521575985,0.00375234521575985,0.00187617260787992,0.49343339587242,0,0.0150093808630394,0.00375234521575985,0,0.00187617260787992,0.00187617260787992,0.0225140712945591,0,0.00187617260787992,0,0.00375234521575985,0.00187617260787992,0,0,0,0.00375234521575985,0,0,0,0.0150093808630394,0,0,0.00562851782363977,0.00187617260787992,0,0,0,0,0,0,0,0,0,0,0,0,0
500,7857,0.0218023255813953,0.00436046511627907,0.00290697674418605,0.337209302325581,0.0130813953488372,0.0130813953488372,0.00145348837209302,0,0.00436046511627907,0,0.0188953488372093,0.0116279069767442,0.0450581395348837,0.0319767441860465,0,0.00145348837209302,0.00581395348837209,0,0,0,0.0247093023255814,0.00290697674418605,0.00872093023255814,0.0145348837209302,0.361918604651163,0,0.0130813953488372,0.0101744186046512,0,0,0,0.0305232558139535,0.00290697674418605,0.00726744186046512,0,0,0.00290697674418605,0,0.00290697674418605,0,0.00290697674418605,0,0,0,0,0,0,0,0,0,0,0,0.00145348837209302,0,0,0,0,0,0,0,0,0
510,8037,0.0308641975308642,0.00411522633744856,0.00205761316872428,0.286008230452675,0.0102880658436214,0.0576131687242798,0,0.00411522633744856,0.00411522633744856,0,0.00617283950617284,0.0534979423868313,0.0411522633744856,0.0411522633744856,0.00205761316872428,0.00205761316872428,0.00205761316872428,0,0,0,0.0432098765432099,0.00205761316872428,0.0123456790123457,0,0.232510288065844,0,0.0102880658436214,0.0102880658436214,0,0.00205761316872428,0,0.10082304526749,0,0.00411522633744856,0,0.00411522633744856,0.00411522633744856,0,0.00617283950617284,0,0.00205761316872428,0,0,0,0.0102880658436214,0,0.00205761316872428,0.00411522633744856,0,0,0,0,0.00205761316872428,0,0,0,0,0,0,0,0,0
520,8217,0.0521008403361345,0.00336134453781513,0.00336134453781513,0.295798319327731,0.053781512605042,0.0151260504201681,0,0.00336134453781513,0.00168067226890756,0,0.00336134453781513,0,0.176470588235294,0.0252100840336134,0.00672268907563025,0.00336134453781513,0.0100840336134454,0,0,0,0.0252100840336134,0.00168067226890756,0.0218487394957983,0,0.156302521008403,0,0.00168067226890756,0.117647058823529,0,0,0.00168067226890756,0.0100840336134454,0,0.00168067226890756,0,0,0,0,0.00168067226890756,0,0,0,0,0.00168067226890756,0.00168067226890756,0,0,0,0,0,0,0,0,0.00336134453781513,0,0,0,0,0,0,0,0
530,8396,0.089041095890411,0.00171232876712329,0.00342465753424658,0.383561643835616,0.0273972602739726,0.00342465753424658,0,0,0.00342465753424658,0,0.0702054794520548,0.0462328767123288,0.0256849315068493,0.0291095890410959,0,0.00171232876712329,0.00684931506849315,0,0,0,0.0393835616438356,0,0.011986301369863,0.0154109589041096,0.0976027397260274,0,0.00513698630136986,0.0154109589041096,0,0.00171232876712329,0.00171232876712329,0.0616438356164384,0.00171232876712329,0.023972602739726,0,0.0154109589041096,0.00342465753424658,0,0.00171232876712329,0,0,0,0,0.00171232876712329,0.00513698630136986,0,0,0,0,0.00171232876712329,0,0,0.00171232876712329,0,0.00171232876712329,0,0,0,0,0,0,0
535,8486,0.105882352941176,0,0.00588235294117647,0.302941176470588,0.0705882352941176,0.0176470588235294,0,0.00588235294117647,0.0176470588235294,0,0.0470588235294118,0.0647058823529412,0.0205882352941176,0.0235294117647059,0.0117647058823529,0,0.00294117647058824,0,0,0,0.00588235294117647,0.00294117647058824,0.0088235294117647,0.0264705882352941,0.0617647058823529,0,0.00588235294117647,0.0205882352941176,0,0,0,0.0411764705882353,0.0117647058823529,0.0205882352941176,0,0.0558823529411765,0,0,0.0088235294117647,0,0,0,0,0,0.00588235294117647,0,0,0.0088235294117647,0,0,0,0,0.0176470588235294,0,0,0,0,0,0,0,0,0
