"sample.depths","sample.ages","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Ulmus","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Pinaceae","Fraxinus.nigra.type","Salix","Myrica.gale","Populus.deltoides.type","Acer.pensylvanicum","Ambrosia.type","Ericaceae","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Poaceae","Castanea.dentata","Asteraceae.subf..Asteroideae.undiff.","Viburnum.undiff.","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","Acer.undiff.","Juglans.nigra","Taxus","Juniperus.type","Nemopanthus.mucronatus","Saxifraga.oppositifolia.type","Ilex","Caryophyllaceae","Populus.balsamifera.type","Rosaceae.undiff.","Rumex.type.undiff.","Pinus.resinosa.type","Brassicaceae","Liliaceae","Lonicera.caerulea","Acer.saccharinum","Thalictrum","Onagraceae","Rumex.acetosa.type","Shepherdia.canadensis","Dryas","Plantago","Viburnum.edule"
5,162,0.00361663652802893,0.00723327305605787,0.0126582278481013,0.00180831826401447,0.45750452079566,0.00180831826401447,0.0397830018083183,0.00361663652802893,0.0144665461121157,0.0126582278481013,0.00180831826401447,0.00723327305605787,0.231464737793852,0.0361663652802893,0.00180831826401447,0.00904159132007233,0.00180831826401447,0.0054249547920434,0.00361663652802893,0.00361663652802893,0.0054249547920434,0.0325497287522604,0.0976491862567812,0.0054249547920434,0.00180831826401447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,811,0,0.00563063063063063,0.0101351351351351,0,0.615990990990991,0.0045045045045045,0.063063063063063,0,0.00788288288288288,0.0045045045045045,0,0.00675675675675676,0.0337837837837838,0.0394144144144144,0.00112612612612613,0.0101351351351351,0.009009009009009,0.0247747747747748,0.00112612612612613,0.00337837837837838,0.00563063063063063,0.0326576576576577,0.0990990990990991,0.00563063063063063,0.00112612612612613,0.009009009009009,0.00112612612612613,0.00337837837837838,0.00112612612612613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1623,0,0.020703933747412,0.005175983436853,0.0020703933747412,0.60248447204969,0.0031055900621118,0.0579710144927536,0.0031055900621118,0.0031055900621118,0.0062111801242236,0.0010351966873706,0.005175983436853,0.0196687370600414,0.0424430641821946,0.0020703933747412,0.0124223602484472,0.0093167701863354,0.0175983436853002,0.0010351966873706,0.0093167701863354,0.0010351966873706,0.0269151138716356,0.101449275362319,0.010351966873706,0.0072463768115942,0.0113871635610766,0,0,0,0.0020703933747412,0.0041407867494824,0.0020703933747412,0.0031055900621118,0.0020703933747412,0.0010351966873706,0.0010351966873706,0.0020703933747412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2434,0.00276625172890733,0.00829875518672199,0.00138312586445367,0,0.625172890733057,0.00138312586445367,0.058091286307054,0,0.00691562932226833,0.00553250345781466,0,0.0179806362378976,0.0276625172890733,0.0193637621023513,0.00138312586445367,0.00829875518672199,0.0110650069156293,0.0179806362378976,0,0.00276625172890733,0.00138312586445367,0.0484094052558783,0.106500691562932,0.004149377593361,0.00553250345781466,0.00276625172890733,0,0,0,0,0.00138312586445367,0,0.00276625172890733,0.004149377593361,0,0.00276625172890733,0.00138312586445367,0.00138312586445367,0.00138312586445367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3246,0.00166666666666667,0.00833333333333333,0.005,0,0.608333333333333,0.00166666666666667,0.0733333333333333,0.00166666666666667,0.005,0.0166666666666667,0.00166666666666667,0.00166666666666667,0.045,0.03,0,0.015,0.00333333333333333,0.0133333333333333,0.00166666666666667,0.01,0.00166666666666667,0.045,0.0933333333333333,0.00666666666666667,0.00333333333333333,0.00166666666666667,0.00166666666666667,0,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0.00166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4057,0,0.0149253731343284,0.00447761194029851,0,0.634328358208955,0.00298507462686567,0.0552238805970149,0.0104477611940299,0.00149253731343284,0.00447761194029851,0,0.00447761194029851,0.0507462686567164,0.0492537313432836,0.00149253731343284,0.0164179104477612,0.0104477611940299,0.0253731343283582,0.00149253731343284,0.00746268656716418,0.00298507462686567,0.0223880597014925,0.0388059701492537,0.00597014925373134,0.00746268656716418,0.00746268656716418,0.00447761194029851,0,0,0,0,0,0.00447761194029851,0.00149253731343284,0,0.00149253731343284,0.00298507462686567,0,0.00149253731343284,0,0.00149253731343284,0.00149253731343284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4444,0.00202634245187437,0.00506585612968592,0.00405268490374873,0.00202634245187437,0.68693009118541,0.00911854103343465,0.0506585612968592,0.00202634245187437,0.00303951367781155,0.0060790273556231,0.00101317122593718,0.00405268490374873,0.049645390070922,0.027355623100304,0.00101317122593718,0.0121580547112462,0.00405268490374873,0.0141843971631206,0,0.00303951367781155,0,0.0658561296859169,0.0182370820668693,0.00303951367781155,0,0.00810536980749747,0,0,0,0,0,0.00405268490374873,0.00303951367781155,0,0.00101317122593718,0.00101317122593718,0,0.00303951367781155,0,0,0,0,0.00101317122593718,0.00101317122593718,0.00101317122593718,0.00101317122593718,0.00101317122593718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4567,0.00160513643659711,0.0240770465489567,0.00160513643659711,0.00160513643659711,0.678972712680578,0.00321027287319422,0.0465489566613162,0,0.00160513643659711,0,0,0.00321027287319422,0.0497592295345104,0.014446227929374,0.00160513643659711,0.014446227929374,0.00481540930979133,0.0272873194221509,0,0,0,0.0658105939004815,0.0417335473515249,0.00160513643659711,0,0.00802568218298555,0,0,0,0,0.00160513643659711,0,0.00160513643659711,0,0,0,0,0,0,0,0.00160513643659711,0,0,0.00160513643659711,0,0.00160513643659711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4969,0.00282087447108604,0.0141043723554302,0.00141043723554302,0,0.662905500705219,0.0126939351198872,0.0338504936530324,0.00282087447108604,0.00282087447108604,0,0,0.00282087447108604,0.0296191819464034,0.0310296191819464,0,0.0141043723554302,0.00141043723554302,0.0225669957686883,0,0.00141043723554302,0,0.0578279266572638,0.073342736248237,0.00846262341325811,0,0.00564174894217207,0,0,0,0,0.00282087447108604,0,0.00564174894217207,0,0.00141043723554302,0.00141043723554302,0.00282087447108604,0,0,0,0.00282087447108604,0,0,0,0,0,0,0.00141043723554302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5573,0,0.00348027842227378,0.0116009280742459,0,0.599767981438515,0,0.0243619489559165,0.00116009280742459,0.00580046403712297,0.00232018561484919,0,0.00116009280742459,0.0406032482598608,0.0301624129930394,0.00116009280742459,0.0232018561484919,0.00232018561484919,0.0139211136890951,0,0.00348027842227378,0.00464037122969838,0.0591647331786543,0.157772621809745,0.00116009280742459,0.00116009280742459,0.00464037122969838,0,0,0,0,0.00116009280742459,0,0.00232018561484919,0,0.00232018561484919,0,0,0,0,0,0,0,0,0,0,0.00116009280742459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
