"sample.depths","sample.ages","upland.sum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Artemisia","Betula","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Quercus","Tilia","Ulmus","Abies.balsamea","Acer.saccharum","Carya.ovata","Corylus.cornuta","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Pinaceae","Fraxinus.nigra.type","Salix","Myrica.gale","Populus.deltoides.type","Acer.pensylvanicum","Ambrosia.type","Ericaceae","Juglans.cinerea","Populus.tremuloides.type","Amaranthaceae","Poaceae","Castanea.dentata","Asteraceae.subf..Asteroideae.undiff.","Viburnum.undiff.","Juniperus.communis.Thuja.occidentalis.type","Acer.spicatum","Acer.undiff.","Juglans.nigra","Taxus","Juniperus.type","Nemopanthus.mucronatus","Saxifraga.oppositifolia.type","Ilex","Caryophyllaceae","Populus.balsamifera.type","Rosaceae.undiff.","Rumex.type.undiff.","Pinus.resinosa.type","Brassicaceae","Liliaceae","Lonicera.caerulea","Acer.saccharinum","Thalictrum","Onagraceae","Rumex.acetosa.type","Shepherdia.canadensis","Dryas","Plantago","Viburnum.edule"
5,162,553,2,4,7,1,253,1,22,2,8,7,1,4,128,20,1,5,1,3,2,2,3,18,54,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,811,888,0,5,9,0,547,4,56,0,7,4,0,6,30,35,1,9,8,22,1,3,5,29,88,5,1,8,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1623,966,0,20,5,2,582,3,56,3,3,6,1,5,19,41,2,12,9,17,1,9,1,26,98,10,7,11,0,0,0,2,4,2,3,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2434,723,2,6,1,0,452,1,42,0,5,4,0,13,20,14,1,6,8,13,0,2,1,35,77,3,4,2,0,0,0,0,1,0,2,3,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3246,600,1,5,3,0,365,1,44,1,3,10,1,1,27,18,0,9,2,8,1,6,1,27,56,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,4057,670,0,10,3,0,425,2,37,7,1,3,0,3,34,33,1,11,7,17,1,5,2,15,26,4,5,5,3,0,0,0,0,0,3,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4444,987,2,5,4,2,678,9,50,2,3,6,1,4,49,27,1,12,4,14,0,3,0,65,18,3,0,8,0,0,0,0,0,4,3,0,1,1,0,3,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4567,623,1,15,1,1,423,2,29,0,1,0,0,2,31,9,1,9,3,17,0,0,0,41,26,1,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,4969,709,2,10,1,0,470,9,24,2,2,0,0,2,21,22,0,10,1,16,0,1,0,41,52,6,0,4,0,0,0,0,2,0,4,0,1,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,5573,862,0,3,10,0,517,0,21,1,5,2,0,1,35,26,1,20,2,12,0,3,4,51,136,1,1,4,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,6578,421,0,1,0,0,230,1,6,0,1,2,0,3,21,17,0,5,3,4,1,4,2,25,80,2,1,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
225,7584,890,4,10,6,2,394,3,17,5,2,2,0,1,75,52,1,34,2,18,2,2,0,139,99,2,0,13,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,8064,591,2,3,6,0,147,1,5,3,5,6,0,3,85,52,0,10,2,22,0,3,0,172,42,1,0,10,0,1,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
250,8220,617,2,9,0,0,152,0,7,1,2,3,0,1,80,67,0,15,5,19,0,1,0,199,31,2,0,9,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
265,8455,547,2,3,1,0,108,1,4,1,3,1,0,7,75,57,0,16,6,14,0,1,2,203,28,5,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,8611,511,0,9,8,1,127,1,3,0,2,3,0,3,80,50,0,15,1,11,0,3,0,169,2,7,0,7,0,1,0,1,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,8767,617,0,11,7,0,194,1,4,0,4,3,2,17,73,45,0,17,6,9,1,0,0,187,16,6,0,6,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300,9001,530,1,2,5,1,156,1,4,1,0,0,1,21,73,51,0,6,9,9,0,2,0,165,5,8,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
310,9158,555,0,6,4,0,163,2,1,1,3,0,0,13,71,39,0,6,14,9,0,3,0,200,7,3,0,5,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,9392,490,1,1,6,2,153,1,1,0,1,2,0,9,85,25,0,7,9,10,0,1,0,159,9,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,9783,598,0,5,4,0,250,2,6,0,4,0,0,16,64,25,0,10,15,10,1,2,2,157,4,4,3,7,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
375,10242,840,0,2,22,4,305,5,2,2,7,2,0,38,78,71,1,13,20,9,0,4,1,184,7,14,0,11,5,9,0,0,2,1,0,1,2,5,1,1,0,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400,10979,535,0,1,10,0,256,3,3,1,7,6,8,15,102,33,0,2,22,1,1,12,4,22,3,6,5,1,0,5,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,11894,497,0,1,11,4,180,13,2,0,5,6,0,39,38,44,0,4,19,1,2,2,0,82,1,16,0,3,1,7,0,0,3,0,0,2,0,2,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
440,12443,538,0,0,18,2,141,11,4,0,4,1,21,58,36,43,0,8,8,4,0,1,0,112,5,41,0,2,3,6,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
450,12809,351,1,1,8,1,79,9,1,0,2,4,9,98,36,8,0,0,2,0,0,1,9,15,4,38,6,1,0,6,1,0,2,1,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,NA,283,0,4,13,17,53,56,0,0,1,0,1,27,10,7,0,0,1,1,0,0,0,42,4,10,0,0,10,1,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,11,1,0,0,0,0,0
475,NA,297,0,0,4,13,32,48,0,0,2,3,0,43,49,12,0,1,1,0,1,0,12,23,2,15,4,1,15,0,0,0,2,0,0,2,1,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
485,NA,231,0,3,4,17,17,48,0,0,0,1,4,29,6,17,0,0,1,0,1,1,1,53,0,6,0,0,6,0,0,0,0,2,1,0,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0
490,NA,385,0,14,3,24,41,62,0,1,0,2,9,35,13,12,0,1,2,0,0,0,0,101,4,7,0,1,14,0,0,0,3,0,2,0,0,5,1,9,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,0,2,5,3,1
500,NA,294,0,7,5,7,28,26,1,0,0,3,2,41,14,5,0,2,0,0,0,0,7,85,0,7,1,1,14,1,0,0,2,0,2,0,1,12,1,8,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,1,0,0
