"depth","best.age","min.age","max.age"
865,NA,NA,NA
872,NA,NA,NA
880,NA,NA,NA
888,NA,NA,NA
896,NA,NA,NA
907,NA,NA,NA
912,NA,NA,NA
920,NA,NA,NA
928,NA,NA,NA
936,NA,NA,NA
944,NA,NA,NA
952,NA,NA,NA
960,NA,NA,NA
968,NA,NA,NA
976,NA,NA,NA
984,NA,NA,NA
992,NA,NA,NA
1008,NA,NA,NA
1024,NA,NA,NA
1040,NA,NA,NA
1056,NA,NA,NA
1072,NA,NA,NA
1088,NA,NA,NA
1104,NA,NA,NA
1120,NA,NA,NA
1136,NA,NA,NA
1152,NA,NA,NA
1168,NA,NA,NA
1184,NA,NA,NA
1203,NA,NA,NA
1216,NA,NA,NA
1232,NA,NA,NA
1248,NA,NA,NA
1264,1295,1197,1389
1280,1348,1250,1450
1296,1404,1303,1519
1312,1462,1359,1593
1328,1524,1420,1673
1344,1591,1480,1761
1360,1665,1547,1852
1376,1745,1622,1946
1392,1833,1705,2044
1408,1931,1800,2147
1424,2040,1906,2256
1440,2159,2025,2375
1456,2291,2155,2496
1472,2433,2300,2618
1488,2586,2451,2753
1504,2750,2612,2904
1520,2923,2783,3069
1536,3105,2967,3251
1552,3296,3159,3444
1568,3496,3363,3647
1584,3703,3574,3855
1603,3958,3832,4110
1616,4138,4013,4289
1632,4365,4240,4517
1648,4596,4470,4749
1664,4826,4699,4982
1680,5055,4926,5211
1691,5209,5079,5365
1712,5493,5360,5646
1728,5698,5564,5847
1744,5888,5759,6038
1760,6063,5937,6212
1776,6226,6100,6371
1789,6354,6230,6496
1808,6545,6424,6681
1824,6718,6602,6847
1840,6910,6800,7029
1856,7130,7029,7237
1872,7385,7295,7478
1888,7681,7600,7761
1904,8024,7931,8112
1920,8416,8259,8540
1936,8849,8592,9024
1952,9286,8946,9526
1960,9493,9117,9763
1968,9687,9276,9976
1976,9862,9428,10170
1984,10014,9566,10333
2004,10315,9879,10637
2008,10367,9949,10702
2012,10417,10014,10762
2016,10467,10076,10830
2020,10515,10139,10875
2028,10610,10267,10996
2032,NA,NA,NA
