"sample.depths","sample.ages","Ambrosia.type","Artemisia","Betula","Cupressaceae","Cyperaceae","Juglans.nigra","Larix","Picea","Quercus","Salix","Thalictrum","Alnus","Pinus","Populus","Amaranthaceae","Ericaceae","Tilia","Poaceae","Acer.undiff.","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra.type","Rosaceae","Abies","Rumex","Ulmus","Acer.rubrum","Corylus","Ostrya.Carpinus","Asteraceae.subf..Cichorioideae","Shepherdia.canadensis","Carya","Fagus","Iva.annua.type","Fraxinus.pennsylvanica.type","Plantago","Xanthium","Platanus","Iva.xanthifolia.type"
1,6,0.00974025974025974,0.0064935064935065,0.051948051948052,0.00324675324675325,0.0292207792207792,0.00324675324675325,0.00974025974025974,0.691558441558442,0.00324675324675325,0.0064935064935065,0.00324675324675325,0.0487012987012987,0.123376623376623,0.00324675324675325,0.0064935064935065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69,0.0211480362537764,0.00604229607250755,0.0604229607250755,0.00302114803625378,0.0453172205438066,0,0.00302114803625378,0.6797583081571,0.00604229607250755,0.00302114803625378,0,0.0876132930513595,0.0755287009063444,0,0,0.00302114803625378,0.00302114803625378,0.00302114803625378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,195,0.00317460317460317,0.0126984126984127,0.123809523809524,0.0126984126984127,0.0380952380952381,0,0.00952380952380952,0.514285714285714,0.00317460317460317,0.0253968253968254,0,0.123809523809524,0.120634920634921,0,0,0.0126984126984127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,377,0.00920245398773006,0.0153374233128834,0.0521472392638037,0,0.049079754601227,0,0.0306748466257669,0.668711656441718,0.00306748466257669,0.00306748466257669,0,0.0552147239263804,0.098159509202454,0,0,0.00306748466257669,0,0.00306748466257669,0.00306748466257669,0.00306748466257669,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,560,0.0029585798816568,0.0177514792899408,0.0621301775147929,0,0.0562130177514793,0,0.0236686390532544,0.606508875739645,0.0029585798816568,0.00591715976331361,0,0.0828402366863905,0.124260355029586,0,0,0.0118343195266272,0,0.0029585798816568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,742,0.00311526479750779,0.0560747663551402,0.105919003115265,0.00623052959501558,0.0623052959501558,0,0.00311526479750779,0.476635514018692,0.00311526479750779,0.00311526479750779,0.00311526479750779,0.11214953271028,0.146417445482866,0,0,0.00934579439252336,0,0,0,0,0.00623052959501558,0.00311526479750779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,925,0,0.00289017341040462,0.104046242774566,0,0.0289017341040462,0,0.0144508670520231,0.609826589595376,0.00289017341040462,0.00289017341040462,0,0.127167630057803,0.0867052023121387,0.00289017341040462,0.00289017341040462,0,0,0.00289017341040462,0,0,0.00867052023121387,0,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1107,0,0.0165289256198347,0.0798898071625344,0,0.046831955922865,0,0.0165289256198347,0.619834710743802,0.0137741046831956,0.00550964187327824,0,0.0964187327823691,0.0798898071625344,0,0,0.00826446280991736,0,0.00275482093663912,0,0,0.00275482093663912,0,0.00550964187327824,0.00550964187327824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1289,0,0.023121387283237,0.0867052023121387,0,0.0549132947976879,0,0.00578034682080925,0.61849710982659,0,0.00578034682080925,0,0.0895953757225433,0.092485549132948,0,0.00289017341040462,0.00289017341040462,0,0,0,0,0.0115606936416185,0,0,0.00289017341040462,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1472,0.00289855072463768,0.0202898550724638,0.0927536231884058,0.00579710144927536,0.0579710144927536,0,0.00289855072463768,0.588405797101449,0.00289855072463768,0.00869565217391304,0,0.0898550724637681,0.0985507246376812,0,0.00579710144927536,0.00289855072463768,0,0,0,0,0.0144927536231884,0,0,0.00289855072463768,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0
