"sample.depths","sample.ages","upland.sum","Alnus.incana.type","Alnus.viridis.type","Betula","Cyperaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Larix","Picea.mariana.type","Pinus.undiff.","Quercus","Juniperus.type","Abies.balsamea","Acer.saccharum","Myrica.gale","Nemopanthus.mucronatus","Pinus.banksiana.type","Pinus.strobus","Juniperus.communis.Thuja.occidentalis.type","Viburnum.nudum","Picea.undiff.","Acer.rubrum","Artemisia","Populus.tremuloides.type","Ulmus","Poaceae","Tsuga.canadensis","Ericaceae","Taxus","Fabaceae","Acer.pensylvanicum","Corylus.cornuta","Asteraceae.subf..Asteroideae.undiff.","Carya.ovata","Platanus.occidentalis","Viburnum.edule","Ostrya.Carpinus","Amaranthaceae","Pinus.resinosa.type","Acer.spicatum","Juglans.cinerea","Salix","Thalictrum","Rosaceae.undiff.","Castanea.dentata","Viburnum.undiff.","Populus.balsamifera.type","Ambrosia.type","Polygonaceae.undiff.","Shepherdia.canadensis","Polygonum.lapathifolium.type","Rubiaceae","Ranunculaceae.undiff.","cf..Oxyria.digyna","Brassicaceae","Rubus.chamaemorus","Caryophyllaceae","Saxifragaceae.undiff.","Asteraceae.subf..Cichorioideae","Onagraceae","Saxifraga.oppositifolia.type"
10,507,472,5,1,316,1,7,1,2,2,16,48,5,7,8,2,8,1,1,10,7,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1014,605,7,4,396,4,7,2,1,2,21,55,4,11,15,5,6,0,2,12,14,0,27,1,1,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1521,576,5,0,387,2,10,2,0,1,12,77,2,0,7,5,1,0,4,30,10,1,11,1,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2029,661,3,4,429,1,4,2,0,3,19,81,6,5,20,0,14,1,4,16,6,0,26,0,1,4,1,0,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2536,535,6,3,313,3,7,0,0,2,8,96,9,0,10,2,0,0,9,33,7,0,13,2,0,1,0,0,3,0,1,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3043,492,9,0,269,1,4,2,1,3,11,98,8,4,6,3,0,0,12,23,3,0,14,1,0,2,3,2,1,2,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,3550,402,7,1,212,2,3,1,0,4,7,100,5,0,7,2,0,0,12,28,1,0,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4058,439,7,2,252,2,2,3,0,0,16,46,5,0,9,3,4,0,2,47,0,0,28,2,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4565,509,8,6,260,3,5,5,0,2,6,115,6,0,10,2,2,0,4,46,1,0,16,2,0,1,1,2,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,5072,423,5,2,245,4,0,3,0,3,10,49,2,0,11,6,1,1,5,49,0,0,21,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,5580,461,6,5,201,5,1,1,1,3,6,120,11,1,7,2,2,0,14,50,0,0,13,1,0,1,1,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,6087,770,13,13,400,2,0,3,1,1,0,105,17,0,14,5,3,0,12,113,0,0,49,0,0,0,3,1,5,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,6489,559,3,7,231,3,1,3,3,2,12,151,7,1,13,1,4,1,18,49,0,0,16,1,2,3,4,0,3,0,3,0,0,1,0,0,0,0,0,0,13,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,6891,598,4,12,280,9,0,4,1,0,37,70,9,0,11,5,3,0,20,57,0,0,43,1,0,2,8,0,6,0,1,0,0,0,1,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7293,546,5,19,261,1,1,4,0,1,27,110,7,0,8,2,0,0,25,39,0,0,24,0,0,5,1,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,7695,540,4,26,227,4,0,6,0,0,43,66,3,0,17,1,6,0,22,22,0,0,61,2,0,3,2,1,5,0,3,0,0,1,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170,8097,470,1,24,207,6,0,4,0,1,16,107,6,1,8,0,2,0,8,40,1,0,21,2,0,3,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,8649,477,0,84,221,4,2,0,0,4,31,21,12,0,31,0,3,0,5,16,0,0,29,1,0,4,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9352,430,2,58,229,1,0,0,1,7,21,27,15,0,18,1,1,0,4,11,1,0,18,0,1,5,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,10055,630,3,122,234,12,0,4,1,4,62,16,21,1,17,0,4,0,17,3,0,0,86,0,1,12,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,10758,447,0,76,79,10,0,0,0,2,95,25,14,2,6,0,3,0,24,9,0,0,83,0,1,5,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,2,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
220,NA,465,0,72,103,6,0,0,0,3,73,16,9,0,6,0,0,0,12,7,0,0,125,0,2,7,1,1,1,1,0,0,0,1,4,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
225,NA,524,4,64,184,5,0,2,0,1,55,61,10,0,9,0,1,0,22,20,0,0,75,0,1,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
230,NA,495,1,26,104,3,0,0,0,0,112,61,6,1,2,0,1,0,32,8,4,0,124,0,0,1,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,NA,578,2,28,130,43,0,1,0,0,120,23,8,0,0,1,3,0,46,8,0,0,129,0,4,3,1,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,8,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0
250,NA,559,4,14,239,11,2,0,0,0,61,59,6,1,1,1,9,0,45,5,0,0,76,0,1,1,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,1,0,4,0,1,1,0,0,0,0,0
260,NA,200,0,10,42,5,0,0,0,0,29,11,4,0,0,0,0,0,17,0,0,0,68,0,3,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
270,NA,534,1,6,76,28,0,0,0,0,81,68,2,0,1,1,3,0,153,2,2,0,57,0,27,0,1,7,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0,3,1,0,0,0
278,NA,489,3,12,99,26,0,0,0,0,77,35,2,0,0,0,1,0,136,0,0,0,83,0,6,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
285,NA,305,2,8,93,14,0,1,0,1,33,35,6,2,3,1,2,0,16,10,1,0,61,0,3,0,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0
