"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Brassicaceae","Calla.palustris","Carya.ovata","Caryophyllaceae","Castanea.dentata","Cephalanthus.occidentalis","Cerealia","cf..Callitriche","Chamaedaphne.calyculata","Corylus.cornuta","Cyperaceae","Dryopteris.type","Elymus.type","Equisetum","Ericaceae.undiff.","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae.undiff.","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Quercus","Ribes","Rosaceae.undiff.","Rubiaceae.undiff.","Rumex.type","Sagittaria","Salix.herbacea.type","Salix.undiff.","Sambucus","Saxifragaceae","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Utricularia","Vaccinium.uliginosum.type","Viburnum.edule"
0,0,5,3,0,0,1,0,23,2,1,23,2,4,67,0,1,0,0,0,0,0,0,0,0,43,2,0,0,2,0,7,0,4,1,0,2,0,1,0,0,0,9,2,0,2,1,0,3,0,1,0,2,4,0,0,6,4,7,38,25,84,1,1,1,0,7,0,0,0,3,2,0,20,0,0,0,0,0,0,9,6,1,4,0,8,2,0,0,0,0
10,110,2,0,3,1,2,0,15,3,0,23,0,3,75,0,0,0,3,0,0,1,0,2,1,63,0,0,0,1,0,2,0,4,1,0,3,0,0,0,0,0,0,2,0,2,1,0,4,0,0,0,2,3,0,0,3,2,15,17,27,39,0,7,0,0,9,0,2,2,11,4,0,24,0,0,12,0,1,5,6,8,3,2,0,18,3,0,0,0,0
20,219,12,1,0,0,1,0,13,6,0,28,3,8,120,0,1,0,0,1,0,0,0,1,1,414,0,0,0,0,4,4,0,10,1,1,1,1,2,0,0,0,8,1,1,3,1,0,6,0,0,1,4,0,0,0,32,9,11,49,37,101,0,4,6,8,11,1,9,0,18,2,0,12,1,0,4,1,0,1,15,2,2,4,0,6,18,0,0,0,0
30,329,1,0,1,0,1,0,6,2,0,2,0,2,25,0,0,2,0,0,0,0,2,0,0,36,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,1,1,0,0,5,2,1,15,16,415,0,3,1,0,7,0,0,0,2,0,0,1,0,0,1,0,0,0,20,0,0,1,0,6,3,0,0,0,0
40,439,1,1,0,0,1,0,4,1,0,0,0,1,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,6,2,0,10,0,1,0,0,2,0,2,0,0,1,7,3,0,33,18,576,0,0,2,0,0,1,0,1,6,0,0,1,0,0,1,0,0,0,22,0,0,2,1,5,0,0,0,1,0
50,549,6,2,5,3,4,0,17,4,1,3,4,1,134,0,0,3,0,0,1,0,0,0,0,12,0,0,0,1,0,30,0,6,3,0,4,1,1,0,0,0,28,4,0,11,0,0,0,1,0,0,8,7,0,0,7,2,9,62,33,73,0,3,5,1,14,0,0,0,1,0,0,4,0,0,3,0,0,2,82,0,2,9,0,20,0,2,0,1,0
60,700,9,2,0,2,9,0,26,6,0,1,2,0,161,0,0,4,0,1,0,0,1,1,0,14,0,0,0,1,0,29,0,15,3,0,2,0,1,0,1,1,0,9,0,20,0,0,0,0,1,0,8,11,1,0,23,5,19,95,42,48,0,5,5,0,18,0,3,1,2,0,20,1,0,0,5,2,1,2,110,0,1,17,0,31,3,0,1,0,0
80,1086,5,1,2,0,6,0,20,7,0,1,1,0,149,0,0,3,0,0,0,0,1,0,1,10,0,0,1,0,0,31,0,14,1,1,2,0,0,0,1,0,14,9,0,14,0,0,0,0,0,0,2,7,1,0,8,3,3,84,28,54,0,1,2,0,11,0,0,0,0,1,0,1,0,0,1,1,1,2,92,0,0,5,0,19,1,0,0,0,0
100,1473,4,2,2,1,5,0,16,1,0,0,0,1,119,0,0,1,0,0,0,0,0,1,0,9,0,0,0,1,1,46,0,20,1,1,2,0,0,0,0,0,13,7,0,10,0,0,0,0,0,0,2,11,2,0,10,3,7,146,33,78,0,3,1,0,14,0,0,0,0,0,0,1,0,0,1,1,0,0,71,1,0,11,0,14,1,0,0,0,0
120,1859,3,1,6,0,4,1,8,3,0,1,0,0,93,1,0,2,1,0,1,0,1,0,1,5,0,0,0,1,1,31,0,17,4,0,1,0,0,0,0,0,10,5,0,12,0,0,0,0,1,0,0,6,3,0,4,1,5,71,25,46,0,4,1,0,7,0,2,0,0,0,0,0,0,0,0,3,0,3,59,0,0,9,0,16,3,0,0,0,0
140,2245,5,1,2,0,5,0,17,1,0,0,2,0,123,0,0,1,1,1,0,0,1,0,0,6,0,0,0,0,0,35,0,15,3,0,2,0,1,0,2,0,14,2,0,11,1,0,0,4,0,0,4,13,1,0,8,1,2,103,22,20,0,5,0,0,15,0,1,0,0,0,0,0,0,0,1,2,2,2,62,0,1,9,0,27,0,0,0,0,0
160,2632,5,2,2,2,6,0,16,3,0,0,0,0,121,0,0,0,0,1,0,0,1,0,1,7,0,0,0,0,0,32,0,16,1,1,0,0,1,0,0,0,7,13,0,15,1,0,0,0,0,0,1,15,2,0,3,1,4,80,33,25,0,0,2,2,9,0,0,0,7,0,0,0,0,0,4,3,1,1,52,0,1,12,0,14,1,0,0,1,0
180,3018,1,1,3,1,10,0,14,3,0,0,1,0,109,0,0,2,0,0,0,0,2,0,1,10,0,0,0,0,0,35,1,13,2,0,0,0,0,0,5,0,4,11,0,13,0,0,0,0,1,0,1,7,3,0,5,1,2,88,32,31,0,6,0,0,14,0,1,0,0,1,0,1,0,1,0,1,0,4,53,0,0,10,0,14,1,0,0,0,1
200,3404,0,0,1,0,11,0,24,0,0,0,2,1,171,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,46,0,19,3,1,0,0,0,0,1,0,19,2,0,5,0,0,0,0,1,0,22,0,1,0,4,2,10,95,19,31,0,1,1,0,13,0,1,0,0,0,0,0,0,1,3,2,0,1,61,0,0,13,0,11,0,0,0,0,0
