"sample.depths","sample.ages","Abies","Acer.negundo","Betula","Carya","Amaranthaceae.undiff.","Cyperaceae","Impatiens","Asteraceae.subf..Cichorioideae","Picea","Platanus","Quercus","Salix","Tilia","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Plantago","Acer.saccharum","Fraxinus.nigra","Fraxinus.americana","Fagus","Thalictrum","Cupressaceae","Larix","Rumex","Juglans.cinerea","Ostrya.Carpinus","Artemisia","Corylus","Juglans.nigra","Polygonum.persicaria","Sarcobatus.vermiculatus","Ranunculus","Populus","Lamiaceae"
1,-28,0.00359712230215827,0.00719424460431655,0.00719424460431655,0.00359712230215827,0.0143884892086331,0.0359712230215827,0.00359712230215827,0.0215827338129496,0.00719424460431655,0.0143884892086331,0.0755395683453237,0.00359712230215827,0.00359712230215827,0.0179856115107914,0.00719424460431655,0.0107913669064748,0.00359712230215827,0.0755395683453237,0.446043165467626,0.165467625899281,0.00359712230215827,0.0503597122302158,0.00359712230215827,0.0143884892086331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,43,0,0,0.0413793103448276,0.0137931034482759,0,0.110344827586207,0,0.0172413793103448,0,0,0.0517241379310345,0,0.0551724137931034,0.0482758620689655,0.0137931034482759,0.0482758620689655,0.0206896551724138,0.0310344827586207,0.279310344827586,0.0689655172413793,0,0.124137931034483,0,0.00689655172413793,0.0655172413793104,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0
25,78,0.00247524752475248,0,0.00495049504950495,0.00247524752475248,0.0297029702970297,0.309405940594059,0,0.0148514851485149,0.00742574257425743,0,0.0247524752475248,0.00495049504950495,0.0123762376237624,0.056930693069307,0.0173267326732673,0.0173267326732673,0.0123762376237624,0.0420792079207921,0.245049504950495,0.118811881188119,0,0.0495049504950495,0.00495049504950495,0,0.00247524752475248,0,0.0099009900990099,0.00742574257425743,0.00247524752475248,0,0,0,0,0,0,0,0,0,0
35,626,0.00333333333333333,0,0.00333333333333333,0,0,0.0133333333333333,0,0.0366666666666667,0,0,0.01,0,0.0166666666666667,0.39,0,0.0233333333333333,0.00666666666666667,0,0.446666666666667,0.0166666666666667,0,0.0166666666666667,0,0,0.01,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0,0,0
55,2730,0,0,0.02,0.00666666666666667,0,0.0433333333333333,0,0,0.00333333333333333,0,0.0233333333333333,0,0.0233333333333333,0.39,0.01,0.0233333333333333,0.02,0,0.28,0.04,0,0.0333333333333333,0,0.0133333333333333,0.0433333333333333,0,0.00666666666666667,0.00333333333333333,0,0.00666666666666667,0.01,0,0,0,0,0,0,0,0
65,3782,0,0,0.0316901408450704,0.0176056338028169,0,0.0457746478873239,0,0,0.00352112676056338,0,0,0,0.0387323943661972,0.373239436619718,0.0246478873239437,0.0598591549295775,0.0528169014084507,0.00352112676056338,0.176056338028169,0.0246478873239437,0,0.0633802816901408,0,0.00352112676056338,0.0669014084507042,0.00704225352112676,0.00352112676056338,0,0,0,0.00352112676056338,0,0,0,0,0,0,0,0
75,4834,0,0,0.0321428571428571,0,0,0.0285714285714286,0,0,0,0,0,0.00357142857142857,0.0178571428571429,0.346428571428571,0.0285714285714286,0.0428571428571429,0.05,0.00714285714285714,0.271428571428571,0.0178571428571429,0,0.05,0.0142857142857143,0,0.05,0,0.00357142857142857,0,0,0,0.0178571428571429,0.00357142857142857,0.00357142857142857,0.00357142857142857,0.00714285714285714,0,0,0,0
85,5886,0,0,0.0199335548172757,0.00332225913621262,0.00332225913621262,0.0365448504983389,0,0,0,0.00664451827242525,0.0199335548172757,0,0.00996677740863787,0.305647840531561,0.0199335548172757,0.0830564784053156,0.0730897009966777,0.00664451827242525,0.232558139534884,0.0132890365448505,0,0.0431893687707641,0.00996677740863787,0.00664451827242525,0.0697674418604651,0,0.0199335548172757,0,0,0,0.00996677740863787,0.00332225913621262,0,0,0,0.00332225913621262,0,0,0
95,6938,0.00333333333333333,0,0.00333333333333333,0.00333333333333333,0,0.103333333333333,0,0,0.00666666666666667,0,0.0633333333333333,0,0.00333333333333333,0.15,0.0133333333333333,0.04,0.03,0.00666666666666667,0.38,0.0133333333333333,0,0.06,0.0166666666666667,0,0.08,0.00333333333333333,0.00666666666666667,0,0,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0
105,7991,0.00666666666666667,0,0.0166666666666667,0,0,0.126666666666667,0,0,0.01,0.00333333333333333,0.0333333333333333,0,0,0.166666666666667,0.00333333333333333,0.0166666666666667,0.0366666666666667,0.00333333333333333,0.443333333333333,0.0166666666666667,0,0.0366666666666667,0.01,0.00333333333333333,0.0366666666666667,0,0.0166666666666667,0.00666666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0,0
