"depth","best.age","min.age","max.age"
15,82,-3,170
78,717,579,863
158,1638,1472,1802
178,1869,1686,2045
208,2214,2005,2417
308,3538,3306,3761
358,4241,4015,4457
398,4803,4581,5015
498,6208,5993,6418
546,6882,6670,7093
612,7810,7596,8019
650,8343,8128,8553
675,8695,8478,8905
708,9158,8939,9371
760,9889,9665,10107
793,10353,10125,10575
825,10802,10570,11030
855,11224,10987,11457
866,11378,11141,11615
877,11533,11294,11771
901,11870,11627,12113
925,12207,11959,12455
940,12418,12168,12670
1005,13331,13065,13596
1067,14203,13921,14483
1088,14498,14210,14783
1120,14947,14650,15240
1133,15130,14830,15427
1168,15622,15312,15929
1189,15917,15600,16230
1208,16184,15862,16503
1233,16535,16205,16862
1273,17097,16755,17437
1298,NA,NA,NA
