"sample.depths","sample.ages","Abies","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Amorpha","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Caryophyllaceae","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.undiff.","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Menyanthes.trifoliata","Myriophyllum","Nuphar","Ostrya","Picea","Pinus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Ranunculus","Rosaceae","Salix","Sarcobatus.vermiculatus","Selaginella.rupestris","Selaginella.selaginoides","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown"
1,NA,0,1,0,1,3,0,4,2,0,19,1,0,1,2,47,16,3,0,0,2,0,11,0,1,0,12,0,0,1,2,0,76,95,6,0,0,1,15,0,0,4,0,3,0,0,0,1,0,2,0,5,1
5,NA,2,1,0,0,2,0,2,0,1,23,1,0,0,0,50,22,0,0,0,1,1,14,0,1,0,1,0,3,0,0,0,60,113,3,0,0,2,23,0,0,1,0,4,0,0,0,0,0,1,0,13,0
10,NA,0,3,0,1,1,0,2,2,0,9,0,0,0,0,107,6,0,0,1,0,0,1,0,1,0,5,1,1,0,0,1,57,88,4,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,5,1
15,NA,1,0,0,0,1,0,0,1,0,7,4,0,0,1,95,1,0,0,0,2,0,1,0,2,0,3,0,11,0,1,0,64,96,1,1,0,3,12,0,0,1,0,0,0,0,0,1,0,1,0,6,1
20,NA,0,0,1,1,0,0,1,3,0,5,0,0,0,0,18,2,0,0,0,1,0,2,0,0,0,2,0,1,0,0,0,149,106,2,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,3,1
25,NA,3,4,3,1,2,0,6,1,0,21,1,0,0,0,69,0,2,0,0,2,1,5,0,1,0,6,1,0,0,0,0,103,47,3,0,0,0,15,0,0,1,0,0,0,0,1,0,0,5,0,5,1
30,12713,1,0,2,0,4,0,11,1,0,10,0,0,0,1,55,1,1,0,0,0,0,2,0,0,0,4,0,0,0,1,0,154,36,2,0,0,0,14,0,0,1,0,0,0,0,0,0,0,1,0,4,0
35,12886,0,0,0,0,2,0,4,1,0,28,1,0,0,1,88,3,3,0,0,11,0,5,0,1,0,0,1,0,0,3,0,121,3,11,0,3,0,22,0,1,1,0,0,0,0,0,2,0,0,0,2,0
40,13058,0,0,0,1,10,0,3,1,0,18,2,0,0,7,89,7,4,0,0,13,2,1,0,1,0,0,0,0,7,4,0,112,8,9,0,1,0,20,0,0,4,0,0,0,1,0,0,0,0,0,0,0
45,13230,0,0,0,0,5,0,2,2,0,29,1,0,0,5,94,1,6,0,0,10,0,5,1,0,0,0,0,0,7,3,0,102,10,8,1,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,6,1
50,13402,0,0,0,0,6,0,6,5,0,19,1,0,0,2,131,2,7,0,0,10,0,1,0,1,0,0,0,0,15,2,0,83,7,13,0,6,0,10,0,1,2,1,0,2,0,0,0,0,1,0,1,3
55,13574,0,0,0,1,5,0,6,3,0,17,1,0,0,6,162,4,0,0,0,6,3,7,1,0,1,0,0,0,9,2,0,53,5,4,0,16,0,14,0,2,7,0,0,0,1,0,0,0,0,0,3,0
60,13746,0,0,0,1,0,0,6,2,0,20,1,0,0,3,154,1,2,0,0,4,2,4,0,0,0,0,0,0,10,0,0,56,14,13,0,5,0,17,3,3,6,0,0,0,1,0,0,0,0,0,1,0
65,13918,0,0,0,1,4,0,4,5,0,17,1,0,0,0,187,0,1,0,0,5,0,7,0,0,0,0,0,0,7,0,0,27,9,13,0,11,0,18,0,1,4,0,0,0,0,0,0,0,0,0,4,1
70,14090,1,0,1,0,2,1,9,4,0,23,0,0,0,6,184,1,0,0,0,9,2,16,0,0,0,0,0,0,12,0,0,18,7,9,2,5,0,3,3,1,16,0,0,0,0,0,1,0,0,0,1,0
75,14262,0,0,1,0,0,0,12,5,0,9,0,0,0,3,185,3,3,0,0,8,0,7,0,0,0,0,0,0,13,0,0,19,8,17,2,10,0,13,1,0,11,0,0,0,0,0,4,0,1,0,2,2
80,14434,0,0,0,0,1,0,4,6,0,6,0,0,0,2,185,3,0,0,0,4,2,9,0,0,0,0,0,0,24,0,0,28,17,14,3,7,0,11,2,0,15,0,0,0,0,0,0,0,0,0,2,4
85,14607,0,0,0,0,3,2,7,2,0,8,0,0,0,3,189,1,0,0,0,7,0,3,0,0,0,0,0,0,18,0,0,27,7,13,2,6,0,8,2,0,20,0,0,0,0,0,0,0,0,0,0,2
90,NA,0,0,0,0,2,0,7,5,0,5,0,1,0,0,184,5,0,0,0,3,0,4,0,0,0,0,0,0,14,0,0,30,12,11,1,0,0,9,3,0,30,0,0,0,0,0,0,0,0,0,0,3
95,NA,0,0,0,0,1,0,1,1,0,10,0,4,0,1,192,0,2,1,0,10,2,4,0,0,0,0,0,0,14,0,0,31,10,14,7,1,0,9,0,1,6,0,0,0,0,0,0,0,0,0,1,6
100,NA,0,0,1,0,1,0,3,1,0,2,0,0,0,1,217,4,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,35,11,6,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,35
105,NA,0,0,0,0,0,0,1,1,2,1,1,0,0,1,28,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,26,34,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,24
110,NA,0,0,1,0,0,0,7,2,0,7,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,44,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,42
120,NA,0,0,0,0,3,0,4,0,0,2,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,31,45,3,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,44
130,NA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,43,47,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,21
140,NA,0,0,2,0,1,0,3,1,0,2,1,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,69,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,31
150,NA,0,0,0,0,0,0,7,1,0,0,0,0,0,0,10,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,22,54,5,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,17
160,NA,0,0,0,1,1,0,4,1,0,2,0,1,0,0,7,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,19,54,4,0,0,0,4,0,0,1,0,0,0,1,3,1,0,0,0,0,11
170,NA,0,0,1,0,3,0,3,1,0,7,1,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,12,55,3,0,0,0,6,0,0,1,0,0,0,0,2,0,0,0,0,0,10
180,NA,0,0,4,0,0,0,4,1,0,5,0,0,0,0,7,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,23,48,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,26
190,NA,0,0,0,1,0,0,4,2,0,0,0,0,0,0,9,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,23,45,12,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,24
200,NA,0,0,2,2,3,0,7,1,0,5,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,34,46,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,56
