"depth","best.age","min.age","max.age"
387,99,51,148
412,294,200,353
437,483,337,564
460,650,466,749
480,787,580,904
500,915,694,1048
520,1033,814,1177
540,1145,941,1303
560,1255,1069,1430
580,1368,1213,1544
600,1488,1343,1666
620,1619,1480,1798
640,1760,1618,1939
660,1911,1762,2088
680,2070,1915,2246
700,2236,2076,2409
720,2407,2243,2577
740,2582,2419,2752
760,2761,2595,2924
780,2942,2777,3101
800,3123,2960,3284
820,3304,3140,3469
840,3485,3315,3653
860,3663,3487,3837
880,3840,3652,4016
900,4014,3817,4194
960,4518,4293,4719
980,4678,4448,4890
1100,5541,5302,5761
1220,6292,6084,6499
1300,6773,6564,6978
1400,7397,7127,7675
1530,8297,7884,8732
1622,9028,8564,9466
1720,9858,9456,10290
1800,10768,10453,11217
1878,12107,11781,12428
1935,13187,12890,13452
1960,13667,13343,13949
