"depth","best.age","min.age","max.age"
0.5,NA,NA,NA
4.5,NA,NA,NA
9.5,885,781,995
14.5,1097,1004,1198
19.5,1310,1223,1401
24.5,1523,1440,1607
27.5,1651,1571,1733
34.5,1948,1871,2028
39.5,2161,2086,2246
44.5,2374,2299,2466
49.5,2587,2510,2689
55.5,2855,2773,2967
59.5,3130,3050,3228
65.5,3543,3450,3652
69.5,3818,3716,3962
74.5,4163,4042,4358
79.5,4507,4364,4756
84.5,4625,4474,4802
89.5,4719,4520,4916
94.5,5225,5063,5384
99.5,5730,5589,5872
104.5,6236,6090,6380
109.5,6742,6572,6905
114.5,7296,7113,7474
119.5,7964,7768,8162
124.5,8632,8385,8919
129.5,9299,8965,9692
134.5,9816,9461,10219
139.5,10106,9607,10598
