"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Alnus.incana","Alnus.undiff.","Alnus.viridis.subsp..crispa","Amaranthaceae","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Betula.undiff.","Betulaceae.undiff.","Caryophyllaceae","Coniferophyta.undiff.","Corylus","Cupressaceae","Cyperaceae","Dryopteris","Epilobium","Equisetum","Ericaceae","Fabaceae","Fraxinus.nigra","Fraxinus.pennsylvanica","Fraxinus.undiff.","Huperzia.lucidula","Indeterminable","Isoëtes","Larix","Lycopodiella.inundata","Lycopodium.annotinum","Lycopodium.clavatum.Diphasiastrum.complanatum","Lycopodium.undiff.","Myrica","Nuphar","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Platanus","Poaceae","Populus","Potamogeton","Pteridium","Quercus","Rubus.chamaemorus","Salix","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Symphoricarpos.albus","Thalictrum","Tsuga","Ulmus","Unknown","Unknown.undiff."
868,4418,36,0,0,0,4,2,16,0,0,2,2,22,126,22,0,26,0,0,4,6,0,0,2,0,0,0,2,0,18,14,4,0,0,0,0,2,0,0,0,502,0,0,18,28,0,0,0,0,0,4,0,0,0,0,6,0,0,0,2,0,2
888,5130,32,0,0,0,4,2,10,0,0,0,0,42,136,26,0,20,0,2,0,8,0,0,0,0,0,0,0,0,12,2,4,0,0,0,0,0,0,0,24,442,0,4,16,24,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,2
902,5627,28,0,0,0,4,0,4,0,0,2,0,50,142,34,0,16,0,2,2,4,0,2,0,0,4,0,0,0,16,6,4,0,2,0,0,0,4,0,0,0,354,4,6,8,0,0,2,0,2,2,0,0,0,0,4,0,0,0,2,2,4
905,5734,20,0,0,0,0,4,28,0,2,2,0,46,206,48,0,8,0,0,4,4,0,0,0,0,2,0,0,0,10,4,0,0,2,0,0,2,0,0,12,234,0,2,4,10,2,0,0,0,0,0,0,2,0,0,2,2,0,0,2,0,0
907,5805,24,0,0,2,2,2,40,0,0,0,0,38,202,28,0,14,0,0,2,6,0,0,0,0,0,0,0,0,12,2,2,0,8,0,0,2,0,2,0,0,262,8,12,20,0,0,2,0,0,0,0,0,0,0,2,0,2,0,4,0,6
910,5933,50,0,0,0,6,6,20,0,0,2,2,38,172,40,0,20,0,2,2,2,0,0,0,0,0,0,0,4,6,2,0,0,6,0,0,0,2,0,0,0,454,6,14,18,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
913,6065,30,0,0,2,8,2,20,2,0,0,2,26,110,64,0,10,2,0,4,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,0,4,0,0,0,0,326,2,26,8,0,2,8,0,0,0,0,0,0,0,6,0,0,2,0,0,2
918,6285,76,0,0,0,4,4,12,0,6,2,0,44,164,46,0,16,2,0,4,2,0,2,0,0,0,0,4,0,12,2,0,0,2,0,0,0,0,6,60,538,0,4,30,10,0,2,2,2,0,0,0,0,2,0,10,0,0,0,0,0,2
924,6550,28,0,0,0,2,8,36,0,0,0,0,98,308,68,0,10,0,6,6,2,0,0,0,0,0,0,0,2,18,0,0,0,2,0,4,2,0,4,14,270,0,2,4,6,0,0,4,2,0,0,0,2,0,0,4,4,0,0,4,0,2
928,6726,56,0,0,0,0,6,32,2,0,2,0,82,252,78,0,18,0,6,8,8,0,0,0,0,2,0,0,0,10,0,0,0,6,2,0,2,2,0,0,0,358,6,12,8,0,2,2,0,0,2,0,0,0,0,6,0,0,0,4,0,6
933,6946,60,2,4,0,2,6,18,0,0,2,0,74,236,32,0,18,2,0,2,12,0,0,0,0,0,0,4,0,16,6,0,2,6,2,0,0,0,0,32,172,0,2,22,22,0,0,0,0,0,0,2,2,0,0,2,0,0,4,4,0,8
934,6990,40,0,0,0,0,4,36,0,0,4,0,58,232,34,0,18,0,10,6,6,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,2,0,0,0,0,152,0,10,16,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,6
938,7166,110,0,0,0,4,10,40,2,0,0,2,130,368,76,0,14,0,0,2,10,2,0,0,2,4,0,0,0,16,4,0,0,2,0,0,2,0,0,44,90,0,4,22,18,0,2,6,2,0,2,0,0,0,0,0,2,0,0,0,0,2
940,7254,58,0,0,0,2,26,64,0,2,4,0,120,298,60,0,26,0,2,2,0,0,0,0,0,2,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,106,0,18,22,0,2,6,0,0,4,0,0,0,0,4,0,0,0,4,0,10
943,7386,64,0,0,0,0,18,114,0,2,4,0,118,256,52,0,26,0,14,10,10,0,0,0,0,0,0,0,2,22,4,0,0,14,0,0,0,0,0,36,46,0,10,18,16,0,0,6,0,0,2,0,6,0,0,2,2,0,2,0,0,4
945,7474,58,0,0,0,2,42,172,2,2,4,0,52,172,102,2,24,0,2,4,4,0,0,0,0,0,0,0,2,40,0,0,0,52,4,0,2,0,0,0,0,76,6,28,22,0,2,2,2,0,4,0,2,0,0,2,4,0,0,0,0,0
948,7607,28,0,0,0,4,58,160,2,0,0,6,24,84,38,0,24,0,0,0,12,0,0,2,0,0,0,0,0,48,6,0,0,110,8,2,0,0,8,36,46,0,8,12,26,0,8,4,0,2,0,0,4,0,0,2,2,0,0,0,0,18
953,NA,14,0,0,0,0,84,168,2,0,0,2,6,22,32,0,12,0,10,26,12,2,0,4,0,2,0,0,0,68,0,0,0,8,0,0,0,0,8,0,0,68,12,14,34,0,0,14,0,0,0,0,12,0,0,0,2,0,0,0,0,6
958,NA,20,0,0,0,2,34,102,2,0,6,0,22,78,36,0,26,4,8,18,12,0,0,0,0,2,0,2,0,68,2,0,0,8,2,0,0,0,8,94,30,0,6,18,80,0,0,2,0,4,0,0,2,0,8,6,12,0,2,2,0,0
963,NA,12,0,0,0,4,20,124,0,4,10,8,22,144,60,0,16,0,6,18,4,0,0,0,0,0,0,0,0,64,0,2,0,8,2,0,0,0,12,0,0,44,2,6,44,0,0,2,0,4,6,0,16,0,4,6,8,0,2,2,0,4
