"sample.depths","sample.ages","Abies.balsamea","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Sarcobatus.vermiculatus","Comptonia.peregrina","Cornus.canadensis","Cornus.undiff.","Corylus.cornuta","Cyperaceae","Cystopteris","Diphasiastrum.alpinum.type","Diphasiastrum.complanatum.type","Dryas","Dryopteris.type","Equisetum","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Koenigia.islandica","Lamiaceae","Larix","Liliaceae","Ludwigia","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Myrica.gale","Myriophyllum.alterniflorum","Myriophyllum.undiff.","Nemopanthus.mucronatus","Nuphar","Nymphaeaceae.undiff.","Onagraceae.undiff.","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Polygonaceae.undiff.","Polypodium.virginianum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Prunus.virginiana","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rosaceae.cf..Prunus.serotina","Rosaceae.undiff.","Salix.herbacea.type","Salix.undiff.","Sambucus","Saxifraga.cernua.type","Saxifraga.oppositifolia.type","Saxifraga.stellaris.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urticaceae","Viburnum.alnifolium","Viburnum.edule","Viburnum.nudum","Viburnum.undiff.","Woodsia.type"
10,361,9,0,0,0,4,4,20,4,0,1,0,0,0,0,0,272,0,0,0,3,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,21,0,7,0,1,0,0,6,0,41,0,0,0,5,0,0,0,0,1,3,1,0,0,0,0,1,0,1,0,5,2,29,6,5,0,60,24,3,0,0,0,3,2,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,33,0,1,8,1,11,0,0,0,0,0,0,0
25,903,5,0,4,0,15,0,9,4,0,1,0,1,0,0,0,288,0,0,0,1,0,0,0,0,0,0,0,8,13,0,0,0,0,0,1,3,0,0,39,0,8,1,3,0,0,6,2,72,30,0,0,4,0,0,1,0,3,0,4,0,0,1,0,0,0,1,0,2,0,27,8,28,2,52,46,5,0,0,0,2,4,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,4,2,0,0,85,0,0,9,1,23,3,0,0,0,0,0,0
35,1265,6,0,3,0,9,0,13,2,0,1,0,1,0,0,0,249,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,3,1,0,14,0,9,3,0,0,0,6,0,69,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,17,2,8,0,88,34,6,0,0,0,4,0,0,0,0,0,0,18,0,0,0,3,0,1,0,0,0,0,0,0,7,2,0,0,37,0,0,4,3,6,0,1,0,0,0,0,0
50,1807,9,2,4,0,11,1,18,1,0,0,0,3,0,0,0,380,0,0,0,0,2,1,1,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,36,0,4,4,3,0,2,2,1,68,0,0,0,2,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,5,1,16,2,7,2,80,23,6,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,62,0,0,13,5,10,0,0,0,0,0,0,0
65,2210,2,0,2,0,8,1,7,5,0,0,0,0,0,0,0,289,0,0,0,16,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,1,0,54,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,3,0,4,2,10,0,71,19,7,0,0,0,8,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,1,20,0,1,1,2,7,0,0,0,0,0,0,1
75,2432,5,0,0,2,7,2,9,5,0,0,0,2,2,0,0,219,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,1,2,0,0,14,0,4,0,2,1,0,7,0,14,7,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,3,0,3,5,15,2,55,41,7,0,0,0,5,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,1,4,0,24,2,0,0,0,0,0,0
85,2654,3,0,1,0,10,0,4,0,0,0,0,1,2,0,0,267,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,23,2,8,0,2,0,1,1,1,35,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,1,0,4,0,8,2,4,0,57,27,6,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,28,1,0,7,1,12,2,0,0,0,0,0,0
92,2810,4,0,3,0,10,2,8,1,0,0,0,0,1,0,0,240,0,0,0,2,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,40,0,6,0,1,0,0,4,0,13,2,0,0,6,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,4,0,7,4,0,0,82,20,4,0,1,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,80,0,0,11,2,11,2,0,0,0,0,0,0
100,2988,1,1,2,0,8,0,12,0,0,1,0,1,2,0,0,197,0,0,0,2,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,36,0,7,1,0,0,1,3,0,23,0,0,0,3,0,0,0,1,1,4,0,0,0,2,0,0,0,0,0,2,0,5,1,6,2,77,17,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,60,0,0,11,0,5,0,0,0,0,0,0,0
107,3144,3,0,1,0,9,0,5,0,0,0,0,0,0,0,0,300,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,21,2,3,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,46,15,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,1,0,2,59,0,0,3,0,4,0,0,0,0,0,0,0
