"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.undiff.","Alnus.incana","Alnus.viridis.subsp..crispa","Betula..small.","Betula.undiff.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
0,-49,0,0.010852713,0.00620155,0,0.00620155,0,0,0.049612403,0.010852713,0.012403101,0,0,0.004651163,0.003100775,0.001550388,0.003100775,0,0.024806202,0.004651163,0,0.00620155,0.003100775,0.013953488,0.003100775,0,0,0.00620155,0,0.018604651,0.012403101,0.001550388,0,0,0.00620155,0.015503876,0.015503876,0.251162791,0,0,0.314728682,0,0,0,0,0.001550388,0.010852713,0.001550388,0,0.031007752,0,0,0.015503876,0.003100775,0,0.003100775,0.034108527,0,0,0,0,0,0.004651163,0.043410853,0,0,0,0.004651163,0.03875969,0.001550388,0,0,0
8,-30,0,0.001285347,0.005141388,0.001285347,0.007712082,0,0,0.057840617,0.007712082,0.005141388,0,0,0.001285347,0.003856041,0,0,0.003856041,0.023136247,0.006426735,0.001285347,0,0.002570694,0.010282776,0.002570694,0,0,0,0,0.023136247,0.007712082,0,0,0,0.005141388,0.008997429,0.003856041,0.195372751,0.001285347,0,0.309768638,0,0,0,0,0,0.015424165,0.01285347,0,0.071979434,0,0.001285347,0.023136247,0.001285347,0,0,0.048843188,0,0,0,0,0,0.007712082,0.082262211,0.002570694,0,0,0,0.035989717,0,0,0,0
16,-9,0,0.007915567,0.006596306,0,0.005277045,0,0,0.077836412,0.009234828,0.013192612,0.003957784,0,0.009234828,0.001319261,0.002638522,0,0.001319261,0.006596306,0.006596306,0.007915567,0,0.006596306,0.001319261,0.005277045,0,0,0,0.001319261,0.027704485,0.006596306,0.001319261,0.001319261,0,0.002638522,0.003957784,0,0.146437995,0,0.002638522,0.30474934,0,0.001319261,0,0,0,0.011873351,0.003957784,0.001319261,0.100263852,0,0,0.023746702,0.001319261,0,0,0.046174142,0,0,0,0,0.001319261,0.007915567,0.083113456,0.003957784,0,0,0,0.036939314,0.002638522,0.002638522,0,0
24,51,0,0.002695418,0.004043127,0,0.017520216,0,0,0.076819407,0.008086253,0.008086253,0.001347709,0.002695418,0.013477089,0.013477089,0,0.001347709,0.002695418,0.009433962,0.008086253,0.001347709,0.002695418,0.002695418,0.004043127,0.002695418,0,0,0,0,0.020215633,0.002695418,0.005390836,0,0,0.008086253,0,0.001347709,0.095687332,0,0,0.315363881,0,0.001347709,0,0,0,0.041778976,0.004043127,0,0.047169811,0,0,0.025606469,0.001347709,0,0.001347709,0.043126685,0.001347709,0,0,0,0,0.005390836,0.133423181,0.002695418,0,0,0,0.053908356,0.005390836,0,0,0
32,124,0,0.002721088,0.008163265,0,0.008163265,0,0,0.047619048,0.012244898,0.00952381,0.004081633,0,0.002721088,0.00952381,0,0.001360544,0,0.006802721,0.020408163,0.005442177,0.002721088,0.012244898,0.008163265,0,0,0,0.002721088,0,0.046258503,0.008163265,0.005442177,0,0,0.010884354,0.001360544,0,0.127891156,0,0,0.304761905,0,0,0,0,0,0.023129252,0.006802721,0,0.074829932,0,0,0.024489796,0,0,0.004081633,0.020408163,0,0,0,0,0,0.004081633,0.05170068,0,0,0,0,0.114285714,0.005442177,0.001360544,0,0
40,195,0,0.002735978,0.004103967,0,0.012311902,0,0,0.064295486,0.013679891,0.009575923,0.004103967,0,0.008207934,0.013679891,0,0,0,0.005471956,0.013679891,0.002735978,0.002735978,0.001367989,0.005471956,0.004103967,0,0,0,0,0.031463748,0.004103967,0.004103967,0,0,0.005471956,0.001367989,0.002735978,0.136798906,0.001367989,0,0.357045144,0,0,0,0,0,0.019151847,0.005471956,0,0.061559508,0,0,0.016415869,0.001367989,0,0,0.030095759,0,0,0,0.001367989,0,0,0.088919289,0,0,0,0,0.058823529,0.004103967,0,0,0
48,265,0,0.002717391,0.013586957,0,0.008152174,0,0,0.047554348,0.006793478,0.008152174,0,0,0.002717391,0.005434783,0,0,0.001358696,0,0.016304348,0.005434783,0.008152174,0.019021739,0.006793478,0.001358696,0,0,0,0,0.039402174,0.00951087,0.004076087,0,0,0.014945652,0.005434783,0.005434783,0.13451087,0.002717391,0,0.34375,0,0,0,0,0,0.024456522,0.013586957,0,0.039402174,0,0,0.012228261,0,0,0.006793478,0.039402174,0,0,0,0,0,0.001358696,0.05298913,0,0,0,0.001358696,0.092391304,0.002717391,0,0,0
56,411,0,0.001508296,0.012066365,0,0.007541478,0,0,0.061840121,0.016591252,0.027149321,0.006033183,0,0,0,0,0,0.001508296,0.001508296,0.027149321,0.006033183,0.006033183,0.015082956,0,0.001508296,0,0,0,0,0.012066365,0.001508296,0.004524887,0,0,0.012066365,0.003016591,0.004524887,0.147812971,0,0,0.450980392,0,0,0,0,0,0.049773756,0.010558069,0,0.010558069,0,0,0.013574661,0,0,0,0.030165913,0,0,0,0,0,0,0.036199095,0,0,0,0,0.018099548,0.003016591,0,0,0
64,617,0,0.001584786,0.00792393,0,0.006339144,0,0,0.034865293,0.017432647,0.049128368,0.003169572,0,0.001584786,0.001584786,0,0,0,0.001584786,0.022187005,0.003169572,0.003169572,0.006339144,0.003169572,0.001584786,0,0,0,0,0.020602219,0,0.004754358,0,0,0.006339144,0.003169572,0.001584786,0.187004754,0,0,0.488114105,0,0,0,0,0,0.034865293,0.015847861,0,0.011093502,0,0.001584786,0.011093502,0,0,0,0.026941363,0,0,0,0,0,0,0.019017433,0.001584786,0,0,0,0,0,0.001584786,0,0
72,705,0,0.001597444,0.006389776,0,0.001597444,0,0,0.075079872,0.004792332,0.025559105,0,0,0.006389776,0,0,0,0.001597444,0.001597444,0.031948882,0.003194888,0.004792332,0.003194888,0.001597444,0.003194888,0,0,0,0,0.030351438,0,0.001597444,0,0,0,0.006389776,0,0.172523962,0.003194888,0,0.392971246,0,0,0,0,0,0.051118211,0.004792332,0,0.006389776,0,0,0.025559105,0,0,0,0.07028754,0,0,0,0.004792332,0,0,0.054313099,0,0,0,0,0,0,0.003194888,0,0
