"sample.depths","sample.ages","Acer.pensylvanicum","Acer.rubrum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Ranunculaceae.undiff.","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Rosaceae.undiff.","Juniperus.type","Ephedra","Poaceae","Abies.balsamea","Acer.saccharum","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Rumex.type","Juniperus.communis.Thuja.occidentalis.type","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Ericaceae","Brassicaceae","Rhamnus.cathartica","Acer.spicatum","Tilia","Carya.ovata","Castanea.dentata","Salix.undiff.","Populus.balsamifera.type","Corylus.cornuta","Amaranthaceae","Impatiens","Taxus","Nemopanthus.mucronatus","Thalictrum","Caryophyllaceae","Polygonum.lapathifolium.type","Acer.saccharinum","Morus.rubra.type","Pinus.resinosa.type","Saxifragaceae.undiff.","Shepherdia.canadensis","Prunus.pensylvanica","Acer.cf..A..pensylvanicum","Salix.herbacea.type","Lonicera","Epilobium","Polygonaceae.undiff.","Viburnum","Onagraceae.undiff.","Salix.vestita.type","cf..Oxyria.digyna","Prunus.undiff.","Fabaceae.undiff.","Asteraceae.subf..Cichorioideae","Oxytropis.maydelliana.type","Potentilla.palustris.type","Saxifraga.cernua.type"
5,61,0.00513698630136986,0.00171232876712329,0.011986301369863,0.00684931506849315,0.0410958904109589,0.00171232876712329,0.434931506849315,0.0342465753424658,0.00513698630136986,0.00171232876712329,0.00171232876712329,0.0154109589041096,0.00342465753424658,0.00684931506849315,0.113013698630137,0.0496575342465753,0.00171232876712329,0.0154109589041096,0.00171232876712329,0.00171232876712329,0.00684931506849315,0.00171232876712329,0.00171232876712329,0.023972602739726,0.00171232876712329,0.00856164383561644,0.0205479452054795,0.0188356164383562,0.00856164383561644,0.0222602739726027,0.0633561643835616,0.0102739726027397,0.0154109589041096,0.0256849315068493,0.0154109589041096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,305,0.00143266475644699,0.00143266475644699,0.00859598853868195,0.00429799426934097,0.00286532951289398,0.00429799426934097,0.461318051575931,0.0616045845272206,0.0114613180515759,0,0,0.0128939828080229,0.00573065902578797,0,0.0515759312320917,0.0673352435530086,0.00429799426934097,0.0329512893982808,0,0.00286532951289398,0.0114613180515759,0,0.00143266475644699,0.00286532951289398,0,0.00859598853868195,0.00716332378223496,0.0272206303724928,0.00143266475644699,0.0372492836676218,0.0558739255014327,0,0.00573065902578797,0.0916905444126074,0,0.00859598853868195,0.00286532951289398,0.00143266475644699,0.00143266475644699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,610,0,0.00217391304347826,0,0.0152173913043478,0.00217391304347826,0.00217391304347826,0.521739130434783,0.0608695652173913,0.00434782608695652,0.00217391304347826,0,0.00434782608695652,0.00434782608695652,0,0.0260869565217391,0.0326086956521739,0.00217391304347826,0.0521739130434783,0,0,0.00652173913043478,0,0.00217391304347826,0.0152173913043478,0,0.0173913043478261,0.0195652173913043,0.0347826086956522,0.00217391304347826,0.0391304347826087,0.0173913043478261,0,0,0.0782608695652174,0.00652173913043478,0.00652173913043478,0.00434782608695652,0,0,0.00434782608695652,0.00434782608695652,0.00217391304347826,0.00217391304347826,0.00434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,915,0,0,0.00234741784037559,0,0.00469483568075117,0.00704225352112676,0.481220657276995,0.068075117370892,0.0140845070422535,0.00469483568075117,0.00704225352112676,0.00234741784037559,0,0,0.0234741784037559,0.00938967136150235,0,0.0516431924882629,0,0,0.0140845070422535,0,0,0,0,0.00938967136150235,0.00234741784037559,0.0187793427230047,0,0.0704225352112676,0.110328638497653,0,0.00469483568075117,0.0821596244131455,0.00234741784037559,0.00704225352112676,0,0,0,0,0,0.00234741784037559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1220,0,0.00172413793103448,0.0120689655172414,0.00517241379310345,0.00517241379310345,0.00344827586206897,0.460344827586207,0.0482758620689655,0.00517241379310345,0.00344827586206897,0.00172413793103448,0.00689655172413793,0.00862068965517241,0,0.0741379310344828,0.0327586206896552,0.00172413793103448,0.0551724137931034,0,0.00172413793103448,0.0103448275862069,0,0,0,0,0.00517241379310345,0,0.0568965517241379,0,0.0431034482758621,0.0224137931034483,0,0.00172413793103448,0.0844827586206897,0.0206896551724138,0.0155172413793103,0.00172413793103448,0,0,0.00172413793103448,0.00344827586206897,0.00172413793103448,0,0,0.00172413793103448,0.00172413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,1525,0,0.00852272727272727,0.00568181818181818,0.00142045454545455,0.00284090909090909,0.00142045454545455,0.438920454545455,0.106534090909091,0.0170454545454545,0.00284090909090909,0.00284090909090909,0.00710227272727273,0,0,0.0369318181818182,0.0284090909090909,0,0.0284090909090909,0,0,0.015625,0,0.00426136363636364,0.00710227272727273,0,0.00994318181818182,0.0127840909090909,0.0426136363636364,0.00284090909090909,0.0340909090909091,0.0411931818181818,0,0,0.0951704545454545,0.00568181818181818,0.0241477272727273,0.00142045454545455,0,0,0.00142045454545455,0,0.00568181818181818,0,0.00568181818181818,0,0.00142045454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,1830,0,0.00142247510668563,0.00995732574679943,0.0042674253200569,0,0.00142247510668563,0.537695590327169,0.0526315789473684,0.0042674253200569,0.00284495021337127,0,0.00284495021337127,0.0042674253200569,0,0.0284495021337127,0.0455192034139403,0,0.0199146514935989,0,0,0.0227596017069701,0,0,0.00568990042674253,0,0.00711237553342817,0.00142247510668563,0.0312944523470839,0,0.0199146514935989,0.0213371266002845,0,0.0042674253200569,0.105263157894737,0.00995732574679943,0.0327169274537696,0.00995732574679943,0,0,0,0.0042674253200569,0.00284495021337127,0,0.0042674253200569,0,0,0.00142247510668563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2135,0,0.00169204737732657,0.00676818950930626,0,0,0.00676818950930626,0.50761421319797,0.089678510998308,0.00846023688663283,0.00338409475465313,0,0.00169204737732657,0,0,0.00846023688663283,0.050761421319797,0,0.0236886632825719,0,0,0.0152284263959391,0,0,0.00338409475465313,0,0.00846023688663283,0,0.0169204737732657,0.00169204737732657,0.0490693739424704,0.0186125211505922,0,0,0.125211505922166,0.00676818950930626,0.0287648054145516,0.0101522842639594,0,0,0.0050761421319797,0,0,0,0.00169204737732657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,2440,0,0.00266666666666667,0.00266666666666667,0.008,0,0.00133333333333333,0.506666666666667,0.096,0.0106666666666667,0.00266666666666667,0.00133333333333333,0.008,0.004,0,0.012,0.0333333333333333,0.00133333333333333,0.0173333333333333,0,0,0.024,0,0.00133333333333333,0.00666666666666667,0,0.004,0.012,0.0333333333333333,0.00133333333333333,0.012,0.028,0,0.00266666666666667,0.133333333333333,0.00266666666666667,0.00666666666666667,0,0,0,0,0.00266666666666667,0.004,0.004,0.004,0,0.004,0,0.00133333333333333,0.00266666666666667,0.00133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,2745,0,0,0.0210084033613445,0.0105042016806723,0.00420168067226891,0.00420168067226891,0.590336134453782,0.0315126050420168,0.00630252100840336,0.00210084033613445,0,0.0105042016806723,0.00210084033613445,0,0.00420168067226891,0.0252100840336134,0,0.023109243697479,0,0.00210084033613445,0.0189075630252101,0,0,0,0,0.0105042016806723,0.0126050420168067,0.0210084033613445,0.00210084033613445,0.0273109243697479,0.046218487394958,0,0,0.092436974789916,0,0.0105042016806723,0.0105042016806723,0,0,0,0,0.00630252100840336,0,0,0.00210084033613445,0,0.00210084033613445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
