"depth","best.age","min.age","max.age"
5,41,39,43
25,203,195,210
50,405,391,421
75,608,585,631
100,811,781,842
125,1013,976,1053
150,1216,1172,1264
175,1419,1366,1474
200,1621,1562,1685
225,1824,1757,1896
250,2027,1951,2106
275,2229,2147,2317
300,2432,2341,2527
325,2635,2538,2739
350,2837,2732,2949
375,3040,2927,3160
400,3243,3122,3370
425,3446,3317,3581
450,3648,3513,3792
475,3851,3707,4002
500,4054,3902,4213
525,4256,4098,4424
550,4459,4293,4635
575,4662,4488,4845
600,5118,4959,5284
625,5575,5427,5726
650,6032,5893,6175
675,6489,6349,6626
700,6945,6799,7081
725,7402,7245,7541
750,7859,7688,8005
775,8316,8129,8474
800,8772,8568,8949
815,9046,8832,9236
825,9229,9007,9427
835,9566,9343,9754
850,10302,10022,10553
860,10792,10407,11119
875,11528,10947,11992
885,12019,11303,12579
895,12376,11738,12882
905,12600,12240,12961
915,NA,NA,NA
920,NA,NA,NA
925,NA,NA,NA
930,NA,NA,NA
935,NA,NA,NA
945,NA,NA,NA
