"sample.depths","sample.ages","Abies.balsamea","Acer.cf..A..pensylvanicum","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Armeria.maritima","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Botrychium","Brassicaceae","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","cf..Taxus","Cornus.canadensis","Corylus.cornuta","Cyperaceae","Cystopteris","Dryopteris","Dryopteris.type.undiff.","Ericaceae","Eriocaulon","Fabaceae","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Ilex.Nemopanthus.undiff.","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Lamiaceae","Larix","Lycopodium.annotinum.type","Lycopodium.clavatum","Menyanthes.trifoliata","Morus.rubra.type","Myrica.gale","Myriophyllum.alterniflorum","Nemopanthus.mucronatus","Nuphar","Onagraceae","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Plantaginaceae","Poaceae","Polygonum.lapathifolium.type","Polygonum.viviparum","Polypodiaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.palustris.type","Prunus.pensylvanica","Prunus.undiff.","Quercus","Ranunculaceae.undiff.","Rhamnus.alnifolia.R..frangula","Rhamnus.cathartica","Rhamnus.Vitis.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex.type","Salix.herbacea.type","Salix.undiff.","Salix.vestita.type","Sambucus","Saxifragaceae","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.undiff.","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete.","Urtica.type","Viburnum.nudum","Woodsia.type"
5,41,6,0,0,3,0,7,2,36,8,1,32,0,1,4,0,0,337,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,15,1,0,1,1,0,0,22,0,4,1,0,1,0,0,1,1,1,0,0,7,0,1,0,0,0,14,9,8,1,21,32,1,18,0,0,0,0,2,0,0,0,0,17,0,0,1,0,1,0,3,0,1,0,0,0,0,3,0,0,0,11,3,0,0,2,5,0,18,0,0,0,0
25,203,0,1,0,2,0,8,0,10,2,0,2,0,0,2,0,0,331,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,22,2,1,1,0,0,0,31,0,0,0,0,3,0,1,0,0,0,0,0,9,0,0,0,0,0,8,3,22,0,20,7,0,2,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,1,0,6,0,1,1,0,0,0
50,405,5,0,0,2,0,21,2,5,4,2,0,0,1,2,0,0,419,0,0,0,3,0,0,0,0,0,0,1,17,0,1,0,1,0,0,16,6,2,0,0,0,1,72,0,6,6,0,7,0,1,0,0,6,0,1,8,0,0,0,4,1,33,25,1,0,28,31,0,3,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,1,3,0,2,42,1,0,0,0,10,0,6,5,0,0,0
75,608,0,0,0,3,0,17,0,14,0,1,1,0,4,0,0,0,331,0,0,0,1,0,0,0,0,0,0,0,9,0,0,6,4,0,0,32,6,2,0,0,0,0,15,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,8,3,16,0,44,11,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,30,0,0,0,0,7,0,1,2,0,0,0
100,811,2,0,0,2,0,11,0,11,1,1,0,0,0,0,0,0,272,0,0,0,4,0,0,0,0,0,0,1,6,0,0,0,2,0,0,40,6,2,0,0,0,1,11,1,2,0,0,3,1,0,0,0,0,0,0,4,0,0,0,13,0,4,3,16,0,16,10,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,33,2,0,0,0,5,1,3,0,0,0,0
125,1013,4,0,0,0,0,8,0,10,0,0,1,0,0,0,0,0,308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,5,0,0,3,0,0,11,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,1,1,5,0,23,6,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,1,0,4,0,1,0,0,0,0
150,1216,0,0,0,0,0,15,2,4,3,0,2,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,18,2,0,1,0,0,0,13,0,1,1,1,5,0,0,0,0,5,0,1,3,0,0,0,3,0,2,2,19,0,5,24,0,1,0,0,0,3,7,0,1,0,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,17,0,0,0,0,4,0,15,2,0,0,0
175,1419,23,0,0,2,0,30,4,1,15,0,0,0,0,2,0,0,417,0,0,0,4,0,0,0,0,0,0,9,15,0,0,0,0,0,0,35,8,3,0,0,0,0,32,1,0,1,0,8,0,1,0,0,9,0,0,4,0,0,0,9,0,7,5,8,0,42,49,0,6,0,0,0,0,2,0,0,0,0,18,0,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,4,36,0,0,0,0,12,0,7,0,0,0,0
200,1621,6,0,0,2,1,9,1,6,6,0,1,0,2,0,0,0,283,0,0,0,0,0,0,0,0,0,0,6,11,0,0,1,1,0,0,32,5,3,0,0,0,0,24,1,5,4,0,3,0,1,0,0,9,0,0,2,0,0,0,1,0,5,2,3,0,25,30,0,4,0,0,0,0,2,1,0,1,0,9,0,0,0,0,1,1,0,0,1,0,0,0,0,8,0,0,0,16,0,0,0,2,5,1,10,4,0,1,0
225,1824,0,0,0,3,0,13,0,6,0,0,2,0,0,0,0,0,315,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,1,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,10,0,0,0,0,0,2,1,10,0,27,8,0,4,0,0,0,0,0,0,0,0,0,19,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0,4,0,2,0,0,0,0
