"depth","best.age","min.age","max.age"
0,51,-45,141
10,263,172,350
20,475,385,561
30,686,594,775
40,898,802,993
50,1110,1008,1213
60,1322,1211,1433
70,1534,1413,1654
80,1745,1615,1878
90,1957,1815,2102
100,2169,2013,2325
110,2381,2211,2549
120,2593,2408,2774
130,2804,2605,2999
140,3016,2801,3224
150,3228,2996,3449
158,3397,3154,3630
170,3652,3389,3902
180,3898,3651,4137
190,4144,3907,4379
200,4390,4156,4628
210,4637,4399,4879
220,4883,4638,5137
230,5129,4871,5398
240,5375,5101,5662
250,5622,5328,5929
260,5868,5553,6200
270,6114,5774,6471
278,6311,5950,6690
290,6607,6211,7019
300,6853,6426,7294
305,6976,6534,7432
310,7099,6642,7571
315,7222,6750,7710
320,7345,6857,7848
325,7469,6965,7987
331,7616,7094,8155
338,7789,7244,8350
343,NA,NA,NA
347,NA,NA,NA
354,NA,NA,NA
