"depth","best.age","min.age","max.age"
1555.5,72,69,72
1560.5,79,76,80
1564,83,81,85
1568,89,86,91
1569,90,88,93
1570.5,122,120,125
1575,220,210,229
1590.5,554,519,589
1610.5,986,918,1054
1665.5,1664,1569,1756
1715.5,2004,1917,2087
1735.5,2140,2055,2222
1740.5,2174,2090,2256
1745.5,2208,2125,2290
1765,2341,2260,2423
1775.5,2412,2332,2495
1780.5,2447,2366,2529
1785.5,2481,2401,2564
1790.5,2515,2435,2598
1795.5,2549,2469,2633
1800.5,2583,2504,2668
1805.5,2617,2537,2702
1810.5,2651,2571,2736
1815.5,2685,2606,2772
1820.5,2719,2640,2806
1825.5,2753,2674,2841
1830.5,2787,2708,2876
1835.5,2821,2742,2911
1840.5,2855,2776,2946
1860.5,2991,2912,3085
1865.5,3025,2946,3121
1870.5,3059,2979,3155
1875.5,3093,3013,3190
1880.5,3127,3047,3225
1885.5,3161,3081,3260
1890.5,3195,3115,3296
1895.5,3230,3148,3330
1900.5,3264,3182,3365
1905.5,3298,3215,3400
1910.5,3332,3249,3435
1915.5,3366,3281,3469
1920.5,3400,3315,3504
1925.5,3434,3349,3540
1930.5,3468,3382,3575
1935.5,3502,3416,3611
1940.5,3536,3448,3645
1955.5,3638,3545,3754
1960.5,3672,3577,3789
1965.5,3706,3610,3826
1970.5,3740,3642,3861
1975.5,3774,3674,3897
1980.5,3808,3707,3933
1985.5,3842,3740,3969
1990.5,3876,3772,4004
1995.5,3910,3805,4040
2000.5,3944,3837,4076
2005.5,3967,3861,4097
2010.5,3988,3884,4117
2015.5,4009,3906,4136
2020.5,4030,3928,4154
2025.5,4050,3950,4173
2030.5,4071,3973,4193
2035.5,4092,3996,4212
2040.5,4113,4019,4230
2046.5,4137,4047,4253
2055.5,4175,4085,4289
2060.5,4196,4106,4309
2065.5,4216,4127,4329
2070.5,4237,4149,4350
2075.5,4258,4170,4370
2080.5,4279,4189,4389
2085.5,4299,4211,4410
2090.5,4320,4232,4430
2095.5,4341,4252,4450
2100.5,4362,4273,4470
2105.5,4382,4294,4491
2115.5,4424,4334,4530
2125.5,4465,4375,4571
2135.5,4507,4415,4611
2145.5,4548,4456,4652
2165.5,4631,4537,4733
2215.5,4839,4737,4937
2265.5,5046,4936,5149
2315.5,5254,5132,5366
2365.5,5462,5324,5591
2415.5,5733,5614,5844
2465.5,6005,5903,6102
2490.5,6141,6046,6231
2515.5,6277,6188,6361
2565.5,6548,6473,6625
2615.5,6820,6747,6890
2638.5,6945,6867,7011
2665.5,7091,7007,7157
2670.5,7119,7030,7183
2675.5,7146,7047,7207
2680.5,7173,7073,7234
2685.5,7200,7099,7261
2690.5,7227,7125,7289
2695.5,7254,7151,7315
2700.5,7282,7177,7343
2705.5,7309,7203,7404
2710.5,7336,7229,7435
2715.5,7363,7255,7465
2720.5,7390,7282,7495
2725.5,7417,7308,7524
2730.5,7445,7333,7553
2735.5,7453,7345,7557
2740.5,7462,7357,7562
2745.5,7470,7369,7566
2751.5,7481,7383,7537
2755.5,7487,7393,7543
2760.5,7496,7405,7550
2765.5,7505,7418,7561
2770.5,7513,7432,7574
2775.5,7522,7446,7585
2780.5,7530,7461,7595
2785.5,7539,7476,7603
2790.5,7547,7486,7612
2795.5,7556,7496,7622
2795.51,NA,NA,NA
2800.5,7565,7506,7633
2805.5,7573,7514,7642
2810.5,7582,7521,7652
2815.5,7590,7529,7663
2820.5,7599,7535,7673
2825.5,7607,7543,7685
2830.5,7616,7550,7697
2835.5,7625,7556,7708
2840.5,7633,7561,7719
2843.5,7638,7565,7727
2851.5,7652,7574,7746
2853,7655,7576,7750
2855.5,7659,7579,7756
2858,7663,7581,7761
2860.5,7667,7585,7769
2863,7672,7587,7774
2865.5,7676,7590,7781
2868,7710,7627,7811
2870.5,7745,7659,7843
2873,7779,7687,7879
2875.5,7813,7714,7918
2878,7848,7739,7959
2880.5,7882,7763,8003
2883,7917,7787,8049
2885.5,7951,7808,8096
2888,7985,7830,8144
2890.5,8020,7851,8193
2893,8054,7871,8242
2895.5,8088,7889,8290
2898,8123,7908,8340
2900.5,8157,7927,8390
2903,8191,7946,8440
2905.5,8226,7964,8490
2907.5,8253,7979,8531
2910.5,8294,8001,8592
2913,8329,8018,8641
2915.5,8363,8037,8693
2940.5,9078,8938,9210
2965.5,10144,9916,10371
2975.5,10629,9920,11357
2980.5,10704,10225,11183
2983.5,10749,10373,11120
2985.5,10778,10443,11113
2995.5,NA,NA,NA
3015.5,NA,NA,NA
