"sample.depths","sample.ages","upland.sum","Abies","Ambrosia.type","Betula","Corylus","Ericaceae","Fagus","Picea","Quercus","Tsuga","Ulmus","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Plantago","Rosaceae","Ilex","Acer","Cyperaceae","Asteraceae.subf..Asteroideae.undiff.","Valeriana","Ostrya.Carpinus","Urtica.type","Salix","Amaranthaceae","Larix","Tilia","Polygonum","Carya","Juglans","Pterocarya","Viburnum","Lamiaceae","Ranunculaceae.undiff.","Thalictrum","Artemisia","Amorpha.type","Cupressaceae"
0,1,240,6,19,47,4,62,2,29,2,2,1,30,1,3,11,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,120,304,19,3,120,6,10,13,69,1,13,1,7,1,3,30,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,592,355,7,0,72,3,68,32,18,6,75,3,5,0,4,50,3,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,946,276,5,1,61,3,68,11,30,4,39,0,4,1,6,41,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1300,469,21,1,137,2,52,14,35,13,38,1,18,1,3,124,0,0,0,0,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1477,199,0,0,50,1,26,9,26,3,45,0,10,0,2,22,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1832,417,13,1,104,3,38,29,52,5,31,0,38,0,5,93,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2363,203,3,0,29,0,50,3,29,3,41,1,6,0,1,34,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
170,2717,630,16,2,243,4,109,14,69,5,56,0,39,0,4,59,0,0,2,0,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2894,169,1,0,32,0,20,10,8,1,37,0,1,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3248,347,5,1,103,1,33,20,20,15,19,0,29,1,4,80,0,0,0,6,3,1,1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
220,3602,610,7,1,140,4,99,27,46,11,140,1,16,2,5,100,3,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,3956,298,1,0,61,2,36,9,29,3,38,0,4,0,2,108,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
260,4310,383,6,0,88,2,9,3,21,8,28,1,6,0,2,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,4487,618,20,0,114,7,104,21,84,12,124,2,11,3,1,101,1,0,1,3,3,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,4664,311,7,0,84,3,14,7,28,12,18,0,10,1,1,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300,5018,533,12,1,139,2,29,1,57,31,17,0,16,0,5,219,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,5248,893,17,0,719,1,8,4,33,9,12,1,4,1,11,71,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,5460,233,2,0,78,3,10,9,9,7,51,0,7,0,2,52,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350,5566,461,4,0,110,4,24,5,19,22,70,0,11,1,12,172,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370,5778,565,6,0,165,2,27,11,23,31,149,2,19,4,8,112,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,5884,340,10,0,61,1,13,2,24,13,57,1,7,0,3,141,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,6096,368,6,0,58,1,34,5,22,11,41,0,12,3,6,147,1,0,1,16,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
420,6308,527,5,0,71,1,3,3,26,32,125,5,4,4,0,162,2,0,0,71,1,2,2,0,1,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0
430,6414,601,1,0,18,0,1,0,17,3,176,0,2,1,0,381,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,6626,523,25,0,46,0,14,0,85,20,53,0,15,2,7,252,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,6838,547,16,0,34,2,15,1,47,22,158,3,17,0,5,213,1,0,0,5,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
480,6944,275,10,0,76,3,13,14,30,0,42,0,13,11,1,54,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
500,7156,158,0,0,64,0,1,3,30,10,3,0,12,0,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,7590,536,8,0,128,1,1,1,50,53,18,5,7,4,6,233,0,0,0,1,1,15,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
530,7823,450,8,0,86,3,0,1,26,24,13,5,9,1,12,256,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
