"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus","Amaranthaceae.undiff.","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Carya","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Ephedra.nevadensis.type","Ephedra.torreyana.type","Equisetum","Fagus","Fraxinus.americana.type","Fraxinus.nigra","Indeterminable","Iva.annua","Iva.xanthifolia","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Morus","Myrica","Myriophyllum","Osmunda","Ostrya","Picea","Pinus","Plantago","Platanus","Poaceae","Populus","Potamogetonaceae","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia.canadensis","Sparganium.type","Sphagnum","Symphoricarpos","Taxus","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium"
1,6,2,0,3,6,3,21,2,0,1,82,0,0,0,0,9,2,0,0,0,0,1,1,0,6,0,0,2,2,0,0,0,1,0,0,4,3,113,0,0,5,1,0,2,32,0,1,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0
10,88,3,1,3,3,0,16,0,0,0,46,3,0,0,0,5,1,0,0,0,0,3,2,0,5,0,0,0,3,2,0,0,0,0,0,4,11,132,0,1,1,1,0,0,22,0,0,5,0,0,0,0,0,0,0,0,25,0,7,0,0,0
20,185,2,0,14,8,0,3,2,2,0,54,2,0,0,0,46,0,0,0,0,0,6,0,3,3,0,0,0,0,6,0,0,0,0,0,5,11,89,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,12,0,3,1,0,0
30,289,3,0,6,5,0,2,2,1,0,53,1,1,0,0,41,0,0,0,0,0,5,5,2,2,0,0,0,0,3,0,0,0,0,0,0,6,112,0,1,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,1,15,0,12,0,0,0
40,400,3,0,13,4,1,1,4,2,0,51,0,1,0,0,36,0,1,0,0,0,10,2,2,4,0,0,0,0,1,0,0,0,0,0,5,9,121,0,1,1,1,0,4,13,0,0,0,0,0,0,0,0,1,0,2,10,0,5,1,0,0
50,519,5,0,10,5,0,2,1,0,0,59,0,0,0,0,62,2,0,0,0,0,13,2,5,3,0,0,0,0,1,0,0,0,0,0,2,6,94,0,2,0,0,0,1,13,0,0,0,1,0,0,0,0,0,1,0,5,0,9,0,0,0
60,646,4,0,6,3,0,0,4,0,0,55,0,0,0,0,23,1,1,0,0,0,7,1,1,3,0,0,0,0,0,0,0,0,0,0,1,10,151,0,1,1,1,1,2,17,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
70,781,3,0,14,1,0,0,0,1,0,38,0,0,0,0,58,0,0,0,0,0,20,0,3,3,0,0,0,0,1,0,0,1,0,0,3,6,107,0,8,0,0,4,0,19,0,0,1,0,0,0,0,0,0,0,0,13,0,3,0,0,0
80,924,5,0,12,9,0,0,2,0,0,66,3,0,0,0,4,0,0,0,0,0,10,5,10,5,0,0,0,0,1,0,0,0,0,0,10,15,90,0,0,1,0,0,0,33,0,0,1,0,0,0,0,0,0,0,4,10,0,9,0,0,0
90,1075,1,0,10,2,0,3,3,1,0,42,2,0,0,1,37,1,0,0,0,0,10,2,3,4,1,0,0,1,2,0,0,0,0,0,5,8,104,0,0,1,1,0,2,24,0,0,0,0,0,0,0,0,0,0,1,24,0,10,0,0,0
100,1234,2,0,7,1,0,2,2,0,0,64,3,0,0,0,25,0,0,0,0,0,8,4,5,4,0,0,1,0,4,1,0,0,0,0,8,13,116,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,1,0,0,11,1,9,1,0,0
110,1402,6,1,3,2,0,0,1,1,0,51,3,0,0,1,22,0,0,0,0,0,5,2,2,2,0,0,0,0,8,0,0,0,0,0,8,6,111,0,1,0,0,0,0,25,0,0,0,0,0,0,1,0,0,1,0,26,0,14,1,0,0
115,1489,5,0,9,7,1,1,0,0,0,33,1,1,1,0,34,0,1,0,0,0,12,3,3,6,0,0,0,0,4,0,0,0,0,0,5,12,106,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,2,21,0,13,1,0,0
120,1578,5,1,9,0,0,0,1,1,0,46,1,0,0,3,25,0,1,0,0,0,5,1,3,1,0,0,0,0,6,0,0,0,0,0,3,12,125,0,1,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,18,0,10,0,0,0
130,1763,3,0,4,3,0,3,1,0,0,37,5,1,0,0,13,1,0,0,0,0,8,0,0,2,1,0,0,0,1,0,0,0,0,0,3,12,169,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,11,0,5,0,0,0
140,1957,3,0,12,11,0,1,0,1,0,38,3,0,0,0,30,1,1,0,0,0,12,6,1,2,0,0,1,0,0,1,0,1,0,1,12,4,103,0,1,1,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,11,0,12,2,0,0
150,2160,4,1,3,2,0,1,2,2,0,57,2,0,0,0,24,2,0,0,0,0,4,1,0,3,0,0,0,1,2,0,0,0,0,0,4,10,140,0,1,0,2,0,0,16,0,0,2,0,0,0,1,0,0,0,0,6,0,11,0,0,0
160,2371,7,0,3,4,0,0,3,0,0,39,0,0,0,1,11,1,0,0,0,0,6,2,2,1,0,0,0,0,10,0,0,0,0,0,2,8,166,0,1,1,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,12,0,5,0,0,0
