"sample.depths","sample.ages","Abies","Artemisia","Betula","Amaranthaceae.undiff.","Cupressaceae","Cyperaceae","Fagus","Juglans.cinerea","Juglans.nigra","Asteraceae.subf..Cichorioideae","Picea","Quercus","Rumex","Salix","Tsuga","Alnus","Ambrosia","Fraxinus.americana.type","Myrica","Pinus","Populus","Poaceae","Acer.saccharum","Ostrya","Acer.rubrum","Carya","Larix","Platanus","Ulmus","Asteraceae.subf..Asteroideae.undiff.","Fraxinus.nigra","Castanea","Tilia","Taxus","Sarcobatus.vermiculatus","Thalictrum","Corylus","Iva.annua","Celtis","Morus","Iva.xanthifolia","Rosaceae","Symphoricarpos","Shepherdia.canadensis","Plantago","Ephedra.torreyana.type","Ephedra.nevadensis.type","Vitis","Xanthium"
1,6,0.00666666666666667,0.00666666666666667,0.273333333333333,0.01,0.03,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.01,0.106666666666667,0.00333333333333333,0.00333333333333333,0.00666666666666667,0.02,0.07,0.00333333333333333,0.00333333333333333,0.376666666666667,0.00333333333333333,0.0166666666666667,0.01,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,88,0.01,0,0.153333333333333,0,0.0166666666666667,0.00333333333333333,0.01,0,0.01,0,0.0366666666666667,0.0733333333333333,0,0.0166666666666667,0.0833333333333333,0.01,0.0533333333333333,0.00666666666666667,0,0.44,0.00333333333333333,0.00333333333333333,0.01,0.0133333333333333,0.00333333333333333,0.01,0.00666666666666667,0.00333333333333333,0.0233333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,185,0.00666666666666667,0.00666666666666667,0.18,0,0.153333333333333,0,0.02,0,0,0,0.0366666666666667,0.103333333333333,0,0,0.04,0.0266666666666667,0.01,0,0,0.296666666666667,0.00333333333333333,0,0.0466666666666667,0.0166666666666667,0,0.00666666666666667,0.02,0,0.01,0.00666666666666667,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,289,0.01,0.00666666666666667,0.176666666666667,0,0.136666666666667,0,0.0166666666666667,0,0,0,0.02,0.0766666666666667,0,0,0.05,0.0166666666666667,0.00666666666666667,0.0166666666666667,0,0.373333333333333,0,0,0.02,0,0,0.00333333333333333,0.01,0.00333333333333333,0.04,0.00333333333333333,0.00666666666666667,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,400,0.01,0.0133333333333333,0.17,0.00333333333333333,0.12,0,0.0333333333333333,0,0,0,0.03,0.0433333333333333,0,0,0.0333333333333333,0.0133333333333333,0.00333333333333333,0.00666666666666667,0,0.403333333333333,0.00333333333333333,0.00333333333333333,0.0433333333333333,0.0166666666666667,0,0,0.00333333333333333,0.00333333333333333,0.0166666666666667,0.00666666666666667,0.00666666666666667,0.00333333333333333,0.00666666666666667,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,519,0.0166666666666667,0.00333333333333333,0.196666666666667,0,0.206666666666667,0.00666666666666667,0.0433333333333333,0,0,0,0.02,0.0433333333333333,0,0,0.0166666666666667,0.0166666666666667,0.00666666666666667,0.00666666666666667,0,0.313333333333333,0,0,0.0333333333333333,0.00666666666666667,0,0,0.00333333333333333,0.00666666666666667,0.03,0,0.0166666666666667,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
60,646,0.0133333333333333,0.0133333333333333,0.183333333333333,0,0.0766666666666667,0.00333333333333333,0.0233333333333333,0,0,0,0.0333333333333333,0.0566666666666667,0,0,0.03,0.01,0,0.00333333333333333,0,0.503333333333333,0.00333333333333333,0.00333333333333333,0.02,0.00333333333333333,0,0,0,0.00333333333333333,0.0133333333333333,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,781,0.01,0,0.126666666666667,0,0.193333333333333,0,0.0666666666666667,0,0,0,0.02,0.0633333333333333,0,0.00333333333333333,0.0433333333333333,0.00333333333333333,0,0,0.00333333333333333,0.356666666666667,0,0,0.0466666666666667,0.01,0,0,0.00333333333333333,0.0266666666666667,0.01,0.00333333333333333,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,924,0.0166666666666667,0.00666666666666667,0.22,0,0.0133333333333333,0,0.0333333333333333,0,0,0,0.05,0.11,0,0.00333333333333333,0.0333333333333333,0.03,0,0.0166666666666667,0,0.3,0,0.00333333333333333,0.04,0.0333333333333333,0,0.01,0.00333333333333333,0,0.03,0,0.0333333333333333,0,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1075,0.00333333333333333,0.01,0.14,0,0.123333333333333,0.00333333333333333,0.0333333333333333,0,0.00333333333333333,0,0.0266666666666667,0.08,0,0,0.08,0.00666666666666667,0.01,0.00666666666666667,0,0.346666666666667,0.00333333333333333,0.00333333333333333,0.0333333333333333,0.0166666666666667,0,0.00666666666666667,0.00666666666666667,0,0.0333333333333333,0.00333333333333333,0.01,0,0.00333333333333333,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0
100,1234,0.00666666666666667,0.00666666666666667,0.213333333333333,0,0.0833333333333333,0,0.0266666666666667,0.00333333333333333,0,0,0.0433333333333333,0.0466666666666667,0,0,0.0366666666666667,0.00333333333333333,0.00666666666666667,0.0133333333333333,0,0.386666666666667,0,0,0.0233333333333333,0.0266666666666667,0,0.01,0.0133333333333333,0,0.03,0,0.0166666666666667,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1402,0.02,0.00333333333333333,0.17,0,0.0733333333333333,0,0.0166666666666667,0,0,0,0.02,0.0833333333333333,0,0,0.0866666666666667,0.00666666666666667,0,0.00666666666666667,0,0.37,0,0,0.01,0.0266666666666667,0.00333333333333333,0.01,0.0266666666666667,0.00333333333333333,0.0466666666666667,0.00333333333333333,0.00666666666666667,0,0,0,0,0.00333333333333333,0.00333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
115,1489,0.0166666666666667,0,0.11,0.00333333333333333,0.113333333333333,0,0.04,0,0,0,0.04,0.0866666666666667,0,0,0.07,0.0233333333333333,0.00333333333333333,0.01,0,0.353333333333333,0,0,0.03,0.0166666666666667,0,0.00333333333333333,0.0133333333333333,0,0.0433333333333333,0,0.01,0.00333333333333333,0.00666666666666667,0,0,0,0,0,0.00333333333333333,0,0,0,0,0,0,0,0,0,0
120,1578,0.0166666666666667,0.00333333333333333,0.153333333333333,0,0.0833333333333333,0,0.0166666666666667,0,0,0,0.04,0.08,0,0,0.06,0,0,0.00333333333333333,0,0.416666666666667,0,0,0.03,0.01,0.00333333333333333,0.00333333333333333,0.02,0.00333333333333333,0.0333333333333333,0.00333333333333333,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0
