"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Alnus.incana","Betula","Carya","Castanea","Corylus","Cupressaceae","Ericaceae","Fagus","Ilex","Juglans.cinerea","Juglans.nigra","Liquidambar","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Salix","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Chenopodiaceae","Cyperaceae","Iva.annua.type","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Rosaceae","Rumex","Thalictrum","Xanthium","Zea","Huperzia.lucidula","Lycopodium.annotinum","Osmunda","Pteridium","Sphagnum","Typha","Spore..monolete.","Spore..trilete.","Indeterminable","Unknown"
1,-38,0,10,6,2,122,3,0,0,6,5,21,2,0,0,0,5,0,2,5,5,98,42,1,3,123,1,1,51,5,0,8,1,0,0,1,0,3,14,0,0,6,0,0,0,0,0,2,5,3,0,1,0,3,0
3,-26,2,8,5,3,120,6,4,2,1,3,43,3,1,1,0,5,0,0,17,12,89,36,0,2,107,2,0,54,4,1,12,1,1,0,0,0,2,19,0,0,10,0,0,0,0,1,1,2,2,0,1,1,5,2
5,-10,0,14,10,7,128,7,2,0,3,1,51,3,1,0,0,3,0,3,8,14,75,27,0,1,102,1,0,46,7,0,7,1,0,1,1,0,2,14,0,0,0,0,0,0,0,0,5,3,3,0,2,3,5,0
7,19,2,7,10,5,135,7,8,1,2,3,55,5,0,0,0,5,0,4,17,18,67,31,3,2,92,1,1,82,4,1,17,2,0,0,2,0,0,20,0,0,10,0,0,0,0,1,3,4,2,0,0,2,7,0
9,44,1,3,8,5,131,3,2,1,0,6,66,6,0,0,0,5,0,5,16,8,80,29,0,0,83,1,0,82,3,2,13,0,0,1,2,0,2,11,0,1,6,0,0,0,0,0,5,3,5,0,3,6,8,0
11,55,1,2,12,5,109,2,3,1,5,3,60,2,1,0,0,8,1,3,14,12,56,29,0,1,85,0,3,94,8,3,14,0,1,0,0,0,2,39,0,1,15,0,0,0,1,0,0,2,2,0,3,5,3,1
13,72,2,4,8,2,118,4,10,0,0,3,63,4,1,0,0,10,0,4,16,12,80,17,0,0,76,0,0,90,3,1,13,1,1,0,0,0,0,26,0,0,17,0,0,0,1,2,3,8,0,0,2,6,3,1
15,88,1,3,10,6,126,2,5,0,3,0,69,0,2,1,1,5,0,3,16,13,58,22,0,0,94,2,0,43,5,3,16,0,1,0,0,0,0,29,0,1,19,0,0,0,0,0,3,6,3,0,0,6,7,0
17,104,3,10,6,5,116,5,9,2,0,2,54,1,1,0,0,5,0,7,18,11,72,35,2,0,93,0,0,62,10,2,17,0,1,1,0,1,2,31,0,0,19,0,0,1,1,3,8,5,4,0,2,3,10,1
19,120,0,15,19,10,129,2,10,1,2,7,41,3,0,1,0,5,0,1,5,9,92,24,1,0,97,0,0,54,7,8,22,1,0,0,1,0,3,63,0,0,20,0,0,0,5,0,2,22,0,0,0,3,7,0
21,136,0,5,6,11,118,3,10,1,5,10,40,3,3,0,0,13,0,3,8,10,69,42,5,0,98,0,0,59,3,0,27,0,0,1,1,0,0,35,0,0,14,0,0,0,2,0,5,10,5,0,0,1,6,0
23,152,0,3,12,7,133,5,6,0,0,5,62,1,1,1,0,7,0,5,15,9,74,29,0,1,84,0,1,66,6,3,15,1,0,2,1,0,1,47,0,0,24,0,0,0,0,4,4,13,0,0,1,3,8,1
25,168,0,6,11,8,122,11,2,1,0,5,37,3,0,0,0,5,0,3,16,8,64,34,3,1,98,3,0,64,6,2,21,0,0,0,1,0,0,53,0,0,18,0,0,0,0,0,5,6,8,0,3,3,7,2
27,184,0,12,9,6,134,5,12,0,0,1,50,3,1,0,0,5,0,6,13,11,73,35,3,0,83,2,1,45,5,3,25,1,0,0,1,0,0,47,0,0,32,0,0,0,0,1,4,10,3,0,3,5,12,1
29,201,1,6,4,8,127,3,8,2,1,5,54,4,1,0,0,4,0,2,15,11,62,34,1,1,106,1,0,71,3,1,23,0,1,2,1,0,2,49,0,0,34,0,0,0,0,1,8,9,3,0,1,4,10,1
