"depth","best.age","min.age","max.age"
452,10800,10422,11176
454,10885,10480,11289
456,10970,10535,11403
458,11054,10590,11520
460,11139,10643,11637
462,11224,10695,11756
464,11309,10745,11874
466,11393,10795,11993
468,11482,11071,11902
470,11570,10979,12158
472,11645,11360,11935
475,11742,11465,12028
481,11931,11703,12161
487,12119,11902,12342
493,12307,12046,12576
499,12481,12279,12686
505,12654,12479,12844
511,12828,12635,13048
517,12937,12756,13144
523,13035,12868,13215
526,13083,12921,13254
528,13115,12956,13282
530,13148,12991,13312
531,13164,13009,13328
532,13180,13025,13343
533,13196,13042,13359
535,13229,13075,13393
537,13261,13105,13427
539,13293,13135,13463
541,13326,13164,13500
543,13358,13190,13537
545,13391,13216,13577
548,13439,13254,13639
550,13471,13279,13681
552,13504,13300,13722
559,NA,NA,NA
568,NA,NA,NA
580,NA,NA,NA
