"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Acer.spicatum","Acer.undiff.","Alnus.incana","Alnus.undiff.","Alnus.viridis","Amaranthaceae","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Betula","Botrychium.simplex","Botrychium.undiff.","Carya","Caryophyllaceae","Castanea","Cornus.sericea","Corylus","Cupressaceae","Cyperaceae","Dennstaedtia","Diphasiastrum.complanatum","Dryopteris.type","Equisetum","Ericaceae","Fabaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Huperzia.selago","Ilex","Indeterminable","Isoëtes","Juglans.cinerea","Larix","Linnaea.borealis","Lycopodiaceae.undiff.","Lycopodium.annotinum","Lycopodium.clavatum","Lycopodium.obscurum","Myrica","Myriophyllum.alterniflorum","Myriophyllum.sibiricum.type","Nuphar","Nymphaea","Nyssa","Osmunda.cinnamomea","Osmunda.undiff.","Ostrya.Carpinus","Picea.glauca","Picea.mariana","Picea.undiff.","Pinus.banksiana.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera","Potamogetonaceae","Potentilla","Pteridium","Quercus","Ranunculaceae.undiff.","Rumex.Oxyria.digyna","Salix","Selaginella.rupestris","Selaginella.selaginoides","Selaginella.sibirica","Shepherdia.canadensis","Sparganium","Sphagnum","Spiraea","Thalictrum","Tilia","Tsuga.canadensis","Typha.latifolia","Ulmus","Unknown","Woodsia.ilvensis"
452,10800,12,0,1,0,0,5,0,58,1,1,0,0,4,175,1,0,0,0,0,1,1,4,10,0,0,4,0,1,1,3,2,3,0,0,7,1,0,13,0,0,0,4,0,32,1,0,0,0,0,2,0,6,3,7,34,10,71,39,1,15,0,0,5,32,0,1,6,0,0,1,0,0,1,1,1,0,22,5,5,0,0
454,10885,13,0,1,0,1,1,0,31,0,1,0,1,1,177,0,0,0,0,0,0,1,1,14,1,0,9,1,0,0,0,0,2,0,0,15,6,0,36,0,1,0,1,0,28,2,0,0,0,0,0,0,5,8,8,19,3,31,29,1,18,0,1,9,17,0,1,3,0,0,0,0,0,4,0,0,0,4,2,1,2,0
456,10970,19,0,1,0,0,1,1,25,0,0,0,1,2,99,0,0,2,0,0,0,0,8,15,0,0,15,3,1,0,1,0,7,0,0,8,2,0,35,0,0,1,2,0,43,1,0,2,1,0,0,0,7,13,3,24,2,34,15,2,15,0,1,16,33,0,0,12,0,0,2,0,0,0,0,0,0,6,10,1,1,0
458,11054,23,0,0,0,0,1,0,8,0,0,0,1,3,55,0,0,0,0,0,0,0,1,11,0,0,13,0,0,0,0,1,2,0,0,8,2,0,23,0,2,2,5,0,17,1,0,0,0,0,0,0,4,17,5,35,1,14,17,1,6,1,1,13,19,0,0,5,0,0,1,0,0,3,0,0,0,2,14,2,3,0
460,11139,19,1,1,0,1,1,0,11,1,0,0,0,2,60,0,0,0,0,1,0,0,8,14,0,0,19,1,0,0,2,1,6,2,0,4,0,0,16,0,2,6,5,1,19,1,0,1,0,0,1,0,11,10,2,50,8,29,25,1,38,0,0,8,29,0,0,8,0,0,0,0,0,0,0,0,0,1,11,2,2,0
462,11224,9,0,0,0,0,0,1,14,0,0,0,1,2,56,0,0,0,0,0,0,0,17,6,0,0,25,2,0,0,0,2,6,0,0,7,6,0,17,0,0,11,3,1,17,0,0,0,0,0,0,0,8,32,4,53,8,26,25,2,41,0,0,3,25,0,0,7,0,0,0,0,0,0,0,1,0,0,12,4,0,0
464,11309,2,0,0,0,0,0,0,15,0,0,0,2,3,47,0,0,0,0,0,0,0,10,12,0,0,31,1,1,0,0,0,2,2,0,8,3,0,3,0,0,3,5,2,37,4,0,0,0,0,0,0,0,22,3,36,5,12,25,3,24,2,0,8,12,0,0,8,0,0,0,0,1,1,1,0,0,2,9,4,0,0
466,11393,2,0,0,0,0,0,0,16,0,0,0,0,3,56,0,0,0,1,0,0,0,16,16,0,0,16,0,2,0,0,0,2,0,0,4,16,0,0,0,1,5,10,0,13,6,0,0,0,0,0,0,5,31,0,53,7,15,16,2,42,1,1,3,13,0,0,20,0,0,1,0,0,2,0,0,0,0,10,2,1,0
468,11482,1,0,0,0,0,1,1,16,0,0,0,0,3,92,0,0,0,0,0,0,0,14,15,1,1,33,0,1,0,0,0,1,0,0,3,31,0,1,0,1,1,19,1,28,9,0,0,0,0,0,0,1,29,5,179,10,15,29,6,37,0,1,3,10,0,0,17,0,0,0,0,0,0,1,0,0,3,22,1,2,0
470,11570,1,0,0,1,0,2,1,15,0,0,0,3,4,113,0,0,0,0,1,0,0,10,30,0,0,19,1,1,0,0,0,0,0,0,17,70,0,1,0,2,5,10,0,21,0,0,0,0,0,0,0,1,15,6,31,1,3,37,8,7,0,0,6,6,0,0,19,0,0,2,0,0,4,2,2,0,1,1,0,1,0
472,11645,0,0,0,0,0,9,3,34,0,0,0,2,4,147,0,0,0,2,0,0,1,15,122,0,1,9,1,2,1,0,0,0,0,0,23,135,0,0,0,2,2,5,5,5,0,0,0,0,0,0,0,1,6,6,21,2,5,34,8,0,0,0,4,4,0,0,28,0,1,4,0,0,8,1,4,0,2,0,4,4,0
475,11742,0,0,0,0,0,9,4,17,1,0,0,1,2,71,0,0,0,0,0,0,0,3,81,0,0,9,0,0,0,0,0,0,0,0,17,2,0,0,0,1,0,2,1,2,1,0,0,0,0,0,0,11,2,9,15,4,6,37,7,0,0,0,3,6,0,2,12,0,0,4,0,0,0,0,3,0,3,0,3,1,0
481,11931,2,0,0,0,1,1,0,23,0,0,0,1,2,68,0,0,0,2,0,0,0,0,80,0,0,17,0,3,0,0,0,0,0,0,19,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,4,5,10,28,10,8,63,6,0,1,0,0,1,0,1,15,0,1,4,0,0,2,0,1,0,2,0,0,1,0
487,12119,0,0,0,0,0,3,2,24,0,0,0,3,5,105,0,0,0,4,0,0,0,3,144,0,0,16,0,5,0,0,0,0,1,0,30,1,1,0,0,0,2,1,1,0,5,0,0,0,0,0,0,6,1,20,50,6,7,58,2,1,0,0,0,4,0,0,17,0,1,8,2,0,3,0,3,0,2,0,1,1,0
493,12307,1,0,0,0,0,4,5,23,0,0,0,9,5,38,0,0,1,2,0,0,1,1,105,0,0,20,0,2,0,0,0,0,0,0,16,1,0,0,0,1,1,3,0,1,3,0,0,0,0,0,0,5,2,4,17,8,2,31,6,1,0,0,0,4,0,2,6,0,0,2,1,0,11,0,1,0,2,0,0,2,0
499,12481,1,0,0,0,0,10,3,35,1,0,0,3,5,41,0,0,1,1,0,0,0,1,104,0,0,29,0,0,0,0,0,0,1,0,21,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11,4,10,12,1,1,29,3,0,0,1,0,1,0,0,11,0,0,2,1,0,7,0,0,0,1,0,5,2,0
505,12654,0,0,0,0,0,2,0,16,0,0,0,3,5,37,0,1,1,0,0,0,0,2,68,0,0,19,0,0,0,0,0,1,0,0,18,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,5,9,40,6,2,57,4,0,0,0,0,2,0,0,16,0,0,1,0,0,3,0,0,0,1,0,2,2,0
511,12828,0,0,0,0,0,2,1,15,0,1,0,7,8,28,2,3,0,2,0,0,0,2,52,0,2,59,0,0,0,0,0,0,1,0,21,0,0,0,0,1,6,9,1,0,5,1,0,0,0,0,0,0,2,17,32,11,3,38,8,2,0,0,0,1,0,1,6,0,2,4,3,0,3,0,0,0,0,0,0,1,0
517,12937,0,0,0,0,1,1,0,32,0,1,0,5,9,51,1,0,0,6,0,0,0,6,76,0,0,43,0,1,0,0,0,0,0,0,13,4,0,0,0,0,2,1,3,0,13,0,0,0,0,0,0,3,8,4,35,10,3,31,4,2,0,1,0,4,0,1,10,0,0,6,2,0,2,0,0,0,0,0,3,1,0
523,13035,0,0,0,0,0,3,1,16,1,1,0,3,12,53,0,1,0,2,0,0,0,5,44,0,0,38,0,1,0,0,0,1,0,0,20,1,0,0,0,0,1,4,1,1,6,0,0,0,0,0,0,2,13,11,34,1,5,32,5,0,0,0,0,7,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,1,0
526,13083,0,0,0,0,0,0,0,18,0,0,0,4,17,39,0,0,0,0,0,0,0,3,40,0,0,61,0,0,0,0,0,0,1,0,17,2,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,2,8,7,19,8,3,38,13,0,0,0,0,4,0,0,5,0,0,6,0,1,3,2,0,0,2,0,0,2,0
528,13115,1,0,0,0,0,1,1,24,0,0,0,5,7,38,0,0,0,0,0,0,0,8,44,0,0,29,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,1,0,2,25,0,0,0,0,0,0,1,10,18,62,16,6,43,7,0,0,0,0,0,0,0,7,0,1,7,0,1,4,0,1,0,1,0,1,1,0
530,13148,0,0,0,0,0,2,0,15,1,2,0,4,4,19,0,0,0,0,0,0,0,4,62,0,0,12,0,0,0,0,0,1,0,0,13,33,0,0,0,0,0,1,0,2,23,0,0,0,0,0,0,0,28,14,63,13,3,34,10,1,0,1,1,0,0,0,9,0,1,3,1,1,1,0,0,0,1,0,0,0,0
531,13164,1,0,0,0,0,0,0,8,0,0,0,4,4,21,0,1,0,0,1,0,0,4,38,0,0,10,0,1,0,0,1,1,1,0,8,6,0,0,0,0,1,3,0,3,17,0,0,0,0,0,0,3,53,6,106,15,4,28,8,1,0,2,0,5,0,0,5,0,2,3,1,0,5,0,1,0,0,0,0,0,0
532,13180,0,0,0,0,0,0,0,8,0,0,0,2,1,31,1,0,2,0,0,0,0,10,29,0,0,4,0,1,0,1,0,0,0,0,7,3,0,0,0,0,1,1,0,2,27,2,0,0,0,0,0,3,60,5,166,6,1,28,5,15,0,0,0,8,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
533,13196,0,0,0,0,0,0,0,1,0,0,0,3,3,40,0,1,0,0,0,0,0,7,19,0,0,4,0,0,0,0,0,1,0,0,8,4,0,1,1,1,0,1,1,4,33,0,0,0,0,0,0,3,44,21,165,10,0,25,2,1,0,0,0,10,0,0,5,0,1,1,0,0,2,0,0,0,0,0,0,4,0
535,13229,0,0,0,0,0,0,0,2,0,0,0,5,6,43,1,0,0,0,0,0,0,19,38,0,0,1,0,0,0,2,0,1,0,0,11,4,0,0,0,0,0,4,0,3,1,1,0,0,0,0,1,5,11,20,119,4,0,22,3,19,0,0,1,5,0,0,6,0,0,4,0,1,1,0,0,0,0,0,1,1,0
