"depth","best.age","min.age","max.age"
10,119,98,141
20,239,212,269
25,299,268,334
30,359,324,399
35,418,381,465
40,478,437,531
45,538,492,596
50,598,547,662
55,658,603,728
60,717,659,794
65,777,713,859
70,837,769,925
75,897,824,991
80,956,879,1057
85,1016,934,1123
90,1076,989,1189
95,1136,1044,1255
100,1196,1098,1322
105,1255,1153,1388
110,1315,1207,1454
115,1375,1262,1520
120,1435,1317,1586
125,1495,1372,1652
130,1554,1427,1718
135,1614,1482,1785
140,1674,1536,1850
145,1734,1591,1917
150,1793,1646,1983
155,1853,1700,2048
160,1913,1755,2115
165,1973,1810,2181
170,2033,1864,2247
175,2092,1919,2313
180,2168,2003,2379
205,2545,2408,2716
210,2621,2485,2784
215,2696,2564,2855
220,2771,2640,2925
225,2847,2717,2997
230,2922,2792,3069
235,2998,2865,3141
240,3073,2939,3217
245,3149,3012,3294
250,3224,3086,3373
255,3300,3159,3453
260,3375,3230,3533
265,3450,3297,3612
270,3526,3362,3691
275,3601,3427,3795
280,3677,3496,3887
285,3752,3564,3974
290,3828,3633,4062
305,4199,4033,4393
310,4323,4164,4497
315,4447,4301,4594
320,4571,4435,4711
325,4695,4568,4828
330,4819,4698,4946
335,4943,4826,5063
340,5067,4953,5182
345,5191,5079,5302
350,5315,5204,5423
355,5438,5329,5547
360,5562,5454,5673
365,5686,5577,5798
370,5810,5699,5925
375,5934,5819,6052
380,6058,5937,6182
385,6112,5996,6230
390,6165,6055,6281
405,6327,6223,6437
410,6380,6278,6490
415,6434,6332,6543
420,6488,6385,6596
425,6542,6438,6650
430,6595,6490,6704
435,6649,6542,6759
440,6703,6593,6814
445,6756,6643,6869
450,6810,6692,6924
455,6864,6742,6981
460,6918,6791,7039
465,6971,6840,7098
470,7025,6886,7156
475,7079,6933,7215
480,7133,6980,7276
485,7182,7034,7321
490,7230,7087,7366
505,7377,7244,7507
510,7426,7296,7556
515,7475,7346,7605
520,7524,7396,7655
525,7573,7446,7705
530,7622,7495,7755
535,7671,7544,7806
540,7720,7592,7857
545,7769,7642,7910
550,7818,7691,7963
555,7867,7739,8015
560,7916,7788,8069
565,7965,7835,8121
570,8014,7883,8175
575,8063,7932,8230
580,8112,7980,8285
585,8161,8028,8341
590,8210,8076,8397
595,8259,8124,8454
600,8308,8171,8510
605,8357,8219,8568
610,8406,8266,8625
615,8455,8312,8682
620,8504,8358,8739
625,8553,8403,8796
630,8601,8448,8855
635,8650,8491,8913
640,8699,8534,8971
645,8783,8624,9046
650,8867,8714,9120
655,8951,8803,9194
660,9035,8889,9270
665,9119,8975,9346
670,9203,9061,9423
675,9287,9146,9499
680,9371,9230,9576
685,9455,9312,9651
690,9538,9395,9729
695,9622,9477,9807
705,9790,9637,9963
710,9874,9715,10040
715,9958,9792,10117
720,10042,9870,10196
725,10126,9943,10277
730,10210,10018,10358
735,10294,10093,10438
740,10378,10168,10519
745,10461,10243,10599
750,10545,10319,10680
755,10629,10394,10760
760,10713,10469,10841
765,10797,10541,10923
770,10881,10596,11006
775,10965,10664,11090
780,11049,10736,11176
785,11133,10810,11264
790,11225,11008,11393
795,11317,11097,11584
800,11633,11463,11814
805,11949,11688,12208
810,12088,11872,12290
815,12226,12060,12392
820,12365,12236,12511
825,12503,12391,12664
830,12642,12445,12823
835,13109,12959,13277
840,13576,13353,13830
845,14043,13729,14407
850,14510,14094,14991
855,NA,NA,NA
860,NA,NA,NA
865,NA,NA,NA
870,NA,NA,NA
875,NA,NA,NA
880,NA,NA,NA
885,NA,NA,NA
890,NA,NA,NA
895,NA,NA,NA
900,NA,NA,NA
910,NA,NA,NA
920,NA,NA,NA
930,NA,NA,NA
940,NA,NA,NA
950,NA,NA,NA
960,NA,NA,NA
970,NA,NA,NA
980,NA,NA,NA
990,NA,NA,NA
1000,NA,NA,NA
1010,NA,NA,NA
