"sample.depths","sample.ages","Acer","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Asteraceae.undiff.","Betula","Carya","Caryophyllaceae","Castanea","Celtis","Corylus","Cupressaceae","Cyperaceae","Dipsacus","Equisetum","Eucalyptus","Fabaceae","Fagus","Fraxinus","Impatiens","Indeterminable","Iris","Juglans","Liquidambar","Lycopodiaceae","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Ostrya.Carpinus","Parthenocissus","Phlox","Picea","Pinus","Plantago","Platanus","Poaceae.undiff.","Polygonaceae.undiff.","Populus","Portulaca","Potamogetonaceae","Quercus","Rhus","Rosaceae","Rumex","Sagittaria","Salix","Sphagnum","Thalictrum","Tilia","Tsuga","Typha","Typha.Sparganium.undiff.","Ulmus","Unknown..monolete.","Unknown..trilete.","Urtica","Viburnum","Vitis","Zea.mays"
30,64,2,1,52,70,0,14,1,1,0,0,0,0,0,8,0,1,57,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,20,0,0,0,0,23,0,0,1,0,59,0,0,0,0,0,1,10,0,0,0,0,3,1
35,81,5,1,85,99,0,26,4,3,0,0,0,0,0,0,0,3,92,1,0,4,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,7,0,0,19,0,1,0,0,27,1,0,0,3,48,0,0,0,0,0,7,0,5,0,0,0,0,0
40,98,0,0,4,38,0,24,3,29,1,0,1,0,0,14,0,0,58,1,5,10,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,4,15,0,0,0,2,99,0,0,0,2,0,0,0,0,0,2,0,10,0,0,0,0,1,0
45,115,2,1,31,80,0,142,2,9,0,0,2,0,0,12,0,0,51,0,4,2,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,8,0,0,20,0,0,0,0,69,0,0,0,2,5,0,0,0,0,1,0,9,2,0,0,0,0,0
50,132,4,0,7,53,0,30,1,42,0,0,2,0,0,22,0,0,38,3,0,5,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,4,0,2,20,0,0,0,0,134,0,0,0,3,0,0,0,0,0,1,0,14,0,0,0,0,0,0
55,149,5,0,3,60,0,44,1,21,0,0,0,1,0,23,0,0,59,3,4,2,0,1,0,11,1,0,0,0,1,0,0,0,0,0,0,4,0,4,37,0,0,0,0,126,0,1,2,3,0,0,0,0,1,1,1,6,5,0,0,0,0,0
60,166,4,1,1,63,0,43,1,28,0,0,2,0,0,19,0,0,54,3,3,3,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,3,1,4,12,0,0,0,0,139,0,0,0,9,2,0,0,0,0,4,2,8,0,0,0,0,0,0
65,183,4,0,0,46,0,24,4,19,1,0,0,0,0,21,0,0,54,2,8,4,0,2,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0,6,16,0,0,0,0,104,0,0,0,6,1,0,0,0,0,2,1,0,1,0,0,0,0,0
70,200,2,0,1,12,0,14,2,31,0,0,0,0,0,6,0,0,39,0,4,2,0,0,0,3,2,0,0,0,1,1,0,1,0,0,0,6,0,1,7,0,0,0,0,173,0,0,0,0,1,0,0,0,1,2,2,9,0,0,0,0,0,0
90,284,2,0,1,3,0,0,5,55,0,0,0,0,2,4,0,1,67,0,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,9,3,0,0,0,0,168,0,1,0,0,3,0,0,0,1,0,0,4,2,0,0,0,0,0
