"depth","best.age","min.age","max.age"
0,-51,-52,-49
10,8,0,17
30,128,104,152
50,250,214,288
70,376,331,425
90,510,458,562
120,719,664,771
130,790,733,841
140,861,803,911
150,933,876,985
160,1007,949,1059
180,1160,1103,1215
195,1281,1222,1336
210,1409,1349,1463
225,1544,1485,1599
240,1689,1633,1744
250,1791,1735,1844
260,1898,1844,1951
275,2069,2014,2122
290,2252,2194,2307
305,2445,2385,2506
310,2512,2449,2573
320,2647,2582,2712
330,2785,2717,2852
335,2854,2785,2923
340,2924,2853,2994
350,3064,2991,3138
360,3205,3129,3282
370,3347,3269,3428
375,3417,3338,3501
380,3488,3408,3574
390,3629,3547,3720
400,3770,3686,3866
405,3840,3755,3938
420,4050,3963,4154
440,4324,4238,4435
446,4405,4320,4518
455,4525,4442,4639
460,4591,4509,4706
465,4657,4576,4771
470,4722,4642,4836
475,4786,4708,4900
480,4851,4774,4965
490,4978,4902,5089
500,5103,5028,5213
505,5166,5090,5275
510,5228,5151,5335
520,5351,5272,5457
530,5473,5391,5575
535,5534,5450,5634
539,5582,5497,5681
550,5714,5626,5810
560,5834,5745,5929
570,5953,5863,6046
580,6072,5983,6167
590,6191,6102,6287
600,6313,6223,6409
610,6437,6348,6535
621,6579,6491,6678
630,6700,6611,6798
641,6855,6767,6951
645,6914,6826,7009
650,6989,6902,7083
660,7143,7059,7235
675,7384,7303,7471
681,7482,7402,7568
690,7632,7553,7718
700,7799,7720,7885
705,7883,7803,7969
710,7966,7884,8052
720,8132,8045,8220
730,8295,8203,8387
740,8454,8356,8551
746,8546,8445,8648
756,8695,8585,8802
766,8835,8717,8950
775,8953,8829,9077
776,8966,8840,9090
786,9088,8954,9224
791,9146,9007,9288
795,9192,9048,9338
796,9203,9059,9351
801,9258,9110,9413
806,9312,9160,9473
816,9418,9258,9592
826,9521,9353,9707
829,9551,9381,9741
833,9592,9419,9786
835,9613,9438,9809
840,9664,9485,9864
842,9684,9504,9886
850,9767,9580,9974
851,9777,9590,9985
852,9788,9599,9996
854,9809,9619,10018
856,9830,9639,10040
857,9841,9649,10051
859,9862,9669,10074
860,9873,9680,10085
862,9894,9700,10107
864,9916,9721,10130
865,9927,9732,10142
868,9960,9764,10176
870,9983,9786,10200
873,10017,9819,10235
874,10029,9830,10246
875,10040,9841,10258
878,10075,9875,10294
880,10099,9899,10319
885,10159,9957,10379
890,10221,10016,10440
897,10310,10099,10525
902,10375,10161,10588
907,10441,10222,10649
915,10548,10324,10751
923,10654,10427,10851
928,10719,10489,10911
951,10984,10740,11156
990,11268,11019,11464
1006,11334,11091,11542
1041,11406,11198,11621
1058,11417,11233,11623
1086,11419,11284,11596
1156,NA,NA,NA
1168,NA,NA,NA
