"sample.depths","sample.ages","Picea","Abies","Larix","Juniperus.Thuja","Pinus.stomata","Pinus.banksiana.P..resinosa","Pinus.undiff.","Pinus.strobus","Betula","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Populus.tremuloides.type","Populus.balsamifera.type","Ulmus","Tilia","Ostrya.Carpinus","Quercus","Acer.saccharum","Acer.saccharinum.type","Acer.rubrum","Acer.negundo","Acer.undiff.","Carya","Platanus","Morus","Celtis","Tsuga.canadensis","Juglans.cinerea","Juglans.nigra","Fagus","Salix","Alnus.incana.type","Alnus.viridis.type","Corylus","Sarcobatus.vermiculatus","Ephedra.torreyana.type","Ephedra.nevadensis.type","Rosa.type","Shepherdia.argentea","Rhus","Myrica","Ceanothus","Vitis","Cornus.undiff.","Cornus.sericea","Viburnum","Cyperaceae","Poaceae.undiff.","Cerealia.undiff.","Avena.Triticum","Zea","Artemisia","Ambrosia.type","Iva.annua.type","Iva.xanthifolia.type","Xanthium","Bidens","Aster.type","Anthemis.type","Taraxacum.type","Chenopodiaceae.undiff.","Humulus.Cannabis.sativa","Urtica","Plantago.undiff.","Plantago.major.P..media","Rumex","Thalictrum","Dalea.purpurea","Amorpha.type","Potentilla.type","Spiraea.type","Sanguisorba.canadensis","Ranunculaceae.undiff.","Anemone.type","Ranunculus.type","Stachys.type","Polygonum.persicaria","Campanula","Armeria","Gentiana","Caryophyllaceae","Apiaceae","Rubiaceae","Brassicaceae","Fabaceae.undiff.","Trifolium.repens","Onagraceae","Knautia","Liliaceae","Allium.type","Myriophyllum","Potamogeton.natans","Stuckenia.cf..S..pectinata","Typha.latifolia","Typha.angustifolia.type","Sagittaria","Caltha","Nuphar","Alisma","Spore..monolete.","Pteridium","Botrychium","Huperzia","Equisetum","Sphagnum","Pediastrum","Spike..number.counted.","Spike.tablets..concentration..grains.tablet.","Spike.tablets..added..number.","Sample.volume..ml."
0,-51,6,0,0,1,0,150,2,2,38,1,4,2,0,12,0,4,32,1,1,0,0,0,0,0,0,0,0,0,0,0,104,6,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,10,2,0,1,8,21,2,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,180,10679,2,1
10,8,4,5,2,6,0,171,2,10,32,3,2,1,0,9,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,0,3,10,7,8,0,0,0,0,0,0,1,0,0,0,0,0,5,23,4,2,0,10,38,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,168,10679,2,1
30,128,8,5,1,0,0,182,4,15,60,2,2,9,0,6,0,4,22,2,0,0,0,0,1,0,0,0,0,0,0,0,5,10,2,3,0,1,0,0,0,0,1,0,0,0,0,0,5,6,2,0,0,14,19,0,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,103,10679,2,1
50,250,3,0,5,0,0,214,0,12,26,2,1,1,0,1,0,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,6,7,1,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,6,5,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,106,10679,2,1
70,376,9,3,1,4,0,340,4,29,58,1,1,0,0,9,2,6,39,2,1,0,0,0,2,0,0,0,0,0,0,0,3,15,7,10,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,17,4,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,1,147,10679,2,1
90,510,4,4,9,2,0,215,2,23,41,3,1,2,0,3,2,15,21,2,2,0,0,0,0,0,0,0,0,0,0,0,1,18,5,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,4,1,2,1,0,2,2,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,112,10679,2,1
120,719,18,8,11,0,0,358,8,40,75,4,1,4,0,2,1,8,23,4,0,0,0,0,0,0,0,0,1,0,0,0,2,11,8,7,0,0,0,0,0,0,1,0,0,1,0,0,13,20,0,0,0,6,6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,3,128,10679,2,1
130,790,9,1,2,2,0,210,0,102,21,5,0,1,0,8,0,8,22,0,0,0,0,0,2,1,0,0,0,0,0,0,1,19,4,17,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,8,4,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,152,10679,2,1
140,861,4,1,1,0,0,235,0,213,75,6,0,1,0,1,0,11,30,3,1,0,0,0,1,1,0,0,0,0,0,0,3,8,3,16,0,0,0,0,0,0,0,0,1,0,0,0,3,20,0,0,0,12,8,0,1,0,0,4,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,159,10679,2,1
150,933,9,8,4,1,0,238,22,78,69,2,0,1,0,3,1,7,24,1,1,0,0,0,0,0,0,1,0,0,0,0,1,15,5,2,0,0,0,0,0,0,1,0,0,0,0,0,11,14,0,0,0,6,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,76,10679,2,1
160,1007,6,0,3,3,0,284,4,17,57,4,1,1,0,6,0,10,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,5,6,1,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,13,6,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,105,10679,2,1
180,1160,15,5,4,2,0,447,14,189,155,7,6,0,0,18,1,25,55,3,1,0,0,0,0,3,0,0,0,0,0,0,8,34,10,8,0,0,1,0,0,0,0,0,0,0,0,0,13,14,0,0,0,16,3,0,1,0,1,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,135,10679,2,1
195,1281,7,8,8,1,0,185,14,88,127,4,2,2,0,10,1,14,57,1,1,1,0,0,0,1,0,0,2,1,1,0,1,16,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,0,7,6,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,122,10679,2,1
210,1409,8,2,29,2,0,272,32,104,66,4,2,4,1,5,0,4,24,3,0,2,0,0,0,0,0,0,2,0,0,0,1,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,8,4,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,4,99,10679,2,1
