"sample.depths","sample.ages","Abies","Artemisia","Betula","Ericaceae","Picea","Alnus","Pinus","Poaceae","Asteraceae.undiff.","Quercus","Cyperaceae","Salix","Amaranthaceae","Shepherdia.canadensis","Caryophyllaceae","Rubus","Saxifragaceae","Fabaceae","Fraxinus","Onagraceae"
0,34,0.0358744394618834,0.00448430493273543,0.170403587443946,0.00448430493273543,0.609865470852018,0.165919282511211,0.00448430493273543,0.00448430493273543,0,0,0,0,0,0,0,0,0,0,0,0
10,580,0.056140350877193,0,0.119298245614035,0.00701754385964912,0.691228070175439,0.112280701754386,0.0105263157894737,0,0.00350877192982456,0,0,0,0,0,0,0,0,0,0,0
20,1127,0.088785046728972,0,0.121495327102804,0.0186915887850467,0.644859813084112,0.102803738317757,0.014018691588785,0.00467289719626168,0,0.00467289719626168,0,0,0,0,0,0,0,0,0,0
30,1673,0.0453074433656958,0,0.171521035598705,0.0129449838187702,0.644012944983819,0.116504854368932,0.00323624595469256,0.00323624595469256,0,0,0.00323624595469256,0,0,0,0,0,0,0,0,0
40,2220,0.0638766519823789,0,0.171806167400881,0.0066079295154185,0.535242290748899,0.20704845814978,0.0110132158590308,0.00220264317180617,0,0,0,0.00220264317180617,0,0,0,0,0,0,0,0
50,2766,0.046448087431694,0,0.191256830601093,0.00819672131147541,0.636612021857924,0.103825136612022,0.00546448087431694,0.00546448087431694,0,0.00273224043715847,0,0,0,0,0,0,0,0,0,0
60,3313,0.0635451505016722,0,0.173913043478261,0.00668896321070234,0.65551839464883,0.0903010033444816,0.00668896321070234,0,0,0,0.00334448160535117,0,0,0,0,0,0,0,0,0
70,3859,0.0558823529411765,0,0.147058823529412,0,0.694117647058824,0.088235294117647,0.0117647058823529,0,0,0,0.00294117647058824,0,0,0,0,0,0,0,0,0
80,4406,0.0631578947368421,0.00350877192982456,0.235087719298246,0,0.55438596491228,0.126315789473684,0.00701754385964912,0,0,0.00350877192982456,0.00350877192982456,0.00350877192982456,0,0,0,0,0,0,0,0
90,4952,0.0602409638554217,0,0.234939759036145,0.00301204819277108,0.596385542168675,0.0933734939759036,0,0.00301204819277108,0,0,0.00903614457831325,0,0,0,0,0,0,0,0,0
100,5499,0.095890410958904,0,0.347945205479452,0.00547945205479452,0.2,0.33972602739726,0.00547945205479452,0,0,0,0.00273972602739726,0,0.00273972602739726,0,0,0,0,0,0,0
110,6045,0.169354838709677,0,0.439516129032258,0,0.0564516129032258,0.32258064516129,0.00806451612903226,0.00403225806451613,0,0,0,0,0,0,0,0,0,0,0,0
120,NA,0.0732600732600733,0,0.271062271062271,0.00732600732600733,0.032967032967033,0.593406593406593,0.010989010989011,0.00366300366300366,0.00366300366300366,0,0.00366300366300366,0,0,0,0,0,0,0,0,0
127,NA,0.126482213438735,0,0.33201581027668,0.00790513833992095,0.067193675889328,0.438735177865613,0.0118577075098814,0.00790513833992095,0,0,0.00790513833992095,0,0,0,0,0,0,0,0,0
140,NA,0.0494071146245059,0,0.177865612648221,0.00395256916996047,0.0573122529644269,0.691699604743083,0,0.00592885375494071,0.00197628458498024,0,0.00790513833992095,0.00395256916996047,0,0,0,0,0,0,0,0
150,NA,0.0985915492957746,0,0.262910798122066,0,0.0234741784037559,0.577464788732394,0.00938967136150235,0.0140845070422535,0,0,0.00938967136150235,0,0.00469483568075117,0,0,0,0,0,0,0
160,NA,0.0109090909090909,0,0.0654545454545455,0.00363636363636364,0.00727272727272727,0.89090909090909,0.00363636363636364,0.00727272727272727,0,0,0.00363636363636364,0.00727272727272727,0,0,0,0,0,0,0,0
165,NA,0.004,0.008,0.252,0.012,0.044,0.564,0.02,0.036,0.004,0.004,0.02,0.024,0.004,0.004,0,0,0,0,0,0
170,NA,0.0210970464135021,0.029535864978903,0.350210970464135,0.0210970464135021,0.0675105485232067,0.206751054852321,0.0928270042194093,0.0337552742616034,0,0,0.0337552742616034,0.118143459915612,0,0,0.0168776371308017,0.00843881856540084,0,0,0,0
175,NA,0.00819672131147541,0.00819672131147541,0.311475409836066,0.0327868852459016,0.0819672131147541,0.155737704918033,0.0778688524590164,0.10655737704918,0.00409836065573771,0,0.0245901639344262,0.163934426229508,0,0,0.00409836065573771,0.00409836065573771,0.00409836065573771,0.00409836065573771,0.00409836065573771,0.00409836065573771
180,NA,0,0.020979020979021,0.251748251748252,0.006993006993007,0.104895104895105,0.146853146853147,0.202797202797203,0.111888111888112,0,0,0.0559440559440559,0.041958041958042,0.006993006993007,0,0.020979020979021,0.027972027972028,0,0,0,0
