"sample.depths","sample.ages","Acer.negundo","Acer.pensylvanicum","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Anacardiaceae","Apiaceae","Aquatics.undiff.","Aquifoliaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.undiff.","Athyrium","Betula","Brasenia.schreberi","Brassicaceae","Carya","Ceanothus","Celtis","Cerealia","Cornus","Corylus","Crataegus.type","Cupressaceae","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Ericaceae","Fabaceae.undiff.","Fagus","Filicopsida.undiff.","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Galium","Gleditsia","Herbs.undiff.","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Lamiaceae","Larix","Lemnaceae","Lycopodium.type","Menyanthes.trifoliata","Moraceae.undiff.","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Osmunda","Ostrya.Carpinus","Oxyria.digyna","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Poaceae.undiff.","Polygonum","Populus","Potentilla.type","Prunus.Sorbus","Pteridium.type","Pyrus.type","Quercus","Ranunculaceae.undiff.","Rhamnaceae.Vitaceae.undiff.","Rosaceae.undiff.","Rumex","Sagittaria","Salix","Salsola","Sarcobatus.vermiculatus","Saxifragaceae","Shepherdia","Shrubs.undiff.","Sphagnum","Thalictrum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown","Unknown..monolete.","Vitis","Woodsia"
1,NA,0,0,3,0,3,0,9,1,0,7,0,0,0,0,2,0,0,1,0,56,1,0,2,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,15,6,0,2,14,103,64,4,4,0,1,0,0,1,0,33,0,0,0,1,1,0,0,0,0,0,0,14,2,0,1,4,0,6,0,0,0,0
25,NA,0,0,1,1,2,0,20,0,0,6,0,0,0,1,0,3,0,1,0,86,3,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,1,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,6,0,2,14,142,116,2,1,0,1,0,0,1,0,71,0,1,0,1,0,1,0,0,0,0,0,14,0,2,0,4,1,6,1,1,0,0
50,NA,0,1,1,0,4,0,22,0,1,2,1,0,0,0,2,5,0,4,0,86,1,0,1,0,0,0,0,3,0,7,6,1,0,0,0,1,0,0,2,7,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,6,7,0,1,19,77,68,2,13,1,5,0,0,4,0,112,0,2,0,0,0,2,0,0,0,0,0,13,2,0,0,2,0,10,1,3,0,0
65,NA,0,0,1,0,0,0,54,0,3,11,0,0,0,0,1,7,0,3,0,112,0,1,0,1,0,0,0,7,0,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,11,0,0,4,21,30,1,11,0,3,0,0,0,0,104,0,1,0,0,0,5,1,0,0,0,0,4,2,1,0,2,3,7,0,0,0,0
80,NA,0,0,1,0,4,0,22,0,3,5,1,0,0,0,0,12,0,6,1,70,1,0,1,0,0,0,0,1,0,2,7,0,0,1,0,0,0,0,0,6,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,19,190,69,2,9,0,3,0,0,3,0,73,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,4,3,10,1,0,0,1
90,NA,0,0,2,0,2,1,34,0,1,9,0,0,0,0,0,4,0,3,1,160,2,0,1,0,0,0,0,0,0,4,11,0,0,0,1,0,0,0,5,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,1,18,86,28,0,9,0,6,0,0,0,0,126,0,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,10,0,2,0,0
100,NA,0,0,0,0,5,0,27,0,3,7,0,0,0,0,0,11,0,5,1,62,0,1,2,0,1,0,0,0,0,2,12,0,0,0,0,0,0,0,1,9,0,0,0,0,9,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,1,2,9,0,1,10,31,19,4,9,0,1,0,0,11,0,155,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,3,1,10,2,1,0,0
120,1923,0,0,4,0,8,0,30,0,2,8,1,0,0,0,0,6,0,4,6,99,0,0,2,1,0,0,0,3,0,2,4,0,0,0,0,0,0,0,3,5,0,0,0,0,4,0,1,0,3,1,0,0,0,1,0,0,0,0,1,1,0,2,21,0,0,3,73,50,0,15,0,4,0,0,12,0,160,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,13,0,6,0,1
130,2077,1,0,4,3,13,0,22,1,1,6,3,0,0,0,0,8,0,4,1,117,2,0,1,0,0,0,0,2,0,1,10,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,20,0,0,13,126,48,2,7,0,5,0,0,6,0,197,0,0,0,0,0,1,0,0,0,0,0,3,0,3,0,1,0,20,0,6,0,0
150,2386,0,1,0,0,3,0,10,1,1,3,0,0,0,0,0,1,0,2,0,52,1,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,8,189,80,1,1,0,1,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,1
169,2680,0,0,1,0,4,0,17,0,2,5,0,0,0,0,0,1,0,1,0,74,0,0,1,0,0,0,0,4,0,0,8,0,0,1,1,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,9,93,69,1,7,0,6,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,6,1,2,0,0
190,3004,0,0,3,0,2,0,14,0,4,6,0,0,0,0,0,11,0,7,0,111,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,4,12,0,0,11,159,127,1,9,0,2,0,0,2,0,180,0,1,0,0,0,2,0,0,0,0,0,3,1,6,0,0,0,25,1,2,0,0
220,3468,0,0,1,0,7,0,41,2,7,10,0,0,0,0,0,11,1,6,2,58,5,1,4,1,0,0,0,5,0,2,20,0,0,0,1,0,0,0,0,8,0,0,0,0,14,1,1,0,4,0,0,0,0,0,0,0,1,1,0,0,4,6,11,0,1,8,68,123,2,18,0,3,0,1,24,0,141,0,0,0,0,3,5,0,0,0,0,0,9,0,7,0,0,0,24,3,8,0,0
250,3931,0,0,0,0,1,0,34,1,0,12,0,0,0,0,0,6,0,3,0,38,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,4,34,59,0,12,0,0,0,0,3,0,70,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,8,0,7,0,0
280,4395,0,0,0,1,0,0,49,1,7,13,0,0,0,0,0,10,0,2,1,50,3,0,2,0,0,0,0,3,1,1,23,1,0,0,0,0,0,0,0,4,0,0,0,0,16,0,1,0,1,6,0,3,0,0,3,1,0,0,0,0,4,6,3,0,1,13,52,72,0,23,0,6,0,0,1,0,265,0,1,0,0,0,1,0,1,0,0,0,15,0,3,0,0,0,9,1,12,0,0
300,4704,0,0,0,0,3,0,27,0,5,11,0,0,0,0,0,14,0,10,0,22,0,0,0,0,0,0,0,1,0,3,15,0,0,0,0,0,0,0,0,5,0,0,0,0,7,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,12,24,13,0,14,0,0,0,0,7,0,120,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,1,4,2,1,0,0
310,4860,1,0,1,0,3,0,29,0,11,13,0,0,0,1,0,13,0,5,1,30,0,0,0,0,0,0,0,6,0,3,22,0,0,0,12,0,0,0,0,2,1,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,2,22,56,33,3,29,0,4,0,0,11,0,281,0,0,0,0,0,4,0,1,0,0,0,3,0,2,0,0,1,29,2,2,0,0
330,5173,0,0,1,0,6,0,26,1,12,17,0,0,0,0,1,17,0,0,0,51,0,0,2,0,0,0,0,3,0,4,17,0,0,0,0,0,0,0,1,7,0,0,0,0,5,0,1,0,4,0,0,2,0,0,1,2,0,0,0,0,0,3,9,0,0,38,88,49,1,29,0,2,0,0,10,0,153,0,1,0,1,0,3,0,1,0,0,0,2,0,2,0,2,0,13,1,2,0,0
350,5486,0,0,1,0,3,0,27,0,3,13,1,0,0,0,0,16,0,5,3,23,11,0,3,0,0,0,0,2,0,2,15,0,0,0,11,0,0,0,0,7,0,0,0,0,8,0,2,0,6,2,0,1,0,0,0,0,0,0,0,1,2,0,23,0,0,12,75,68,0,30,0,3,0,0,17,0,170,0,0,0,0,0,2,0,2,0,0,0,0,0,6,0,0,2,28,8,0,0,0
370,5798,0,0,0,0,6,0,41,4,6,16,1,0,0,0,0,17,0,10,0,22,9,1,3,0,0,0,0,3,0,1,15,0,0,0,13,0,0,0,1,6,1,0,0,0,6,0,2,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,29,0,0,7,47,42,2,36,0,1,0,0,4,0,198,0,2,0,1,2,3,0,0,0,0,0,0,0,3,0,1,1,28,0,2,0,0
400,6268,1,0,0,0,3,0,21,0,6,18,0,0,0,0,0,9,0,3,1,25,6,1,4,0,0,0,0,2,0,3,11,1,0,0,5,0,0,2,0,11,0,0,0,0,6,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,25,0,1,6,33,20,2,28,0,2,0,0,7,0,171,0,1,0,0,0,4,0,1,0,0,0,0,0,4,0,0,1,35,1,1,0,0
430,6737,1,0,0,0,4,0,19,1,11,10,1,0,0,0,0,13,0,4,0,11,4,0,7,0,0,0,0,5,0,1,12,1,0,0,4,0,0,0,1,6,0,0,0,0,14,0,3,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,26,1,0,11,46,24,0,15,0,3,0,0,6,0,191,0,1,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,54,0,3,0,0
450,7050,0,0,0,0,5,0,22,3,5,15,1,0,0,0,0,10,0,7,0,33,2,0,8,0,1,0,1,7,0,3,13,0,0,0,12,0,0,0,1,10,0,1,0,2,12,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,67,0,2,5,31,31,3,21,0,7,0,0,15,0,158,1,1,0,0,0,3,0,1,0,0,0,0,0,17,1,1,1,61,2,2,0,0
460,7206,0,0,1,1,3,0,10,0,8,15,0,0,0,0,0,9,0,0,1,42,3,0,1,0,0,0,0,3,0,3,11,0,0,0,7,0,1,0,0,8,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,3,63,0,0,3,34,22,3,17,1,3,0,0,6,0,71,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,44,0,2,0,0
480,7512,0,0,0,0,6,0,33,3,6,9,1,0,0,0,0,11,0,4,0,61,3,0,3,0,1,0,0,11,0,2,12,0,1,0,2,0,0,0,0,15,0,0,0,0,10,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,78,0,0,8,52,51,4,18,1,3,0,0,6,0,86,0,1,0,0,2,3,0,0,0,0,0,0,0,7,1,0,0,54,5,5,0,0
500,7815,1,0,0,0,8,0,23,1,9,17,1,0,0,0,0,12,0,2,0,26,6,0,8,0,1,0,0,2,0,4,16,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,45,0,1,15,36,33,1,21,0,0,0,0,11,0,124,0,0,0,0,0,2,1,0,0,0,0,0,1,5,0,0,1,55,0,4,0,0
510,7967,0,0,1,0,3,0,38,1,15,13,0,0,0,0,0,14,0,6,0,24,3,0,7,0,0,1,0,6,0,1,17,0,0,0,1,0,1,0,15,4,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,1,15,39,166,2,8,0,0,0,0,2,0,101,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,35,2,14,0,0
520,8118,0,2,0,0,4,0,34,8,3,18,0,0,0,0,0,14,0,3,0,30,1,0,1,0,0,0,0,10,0,1,10,0,0,0,4,1,0,0,3,6,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,5,0,16,0,1,45,33,111,0,24,0,0,0,0,1,0,77,1,0,0,0,0,8,0,0,0,0,0,4,0,2,1,0,3,50,1,18,0,0
538,8391,0,0,1,0,3,0,15,0,6,12,0,0,0,0,0,5,0,3,0,20,5,0,2,0,0,0,0,2,0,0,10,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,8,15,59,2,9,0,1,0,0,2,0,172,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,28,1,2,0,0
560,8725,0,0,0,0,4,0,7,1,15,24,0,0,0,0,0,18,0,3,0,16,0,0,2,0,0,0,0,3,0,0,9,0,0,0,10,0,0,0,5,5,0,0,0,0,9,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,26,0,0,13,16,48,1,36,1,0,1,0,3,0,127,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,0,2,37,2,8,0,0
580,9028,0,0,1,0,6,0,46,1,10,26,0,1,0,0,0,21,0,4,0,52,5,0,2,0,0,0,0,8,0,0,14,0,0,1,6,1,0,0,0,7,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,19,0,2,39,65,85,3,36,0,6,0,1,10,0,72,0,2,0,0,0,16,0,0,0,0,0,0,0,2,0,0,1,48,0,9,0,0
600,9331,0,1,0,0,4,0,52,0,8,11,2,0,0,0,0,17,0,3,1,42,8,0,4,0,0,0,0,10,0,2,17,0,0,0,3,0,0,0,1,22,0,0,0,0,3,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,39,0,0,47,47,73,0,12,0,3,0,0,11,0,109,0,1,0,0,0,1,1,2,0,0,0,2,0,0,0,0,1,48,0,6,0,0
630,9732,0,0,0,1,4,0,80,8,10,32,0,0,1,0,0,20,0,2,1,54,6,0,6,1,0,0,0,25,0,7,16,0,0,0,5,0,0,0,7,17,2,0,1,0,15,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,38,0,3,42,40,75,3,15,0,5,0,0,18,0,110,0,0,0,0,0,6,0,1,0,0,0,0,0,3,0,0,2,57,2,5,0,1
