"sample.depths","sample.ages","Abies","Acer","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Fraxinus","Juglans","Larix","Ostrya.Carpinus","Picea","Pinus","Poaceae","Quercus","Salix","Sparganium.type","Tilia","Typha.latifolia","Ulmus"
1,11,3,6,13,22,110,1,20,33,13,3,0,97,68,3,7,27,6,0,47,17,161,5,2,1,32,11
7,77,1,1,4,14,75,1,6,5,3,1,0,25,19,2,1,77,1,1,16,8,33,0,1,1,2,2
13,153,1,1,2,0,5,1,3,1,2,1,0,89,30,0,1,85,0,1,90,8,26,1,0,0,1,1
19,239,0,1,2,1,3,0,3,8,3,3,0,101,28,1,1,43,0,1,95,8,40,1,0,0,0,2
25,326,2,0,3,0,3,0,3,13,1,1,0,94,76,1,0,61,1,7,67,9,20,0,0,0,0,1
31,412,0,1,4,1,4,0,4,13,1,2,0,34,65,0,1,51,0,4,73,8,19,1,0,0,0,0
37,499,0,0,3,2,3,1,2,6,0,0,0,54,20,0,0,56,0,4,94,6,18,1,0,0,1,0
43,585,0,1,2,2,4,0,2,6,3,0,0,56,11,0,0,60,1,4,86,7,14,0,0,1,0,1
49,671,1,4,2,3,4,2,1,4,1,1,0,91,8,2,0,33,0,6,121,11,31,3,0,0,3,0
62,859,0,1,0,2,5,0,2,1,1,0,0,47,8,1,0,9,0,3,82,6,22,1,0,0,0,1
72,1003,1,1,0,2,3,0,2,1,2,0,0,50,3,0,1,33,0,5,118,8,25,0,0,0,1,1
79,1103,1,2,3,2,9,2,3,5,1,0,0,160,5,0,1,4,1,2,137,9,48,1,0,2,0,1
88,1289,1,6,5,1,4,1,4,5,1,0,0,115,40,0,1,1,0,3,114,7,45,1,0,1,0,1
98,1502,1,1,0,5,5,1,0,3,2,1,0,230,9,1,0,3,0,3,186,13,48,2,0,0,0,0
105,1652,0,2,1,2,2,1,2,4,1,0,0,202,9,0,2,0,1,7,167,10,38,3,0,1,2,0
111,1780,1,1,1,3,5,2,4,2,2,0,0,120,3,0,0,0,0,1,70,9,22,0,0,0,0,1
116,1887,0,3,0,1,4,3,1,2,0,0,0,316,14,0,1,1,0,6,145,9,52,3,0,0,2,5
121,1994,1,3,1,3,3,1,2,2,0,0,0,180,5,0,1,2,0,5,119,7,43,0,0,1,2,1
126,2101,0,2,1,2,7,1,1,1,0,1,0,250,6,0,1,3,0,5,118,8,62,4,0,2,1,1
131,2207,0,1,1,1,5,1,1,3,1,0,0,160,1,0,0,3,1,2,73,8,38,0,0,0,4,2
136,2314,1,2,2,4,5,0,1,2,0,1,1,150,2,2,1,2,1,2,89,13,55,1,0,1,2,1
144,2485,0,0,1,7,8,2,5,1,0,0,0,310,7,1,1,3,1,2,143,22,61,1,0,0,0,1
154,2699,0,2,1,3,2,0,3,6,1,0,0,151,0,0,1,0,1,3,91,9,59,2,1,0,1,3
161,2851,4,1,2,6,4,0,3,0,2,1,0,253,2,2,1,2,0,4,120,8,54,2,1,0,3,1
171,3091,0,1,0,4,4,0,2,1,1,0,0,194,2,0,1,0,0,2,113,11,51,2,0,0,5,3
181,3330,4,2,3,3,6,3,8,5,4,1,0,390,8,3,3,1,6,5,164,15,104,2,0,1,5,7
191,3570,2,4,2,6,2,0,0,7,2,0,0,393,2,1,2,1,2,0,83,10,147,1,0,0,4,11
197,3673,2,3,2,1,3,2,1,3,2,1,0,191,2,1,0,3,1,3,43,10,90,2,0,0,2,6
202,3751,2,2,1,2,3,3,5,3,3,1,0,217,6,1,0,2,1,4,77,15,68,3,0,1,4,5
230,4192,2,3,3,9,5,0,11,3,5,0,0,219,46,3,1,4,0,5,75,19,43,2,1,0,5,2
246,4444,3,2,3,6,15,0,15,3,0,1,0,317,24,4,3,3,0,3,108,16,37,2,10,0,36,0
260,4665,4,3,4,11,16,3,11,2,4,1,0,274,23,1,3,4,1,4,76,17,50,4,7,1,37,2
268,4791,4,1,1,8,13,2,4,2,3,0,0,241,30,0,0,2,0,5,114,21,22,3,2,1,27,2
276,4917,2,0,2,7,14,4,21,3,3,1,0,251,13,5,2,0,0,3,78,28,49,6,2,0,14,2
286,NA,3,1,5,9,21,7,17,3,1,2,0,209,34,2,1,0,0,2,123,27,40,6,7,0,26,4
