"depth","best.age","min.age","max.age"
1,-8,-16,2
20,36,3,69
30,59,9,107
40,116,59,173
50,208,152,265
60,300,243,357
70,392,334,450
95,622,559,686
115,807,736,877
135,991,912,1070
155,1175,1087,1265
165,1267,1174,1363
195,1543,1435,1658
215,1727,1609,1856
235,1911,1783,2055
255,2095,1956,2263
275,2279,2129,2470
295,2463,2302,2674
315,2647,2474,2876
335,2831,2647,3077
355,3015,2819,3278
375,3199,2992,3480
385,3291,3078,3581
405,3475,3251,3783
415,3567,3336,3883
435,3752,3509,4084
460,3982,3723,4335
475,4120,3852,4486
485,4212,3938,4587
510,4442,4153,4838
530,4626,4325,5039
540,4718,4412,5141
550,4810,4497,5241
560,4924,4614,5349
585,5229,4928,5619
600,5412,5112,5765
610,5535,5230,5882
620,5657,5347,6003
630,5779,5461,6126
645,5962,5628,6313
660,6145,5794,6506
685,6450,6067,6837
710,6755,6335,7179
735,7060,6602,7531
750,7243,6760,7744
765,7426,6917,7957
785,7670,7124,8242
800,7853,7275,8454
835,8280,7627,8954
855,8524,7826,9240
885,8890,8125,9671
910,9195,8374,10032
935,9500,8623,10394
960,9805,8872,10757
985,10111,9122,11121
1010,10416,9372,11486
1045,10843,9722,11997
1060,NA,NA,NA
1085,NA,NA,NA
1090,NA,NA,NA
1095,NA,NA,NA
