"sample.depths","sample.ages","Abies","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Ericaceae","Fagus","Herbs.undiff.","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Quercus","Tsuga","Ulmus","Alnus","Acer","Populus","Poaceae","Plantago","Cyperaceae","Fraxinus","Asteraceae.subf..Asteroideae.undiff.","Aquifoliaceae","Tilia","Larix","Salix","Juglans","Rosaceae","Myrica","Pinus.undiff.","Rumex","Thalictrum","Asteraceae.subf..Cichorioideae","Cupressaceae","Shepherdia","Sarcobatus.vermiculatus"
0,0,0.033457249070632,0.0446096654275093,0.00371747211895911,0.513011152416357,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.00371747211895911,0.0148698884758364,0.0297397769516729,0.00743494423791822,0.12639405204461,0.0483271375464684,0.0148698884758364,0.0185873605947955,0.0111524163568773,0.0483271375464684,0.0185873605947955,0.0223048327137546,0.00371747211895911,0.0223048327137546,0.00371747211895911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,100,0.0342205323193916,0.026615969581749,0.00380228136882129,0.482889733840304,0,0,0.00380228136882129,0,0.026615969581749,0.0342205323193916,0.00380228136882129,0.144486692015209,0.0494296577946768,0.0114068441064639,0.0114068441064639,0.00760456273764259,0.0114068441064639,0.0722433460076046,0.0228136882129278,0,0.0342205323193916,0,0.0114068441064639,0.00760456273764259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,200,0.035230352303523,0.008130081300813,0,0.479674796747967,0.002710027100271,0,0,0.00542005420054201,0.021680216802168,0.010840108401084,0.002710027100271,0.208672086720867,0.048780487804878,0.062330623306233,0.013550135501355,0.037940379403794,0.00542005420054201,0.032520325203252,0.010840108401084,0,0,0,0,0.010840108401084,0.002710027100271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,644,0.033003300330033,0.0033003300330033,0.0066006600660066,0.534653465346535,0,0,0,0,0.0231023102310231,0.0165016501650165,0,0.138613861386139,0.0858085808580858,0.0429042904290429,0.0165016501650165,0.0297029702970297,0.0033003300330033,0.0396039603960396,0.0033003300330033,0,0.0066006600660066,0,0.0033003300330033,0.0099009900990099,0,0.0033003300330033,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1089,0.025531914893617,0,0.0127659574468085,0.574468085106383,0,0,0,0,0.0425531914893617,0.0382978723404255,0.0127659574468085,0.0808510638297872,0.0936170212765957,0.00851063829787234,0.00851063829787234,0.0297872340425532,0.00425531914893617,0.0340425531914894,0.00425531914893617,0,0,0,0.0127659574468085,0.00851063829787234,0.00425531914893617,0,0.00425531914893617,0,0,0,0,0,0,0,0,0,0,0,0
100,1533,0.0248756218905473,0,0.00497512437810945,0.507462686567164,0.00497512437810945,0.00497512437810945,0.0099502487562189,0.00497512437810945,0.0199004975124378,0.0248756218905473,0.0099502487562189,0.099502487562189,0.0298507462686567,0.109452736318408,0.0199004975124378,0.0099502487562189,0.0199004975124378,0.0597014925373134,0.00497512437810945,0,0.00497512437810945,0,0.0149253731343284,0.00497512437810945,0,0,0,0.00497512437810945,0,0,0,0,0,0,0,0,0,0,0
130,2200,0.0233644859813084,0,0,0.490654205607477,0,0,0.00934579439252336,0.00467289719626168,0.00467289719626168,0.0373831775700935,0,0.0700934579439252,0.168224299065421,0.0514018691588785,0.0233644859813084,0.0280373831775701,0.014018691588785,0.0467289719626168,0.00467289719626168,0,0,0,0.00934579439252336,0.014018691588785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2645,0,0,0,0.482300884955752,0,0,0,0,0.0221238938053097,0.0353982300884956,0.00442477876106195,0.0752212389380531,0.132743362831858,0.101769911504425,0.0176991150442478,0.0088495575221239,0.0265486725663717,0.0707964601769911,0.0088495575221239,0,0,0,0.0088495575221239,0.00442477876106195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,3089,0.012396694214876,0,0,0.504132231404959,0,0,0,0,0.00826446280991736,0.0661157024793388,0.00413223140495868,0.0537190082644628,0.140495867768595,0.111570247933884,0.00413223140495868,0,0.00413223140495868,0.0578512396694215,0,0,0.00413223140495868,0.00413223140495868,0.00413223140495868,0.012396694214876,0,0.00413223140495868,0,0,0.00413223140495868,0,0,0,0,0,0,0,0,0,0
190,3534,0.135231316725979,0,0,0.195729537366548,0,0,0,0,0.0106761565836299,0.0177935943060498,0,0.120996441281139,0.181494661921708,0.270462633451957,0.00711743772241993,0.0213523131672598,0.0106761565836299,0.0142348754448399,0,0,0,0,0.0106761565836299,0.00355871886120996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
