"sample.depths","sample.ages","Abies","Acer.pensylvanicum","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Alnus","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae","Cyperaceae","Fagus","Filicopsida","Fraxinus","Herbs.undiff.","Ilex","Isoëtes","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Myrica","Ostrya.Carpinus","Picea","Pinus","Platanus","Poaceae","Populus","Quercus","Salix","Thalictrum","Tilia","Tsuga","Ulmus"
0,250,43,7,1,17,0,15,0,4,3,2,264,5,1,22,4,5,42,69,16,9,1,24,2,0,0,5,1,28,153,81,4,3,0,47,0,1,1,52,13
20,623,16,3,0,25,1,12,2,1,3,0,356,6,1,11,2,2,106,84,19,3,0,3,0,0,1,10,0,12,96,61,4,2,0,48,0,2,1,67,24
57,1006,22,5,1,19,1,12,0,2,0,3,345,3,1,4,4,0,86,21,19,3,2,3,1,0,0,2,0,13,11,44,2,1,0,41,2,0,1,60,19
87,1275,22,3,2,30,0,17,0,2,1,2,291,7,3,9,4,0,125,31,25,3,0,10,0,0,2,3,0,17,61,49,3,1,0,41,1,2,0,66,14
105,1788,36,6,3,58,2,35,2,1,2,1,602,7,0,15,1,0,203,33,29,4,1,11,2,0,1,0,0,27,7,100,13,3,0,83,1,0,2,106,30
135,3132,19,3,2,30,1,29,2,5,1,1,295,4,1,9,4,3,83,17,22,1,1,12,3,1,0,8,0,18,3,109,6,1,1,56,0,2,0,21,28
155,4152,15,3,3,24,0,11,1,0,2,1,231,4,0,5,1,4,40,15,20,1,0,9,2,0,1,1,2,11,4,89,2,0,0,46,0,3,0,4,10
165,4642,23,5,0,28,0,22,0,0,2,2,653,4,2,8,7,1,151,26,31,4,1,7,2,0,0,4,3,20,4,103,4,1,0,58,1,1,1,22,27
175,5098,16,1,1,30,2,21,0,0,3,4,490,5,0,7,6,4,112,20,28,3,0,15,5,0,1,5,1,12,2,78,11,2,1,37,1,3,1,186,19
203,6192,19,10,3,41,1,25,1,5,1,8,698,8,3,10,0,1,125,27,36,7,3,21,3,0,0,11,1,19,7,141,12,6,0,85,0,2,0,252,22
240,7316,6,4,0,11,1,20,1,1,0,2,268,1,2,5,1,3,48,7,14,0,0,5,1,0,1,1,1,10,3,126,9,1,2,47,0,1,1,113,25
277,8219,20,0,0,26,1,22,4,6,5,3,379,2,0,25,10,3,11,19,14,2,0,11,0,0,1,10,5,39,9,542,4,2,2,88,0,3,0,36,18
303,8846,81,4,2,39,3,27,1,6,3,4,646,9,1,11,7,4,67,22,51,6,0,23,1,2,4,5,7,58,15,837,13,3,1,271,2,1,2,104,31
333,9696,32,1,1,6,1,25,3,5,3,4,295,1,0,14,5,6,5,39,26,1,0,18,0,0,1,13,2,32,14,546,6,9,1,160,2,1,0,28,25
371,11136,27,1,0,6,0,78,0,0,1,8,295,3,1,10,8,5,0,25,13,0,0,5,4,0,6,10,3,8,22,198,1,5,12,53,5,0,0,0,13
381,11582,28,0,0,1,0,208,0,1,1,3,137,1,0,9,7,6,1,19,6,4,1,0,0,0,5,12,2,10,45,96,0,6,12,30,8,0,0,3,7
403,12646,7,0,1,1,0,143,0,0,5,1,42,0,0,0,2,8,0,8,7,1,0,1,1,0,3,6,0,2,51,118,0,3,24,24,3,0,0,8,8
413,13163,4,0,0,1,0,38,0,1,4,5,55,0,0,0,7,38,0,2,1,2,0,0,0,0,0,1,0,15,77,70,0,6,2,6,3,1,0,0,1
438,NA,2,0,0,0,0,3,0,7,4,2,6,0,0,1,3,19,0,5,2,6,0,0,0,0,0,0,0,3,55,39,0,10,0,4,6,0,0,0,1
