"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.pensylvanicum","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Castanea","Asteraceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Fagus","Herbs.undiff.","Ilex","Juglans.cinerea","Ostrya.Carpinus","Picea","Platanus","Quercus","Thalictrum","Tilia","Tsuga","Ulmus","Alnus","Fraxinus","Myrica","Pinus","Poaceae","Acer.spicatum","Larix","Amaranthaceae","Salix","Juglans.nigra","Populus"
0,250,847,43,17,7,1,4,3,264,5,1,2,22,4,5,42,9,1,2,28,153,4,47,1,1,52,13,15,16,1,81,3,0,0,0,0,0,0
20,623,887,16,25,3,0,1,3,356,6,1,0,11,2,2,106,3,0,0,12,96,4,48,2,1,67,24,12,19,0,61,2,1,1,2,0,0,0
57,1006,727,22,19,5,1,2,0,345,3,1,3,4,4,0,86,3,2,1,13,11,2,41,0,1,60,19,12,19,0,44,1,1,0,0,2,0,0
87,1275,803,22,30,3,2,2,1,291,7,3,2,9,4,0,125,3,0,0,17,61,3,41,2,0,66,14,17,25,0,49,1,0,2,0,1,0,0
105,1788,1383,36,58,6,3,1,2,602,7,0,1,15,1,0,203,4,1,2,27,7,13,83,0,2,106,30,35,29,0,100,3,2,1,2,1,0,0
135,3132,765,19,30,3,2,5,1,295,4,1,1,9,4,3,83,1,1,3,18,3,6,56,2,0,21,28,29,22,0,109,1,1,0,2,0,1,1
155,4152,540,15,24,3,3,0,2,231,4,0,1,5,1,4,40,1,0,2,11,4,2,46,3,0,4,10,11,20,2,89,0,0,1,1,0,0,0
165,4642,1191,23,28,5,0,0,2,653,4,2,2,8,7,1,151,4,1,2,20,4,4,58,1,1,22,27,22,31,3,103,1,0,0,0,1,0,0
175,5098,1093,16,30,1,1,0,3,490,5,0,4,7,6,4,112,3,0,5,12,2,11,37,3,1,186,19,21,28,1,78,2,2,1,0,1,0,1
203,6192,1555,19,41,10,3,5,1,698,8,3,8,10,0,1,125,7,3,3,19,7,12,85,2,0,252,22,25,36,1,141,6,1,0,1,0,0,0
240,7316,729,6,11,4,0,1,0,268,1,2,2,5,1,3,48,0,0,1,10,3,9,47,1,1,113,25,20,14,1,126,1,1,1,1,0,0,2
277,8219,1282,20,26,0,0,6,5,379,2,0,3,25,10,3,11,2,0,0,39,9,4,88,3,0,36,18,22,14,5,542,2,1,1,4,0,0,2
303,8846,2324,81,39,4,2,6,3,646,9,1,4,11,7,4,67,6,0,1,58,15,13,271,1,2,104,31,27,51,7,837,3,3,4,1,2,2,1
333,9696,1261,32,6,1,1,5,3,295,1,0,4,14,5,6,5,1,0,0,32,14,6,160,1,0,28,25,25,26,2,546,9,1,1,3,2,0,1
371,11136,786,27,6,1,0,0,1,295,3,1,8,10,8,5,0,0,0,4,8,22,1,53,0,0,0,13,78,13,3,198,5,0,6,0,5,0,12
381,11582,638,28,1,0,0,1,1,137,1,0,3,9,7,6,1,4,1,0,10,45,0,30,0,0,3,7,208,6,2,96,6,0,5,0,8,0,12
403,12646,463,7,1,0,1,0,5,42,0,0,1,0,2,8,0,1,0,1,2,51,0,24,0,0,8,8,143,7,0,118,3,0,3,0,3,0,24
413,13163,337,4,1,0,0,1,4,55,0,0,5,0,7,38,0,2,0,0,15,77,0,6,1,0,0,1,38,1,0,70,6,0,0,0,3,0,2
438,NA,173,2,0,0,0,7,4,6,0,0,2,1,3,19,0,6,0,0,3,55,0,4,0,0,0,1,3,2,0,39,10,0,0,0,6,0,0
