"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.undiff.","Artemisia","Betula","Carya","Cupressaceae","Ericaceae","Fagus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Alnus.incana","Ambrosia","Alnus.viridis","Poaceae","Rosaceae","Acer.saccharum","Cyperaceae","Ulmus","Fraxinus.americana","Larix.laricina","Aquifoliaceae","Amaranthaceae","Ostrya.Carpinus","Juglans.cinerea","Juglans.undiff.","Fraxinus.nigra","Alnus.undiff.","Tilia","Arceuthobium","Corylus","Juglans.nigra","Liquidambar","Fraxinus.undiff."
0,-44,0.0171919770773639,0.0143266475644699,0.0171919770773639,0.00573065902578797,0.415472779369628,0.00286532951289398,0.00286532951289398,0.00573065902578797,0.0257879656160458,0.0343839541547278,0.0372492836676218,0.0859598853868195,0.197707736389685,0.00286532951289398,0.0487106017191977,0.00286532951289398,0.00286532951289398,0.0544412607449857,0.0114613180515759,0.00286532951289398,0.00573065902578797,0.00573065902578797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-32,0.00560224089635854,0,0,0,0.490196078431373,0,0.0252100840336134,0.0112044817927171,0.030812324929972,0.0504201680672269,0.0392156862745098,0.0168067226890756,0.198879551820728,0.0140056022408964,0.0252100840336134,0,0,0.0644257703081232,0.00280112044817927,0.00560224089635854,0,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.00840336134453781,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-19,0.0144508670520231,0.0115606936416185,0,0,0.456647398843931,0,0.00578034682080925,0.0289017341040462,0.0202312138728324,0.0606936416184971,0.00867052023121387,0.0173410404624277,0.219653179190751,0.0115606936416185,0.0578034682080925,0,0.00867052023121387,0.0404624277456647,0,0.00578034682080925,0,0.00867052023121387,0,0.00867052023121387,0.00867052023121387,0.00289017341040462,0.00289017341040462,0,0,0,0,0,0,0,0,0,0,0,0
3,-7,0.0198863636363636,0.0142045454545455,0.00852272727272727,0,0.477272727272727,0,0,0.0170454545454545,0.0539772727272727,0.0426136363636364,0.03125,0.0142045454545455,0.201704545454545,0.0227272727272727,0.0340909090909091,0,0.00568181818181818,0.03125,0,0,0,0.00852272727272727,0,0.00852272727272727,0.00568181818181818,0,0,0.00284090909090909,0,0,0,0,0,0,0,0,0,0,0
4,6,0.00289855072463768,0.0144927536231884,0,0,0.527536231884058,0,0,0.072463768115942,0.0231884057971014,0.0463768115942029,0.00579710144927536,0.0202898550724638,0.159420289855072,0.0115942028985507,0.063768115942029,0,0.00289855072463768,0.0318840579710145,0,0.00289855072463768,0,0.0115942028985507,0,0,0,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,0.0117994100294985,0.00294985250737463,0.00294985250737463,0,0.348082595870207,0,0,0.0147492625368732,0.0383480825958702,0.0383480825958702,0.088495575221239,0.023598820058997,0.315634218289086,0.0176991150442478,0.023598820058997,0,0,0.0412979351032448,0,0,0,0.0117994100294985,0,0.0117994100294985,0.00589970501474926,0,0,0,0.00294985250737463,0,0,0,0,0,0,0,0,0,0
6,31,0.0114613180515759,0,0.00859598853868195,0,0.429799426934097,0,0,0,0.0401146131805158,0.0515759312320917,0.0286532951289398,0.0143266475644699,0.240687679083095,0.00859598853868195,0.0515759312320917,0.00859598853868195,0.00859598853868195,0.0515759312320917,0,0.0171919770773639,0,0.00859598853868195,0.00286532951289398,0.00573065902578797,0.00573065902578797,0,0.00286532951289398,0,0,0.00286532951289398,0,0,0,0,0,0,0,0,0
7,43,0.00857142857142857,0.00571428571428571,0.00571428571428571,0,0.5,0,0.00285714285714286,0.0257142857142857,0.0628571428571429,0.06,0.00857142857142857,0.00285714285714286,0.22,0.00857142857142857,0.0457142857142857,0,0,0.02,0,0.00285714285714286,0,0.00857142857142857,0.00285714285714286,0,0.00285714285714286,0,0,0.00571428571428571,0,0,0,0,0,0,0,0,0,0,0
9,68,0.0112994350282486,0.00847457627118644,0.00564971751412429,0.00282485875706215,0.471751412429379,0,0,0.0593220338983051,0.0423728813559322,0.0536723163841808,0.0282485875706215,0.0536723163841808,0.0790960451977401,0.0225988700564972,0.0621468926553672,0.00282485875706215,0.00847457627118644,0.0395480225988701,0.00282485875706215,0.00282485875706215,0,0.0112994350282486,0.0112994350282486,0.0112994350282486,0,0,0.00282485875706215,0,0,0,0.00282485875706215,0.00282485875706215,0,0,0,0,0,0,0
11,93,0.0132978723404255,0.00531914893617021,0,0,0.444148936170213,0,0,0.0585106382978723,0.0611702127659574,0.0664893617021277,0.00265957446808511,0.0212765957446809,0.0851063829787234,0.00797872340425532,0.0904255319148936,0,0.00797872340425532,0.0851063829787234,0,0.0106382978723404,0,0.00265957446808511,0.0186170212765957,0.00797872340425532,0.00531914893617021,0,0.00265957446808511,0.00265957446808511,0,0,0,0,0,0,0,0,0,0,0
