"depth","best.age","min.age","max.age"
1,-17,-66,19
20,13,-40,68
40,52,-7,125
60,106,37,196
70,141,63,240
80,183,95,292
90,232,132,352
100,287,174,419
120,417,276,575
140,571,399,754
160,747,542,956
180,944,710,1183
200,1160,893,1425
220,1393,1088,1679
240,1640,1297,1950
260,1901,1520,2238
280,2174,1761,2543
300,2455,2017,2856
320,2745,2271,3166
340,3040,2534,3483
360,3340,2805,3805
380,3642,3081,4127
400,3944,3360,4448
420,4244,3644,4767
440,4541,3927,5079
460,4834,4211,5385
480,5119,4489,5680
500,5396,4758,5964
520,5665,5017,6238
540,5927,5269,6506
560,6184,5512,6766
580,6436,5756,7027
620,6931,6248,7547
640,7176,6492,7801
660,7420,6739,8056
680,7665,6984,8303
700,7911,7235,8548
720,8161,7496,8796
740,8414,7759,9038
760,8672,8031,9280
780,8936,8317,9524
800,9207,8620,9770
820,9485,8939,10019
840,9773,9277,10270
860,10071,9631,10521
880,10380,10007,10777
900,10701,10395,11031
910,10867,10595,11161
920,11036,10796,11295
930,11208,10997,11436
940,11385,11184,11592
950,11564,11351,11757
960,11745,11506,11938
970,NA,NA,NA
980,NA,NA,NA
990,NA,NA,NA
995,NA,NA,NA
1020,NA,NA,NA
1025,NA,NA,NA
1030,NA,NA,NA
