"depth","best.age","min.age","max.age"
5,288,275,299
10,577,550,598
15,865,824,897
20,1153,1099,1197
25,1441,1374,1496
30,1730,1649,1796
35,2018,1923,2095
40,2306,2198,2394
45,2595,2472,2693
50,2883,2747,2993
55,3171,3022,3293
60,3459,3297,3592
65,3748,3571,3891
70,4036,3846,4191
75,4324,4120,4489
80,4613,4395,4789
85,4901,4670,5089
90,5189,4945,5389
95,5477,5220,5688
100,5766,5494,5987
105,6054,5768,6286
110,6342,6043,6585
115,6631,6318,6885
120,6919,6593,7185
125,7207,6867,7484
130,NA,NA,NA
135,NA,NA,NA
140,NA,NA,NA
145,NA,NA,NA
150,NA,NA,NA
155,NA,NA,NA
160,NA,NA,NA
165,NA,NA,NA
170,NA,NA,NA
180,NA,NA,NA
190,NA,NA,NA
200,NA,NA,NA
