"sample.depths","sample.ages","upland.sum","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Ilex","Larix","Ostrya.Carpinus","Pinus.subg..Strobus","Platanus","Quercus","Salix","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Vitis","Alnus","Acer","Anacardiaceae","Poaceae","Lamiaceae","Abies","Ericaceae","Fagus","Fraxinus.nigra.type","Liquidambar","Morus","Pinus.subg..Pinus","Pinus.undiff.","Thalictrum","Tilia","Ulmus","Apiaceae","Fraxinus.pennsylvanica.type","Picea","Fabaceae","Juglans","Urtica.type","Populus","Elaeagnaceae","Rosaceae","Brassicaceae","Cornus","Ephedra","Sarcobatus.vermiculatus"
10,104,402,169,1,2,4,2,6,1,2,21,16,6,3,4,2,76,3,1,10,2,2,6,34,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,198,312,24,3,5,5,0,2,1,0,16,0,3,0,7,7,164,1,2,4,1,4,0,0,15,0,1,13,3,2,1,2,3,14,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
40,385,346,12,4,48,3,5,0,7,0,21,0,6,5,6,7,157,2,0,3,0,3,3,4,12,1,0,5,2,1,2,0,3,13,0,0,6,0,2,1,1,1,0,0,0,0,0,0,0,0
60,570,323,10,1,12,6,4,3,4,0,15,0,2,5,5,5,182,1,4,3,0,3,2,1,14,0,0,5,5,1,2,0,5,11,0,0,8,0,0,0,0,1,1,2,0,0,0,0,0,0
80,751,359,7,2,24,9,2,4,5,2,25,0,3,4,13,2,188,0,2,4,0,4,2,0,17,0,0,1,0,1,4,0,3,11,0,0,11,0,5,1,0,2,0,0,1,0,0,0,0,0
100,927,347,9,5,8,10,0,3,6,0,37,0,0,4,8,3,181,0,2,6,0,4,3,0,17,1,0,0,2,3,0,0,0,15,0,2,10,0,1,2,0,3,0,0,0,2,0,0,0,0
120,1095,373,14,2,6,6,0,0,3,2,59,0,1,3,12,0,209,2,3,1,0,3,4,0,14,0,0,1,3,4,0,0,2,13,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,0
140,1258,350,13,7,4,6,3,0,0,5,47,0,0,1,5,6,173,3,2,6,0,4,4,0,19,1,0,0,2,5,0,0,2,21,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0
160,1418,377,14,1,4,6,2,2,1,1,75,0,1,4,8,2,188,3,2,9,1,1,2,0,15,4,0,0,0,1,0,0,1,17,1,0,4,0,0,2,0,2,0,3,0,0,0,0,0,0
180,1580,315,8,1,4,8,1,4,1,6,8,0,1,4,5,1,181,0,0,4,2,3,0,0,41,0,0,0,3,5,0,0,0,13,0,0,6,0,3,1,0,1,0,0,0,0,0,0,0,0
