"sample.depths","sample.ages","Alnus","Amaranthaceae","Ambrosia","Apiaceae","Arecaceae","Aster","Asteraceae.undiff.","Bursera.simaruba","Carya","Casuarina","Celtis","Cephalanthus","Cladium","Cupressaceae.Taxaceae","Cyperaceae.undiff.","Ericaceae","Euphorbiaceae","Fabaceae.undiff.","Fraxinus","Hippocratea","Ilex","Indeterminable","Iva","Juglans","Justicia","Liquidambar","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Onagraceae","Osmunda.regalis","Ostrya.Carpinus","Pinus","Poaceae","Polygonaceae","Pteris.bahamensis","Quercus","Sagittaria","Salix","Sophora","Typha","Ulmus","Unknown..monolete.","Unknown..tricolpate.","Unknown..tricolporate.","Unknown..trilete.","Unknown..triporate.","Utricularia"
1,-38,0,90,38,2,0,22,2,0,4,14,0,78,76,0,4,0,0,12,0,2,0,14,2,0,0,0,58,0,2,20,0,0,12,0,62,26,4,0,22,34,4,0,2,0,2,0,0,22,8,2
3,-24,0,54,14,4,0,6,8,0,0,18,0,82,204,2,4,0,0,4,0,0,0,10,0,0,6,0,22,0,0,16,0,0,44,0,60,10,6,0,26,62,2,0,8,0,12,0,2,14,8,2
5,-10,0,104,50,0,0,4,20,0,0,4,4,8,114,2,10,0,0,4,0,0,2,14,2,0,0,0,22,2,0,16,0,0,20,0,82,14,2,2,18,72,2,0,18,0,14,0,4,4,12,4
7,3,0,80,18,0,0,8,24,0,0,4,0,0,62,2,8,0,0,0,2,0,2,10,0,0,0,0,8,2,0,8,0,0,16,0,68,4,4,0,10,60,2,0,2,2,12,2,0,2,12,2
9,17,0,280,34,0,0,22,12,0,0,0,0,0,30,0,12,0,0,0,0,0,0,14,0,0,0,0,86,2,0,4,0,0,24,0,72,8,8,0,4,18,0,0,4,0,10,0,0,6,12,0
11,30,0,272,14,0,2,22,8,0,0,0,0,0,18,0,12,2,0,0,0,0,2,8,0,0,0,0,128,0,0,22,2,0,22,0,86,14,6,0,4,14,0,0,2,0,0,0,0,4,8,6
13,43,0,366,22,0,0,12,10,0,0,0,0,0,16,0,2,0,0,0,0,0,0,10,4,0,0,0,154,2,0,14,0,0,26,0,90,4,6,0,6,6,0,0,0,0,0,0,0,4,2,0
15,82,0,190,4,0,0,2,0,0,0,0,0,0,14,2,2,2,0,0,0,0,0,6,2,0,0,0,116,30,0,46,0,0,2,0,192,6,2,0,12,4,0,0,0,0,8,0,0,0,4,2
17,147,0,156,0,2,0,8,0,0,0,0,0,0,12,0,0,4,0,4,0,0,0,0,2,0,0,0,80,42,2,46,0,0,8,0,226,6,0,0,12,0,0,0,0,0,6,2,2,2,2,0
21,277,0,126,2,0,0,2,4,0,0,0,0,0,16,2,4,2,0,2,0,0,0,6,2,0,0,0,12,8,0,84,0,0,0,0,98,0,0,0,4,6,0,2,0,0,0,2,0,2,0,6
25,407,0,274,0,0,0,0,0,0,0,0,2,0,20,2,0,0,0,0,0,0,0,6,2,0,0,0,42,4,0,78,0,0,0,0,100,2,0,0,6,12,0,0,0,0,8,0,2,0,2,0
27,472,0,142,2,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,2,2,0,0,8,4,0,14,0,0,0,0,76,0,0,0,8,4,0,0,0,0,2,0,0,2,2,2
29,536,0,120,0,0,0,2,4,0,0,0,0,0,12,2,2,0,0,0,0,0,0,2,2,0,0,0,6,0,0,50,0,0,0,0,86,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
31,601,0,564,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,56,0,0,0,2,6,2,0,0,0,6,0,0,0,0,0
33,723,0,692,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,64,0,0,2,0,64,4,2,0,2,6,0,0,0,0,2,0,0,0,0,2
35,844,2,330,2,0,0,4,4,0,2,0,0,0,4,2,4,2,2,2,0,0,0,8,4,0,2,0,12,0,0,62,0,0,0,0,178,8,8,0,4,16,0,0,2,0,2,2,0,2,0,0
37,966,2,474,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,30,0,0,0,0,98,10,4,0,4,24,0,0,0,0,0,0,0,0,0,4
39,1087,0,490,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0,60,2,2,0,8,8,0,0,2,0,4,0,0,0,0,0
41,1209,2,286,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,6,2,0,58,0,2,0,0,254,4,2,0,6,22,0,0,0,0,0,0,0,10,0,2
43,1330,0,300,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,10,0,0,46,0,2,0,0,218,0,0,0,6,18,0,0,0,0,0,0,0,4,0,4
45,1451,0,242,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,50,0,0,0,2,214,8,24,0,10,10,0,0,0,0,12,0,0,0,0,0
51,1816,0,232,0,0,0,0,0,0,2,0,0,0,52,0,0,2,0,0,0,0,0,10,0,0,0,0,12,0,0,50,0,0,0,0,262,2,2,0,6,6,0,0,0,2,10,0,0,0,0,2
55,2013,0,190,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,2,0,0,0,4,2,0,0,0,10,0,0,38,0,0,0,0,210,2,4,0,10,16,0,2,0,2,0,0,0,0,0,0
61,2309,2,242,0,0,0,0,0,2,2,0,0,0,30,2,0,0,0,0,0,0,0,4,2,0,0,2,20,0,0,60,0,0,0,0,224,0,4,0,8,14,0,0,0,0,0,0,0,2,0,0
65,2506,2,90,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,2,0,0,0,4,0,0,68,0,0,0,0,230,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0
70,NA,2,172,0,0,0,0,2,0,0,0,0,0,42,0,0,0,0,0,0,0,0,6,2,0,0,0,6,0,0,106,0,0,0,0,286,2,0,0,4,12,2,0,2,0,0,0,0,0,0,2
