"sample.depths","sample.ages","upland.sum","Acer.saccharinum.type","Artemisia","Betula","Corylus","Cyperaceae","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Poaceae.undiff.","Iva.xanthifolia.type","Picea","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vitis","Zea.mays","Ambrosia","Ostrya.type","Amorpha","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Alnus.cf..A..incana","Thuja.type","Larix","Melilotus.type","Platanus","Urtica.type","Acer.saccharum","Ephedra.trifurca.type","Cerealia.undiff.","Dalea.purpurea","Acer.negundo","Ephedra.viridis.type","Thalictrum","Alnus.cf..A..viridis","Abies","Sarcobatus.vermiculatus","Tilia","Rosaceae.undiff.","Tsuga","Agastache.type","Apiaceae","Lilium","Rumex","Ranunculus.type","Gentiana.puberulenta.type","Polygonum.lapathifolium.type","Dalea.candida.type","Asteraceae.subf..Cichorioideae","Potentilla.type","Brassicaceae"
0,-29,323.5,1,3,16,1,44,2,1,20,1,0.5,98.5,12,27.5,5,2,3,1,1,18,1,1,4,3,46,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,62,256.5,0,6,13,1,36,0,0,15,0,0,45,4,25,1,3,3,0,1,21,1,0,17,9,45.5,5,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,98,233,0,6,10,2,27,0,0,9,0,3,71,6,13,4,1,2,0,0,14,4,0,8.5,5,35.5,6,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,134,235.5,0,5,6,2,33,2,0,16,0,1.5,84,5,9,5,3,2,0,0,7,4,0,3,0,40,2,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,200,272.5,0,5,14,5,27,2,1,14,2,2,121,0,9,2,3,0,0,0,2,3,1,9,2,28.5,13,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,355,264,0,7,11,1,22,2,0,17,0,2.5,108,3,21,2,4,2,0,0,3,6,0,14,0,20.5,10,0,1,0,0,0,0,0,0,0,2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,502,309.5,0,6,16.5,5,34.5,0,0,18,1,7.5,120.5,1,23,4,5,3,0,0,2,4,0,9,4,33.5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90,695,255.5,0,9,23,1,21.5,4,0,33,0,6.5,85.5,2,9,0,1,1,0,0,3,3,0,17,1,17.5,6,3,0,0,1,0,0,0,0,0,1,0,0,3,1.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
105,983,225.5,0,5,29,4,30.5,4,0,17,0,1.5,52,0,25,1,2,1,0,0,2,6,2,11,0,14.5,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,1464,217,0,9,16,2,35.5,0,0,37,0,3.5,49,2,12,3,9,5,0,0,4,4,1,5.5,0,3,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0
150,1848,248,0,5.5,13,5,62,1,0,65,0,0,40.5,2,10,3,9,1,0,0,2,2,0,9,2,5.5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
160,2040,203.2,0,9,12,2,68,2,0,33,2,0,25,1,13.5,2,7.5,0,0,0,2,2,2,6.7,3,2.5,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2425,230.6,0,3,12,3,86.5,3,0,35,0,1,21,0,17,2,7,2,0,0,7,8,1,4.6,2,1.5,4,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
210,NA,327.5,0,15,8,2,150.5,0,0,57,0,1.5,25.5,1,17,4,22,1,0,0,4,1,1,2.5,4,0.5,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
229,NA,379,0,24,5,0,176.5,1,0,90.5,0,0,20,5,13,5,13,0,0,0,3,1,0,1.5,6,3.5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,1
