"depth","best.age","min.age","max.age"
1,59,-27,156
20,758,650,874
30,1125,989,1265
40,1493,1322,1662
50,1861,1654,2065
60,2229,1985,2470
70,2597,2315,2876
80,2964,2643,3282
90,3332,2972,3690
100,3642,3285,3995
110,3894,3580,4201
120,4146,3868,4414
130,4398,4150,4637
140,4650,4426,4874
150,4902,4685,5126
160,5154,4938,5398
170,5406,5182,5723
180,5627,5403,5945
190,5817,5609,6104
200,6007,5811,6252
210,6197,6014,6402
220,6386,6213,6576
230,6576,6407,6756
240,6766,6595,6941
250,6956,6785,7139
260,7146,6970,7342
270,7336,7149,7548
280,7526,7326,7758
290,NA,NA,NA
300,NA,NA,NA
310,NA,NA,NA
