"sample.depths","sample.ages","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Abies","Larix","Pinus.strobus","Pinus.banksiana.P..resinosa","Pinus.undiff.","Betula.greater.than.20.microm","Betula.less.than.20.microm","Populus.undiff.","Populus.tremuloides.type","Fraxinus.nigra","Fraxinus.pennsylvanica.type","Quercus","Ulmus","Ostrya.Carpinus","Acer.undiff.","Acer.rubrum.type","Acer.negundo.type","Acer.saccharum.type","Celtis","Juglans.nigra","Juglans.cinerea","Salix","Shepherdia.canadensis","Alnus.viridis.subsp..crispa.type","Alnus.incana.type","Cornus.canadensis","Cornus.sericea.type","Corylus","Juniperus.Thuja","Ericaceae","Myrica","Tilia","Morus.rubra","Dryas","Poaceae","Ambrosia.type","Artemisia","Brasenia.schreberi","Carya","Eupatorium","Polygonum.undiff.","Polygonum.aviculare.type","Asteraceae.subf..Asteroideae.undiff.","Caryophyllaceae","Apiaceae","Brassicaceae","Chenopodiineae.undiff.","Iva.undiff.","Iva.xanthifolia","Dalea.purpurea","Platanus","Rumex","Sarcobatus.vermiculatus","Thalictrum","Urtica","Humulus","Cyperaceae.undiff.","Carex.lacustris.type","Typha.latifolia","Myriophyllum.sibiricum.type","Caltha","Equisetum","Pteridium.aquilinum","Dennstaedtia","Botrychium","Osmunda","Polypodiaceae","Selaginella","cf..Blechnum","cf..Sphagnum","Tilletia","Indeterminable","Lycopodium.spike..number.counted.","Sample.volume..ml."
1,64,26,15,63,2,1,35,63,118,23,0,8,0,0,0,10,0,1,0,0,0,0,0,0,0,3,0,4,28,0,0,4,3,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,2
17,1911,30,8,60,0,5,50,71,143,27,0,4,0,0,0,2,0,3,0,0,0,0,0,0,0,7,0,4,21,0,0,6,0,0,0,0,0,0,15,2,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,23,2
37,3078,20,13,41,0,15,69,81,146,33,1,3,0,1,0,14,3,0,0,0,0,0,0,0,0,20,0,22,30,0,0,5,2,0,0,0,0,0,11,8,8,0,0,0,0,0,7,2,0,0,15,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,10,0,0,0,0,0,0,0,0,2,54,2
57,3757,4,13,15,0,4,62,76,205,10,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,8,0,0,10,0,0,1,0,0,0,0,0,0,5,7,2,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,22,2
77,4436,10,0,8,0,2,79,91,174,39,1,6,0,0,0,14,0,6,0,0,0,0,0,0,0,16,0,5,24,2,0,9,4,0,0,0,0,0,27,16,2,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,3,2,0,0,0,0,0,0,0,0,0,0,29,2
97,5114,0,1,7,0,1,49,59,227,11,0,3,0,0,0,34,5,0,0,0,0,0,0,0,0,7,0,0,14,0,0,1,4,0,0,0,0,0,25,27,9,0,0,0,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,0,52,2
117,5793,2,5,6,0,3,41,71,235,9,0,2,0,1,0,17,5,1,0,0,0,0,0,0,0,11,0,0,12,0,0,4,4,0,0,0,0,0,12,21,7,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,1,0,0,0,3,0,4,0,3,0,1,0,0,0,1,0,0,0,0,0,41,2
137,6472,7,0,3,1,2,91,88,147,26,0,2,0,0,0,8,2,3,0,0,0,0,0,0,0,19,0,2,18,0,1,5,13,1,0,0,0,0,29,68,10,0,0,0,0,0,8,0,0,0,43,0,2,0,0,0,0,0,0,0,3,0,7,1,4,2,3,0,0,0,0,0,0,0,0,0,63,2
157,7208,7,4,9,0,1,68,84,205,23,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,9,0,1,11,0,0,2,5,1,0,0,0,0,13,32,13,0,0,0,0,0,6,0,0,0,25,0,0,0,0,0,1,0,0,0,3,0,2,0,1,9,3,0,0,0,2,0,0,0,0,0,47,2
177,7959,3,7,11,0,2,57,108,188,15,0,2,0,0,0,5,2,1,0,0,0,0,0,0,0,13,0,7,0,0,0,2,9,0,0,0,0,0,10,50,4,0,0,0,0,0,12,1,0,0,37,0,0,0,0,0,0,0,0,0,2,0,3,0,1,1,0,0,0,0,3,0,0,0,0,0,54,2
