"sample.depths","sample.ages","Artemisia","Betula","Carya","Corylus","Cyperaceae","Fraxinus.nigra.type","Juglans.cinerea","Ostrya.Carpinus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Salix","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Alnus","Ambrosia","Rosaceae.undiff.","Poaceae","Pinus.strobus","Chenopodium.type","Pinus.banksiana.P..resinosa","Cupressaceae","Fraxinus.pennsylvanica.type","Tilia","Acer.saccharum","Amorpha.canescens","Acer.rubrum","Vitis","Iva.annua","Brassicaceae","Larix","Picea","Dalea.purpurea","Iva.xanthifolia","Acer.saccharinum","Lycopus.type","Morus","Populus.balsamifera.type","Potentilla.type","Rumex","Urtica.type","cf..Ceanothus","Apiaceae","Ranunculaceae.undiff.","Thalictrum","cf..Lysimachia.thyrsiflora","Juglans.nigra","Celtis","Humulus.Cannabis.sativa","Plantago","Ericaceae","Abies","Ephedra","Euphorbia","Xanthium","Tidestromia","Hydrophyllum"
850,NA,0.0256410256410256,0.0923076923076923,0.00512820512820513,0.0307692307692308,0.0512820512820513,0.0153846153846154,0.00512820512820513,0.0307692307692308,0.230769230769231,0.00512820512820513,0.0205128205128205,0.107692307692308,0.0153846153846154,0.0102564102564103,0.0358974358974359,0.082051282051282,0.0153846153846154,0.00512820512820513,0.0769230769230769,0.0769230769230769,0.0102564102564103,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,NA,0.0377358490566038,0.0679245283018868,0,0.0188679245283019,0.0264150943396226,0.0150943396226415,0,0.0226415094339623,0.245283018867925,0,0,0.10188679245283,0.00754716981132075,0.0113207547169811,0.0226415094339623,0.116981132075472,0.0188679245283019,0,0.0830188679245283,0.0830188679245283,0.0150943396226415,0.079245283018868,0.00377358490566038,0.00377358490566038,0.00377358490566038,0.00377358490566038,0.0113207547169811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,NA,0.0442176870748299,0.0578231292517007,0,0.0102040816326531,0.0476190476190476,0.0102040816326531,0,0.0204081632653061,0.299319727891156,0,0.0238095238095238,0.0986394557823129,0,0.0102040816326531,0.0204081632653061,0.0850340136054422,0.00680272108843537,0.0102040816326531,0.0782312925170068,0.0884353741496599,0.0102040816326531,0.0612244897959184,0,0,0,0,0.00340136054421769,0.00340136054421769,0.00340136054421769,0.00340136054421769,0.00340136054421769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
865,5910,0.0328767123287671,0.0383561643835616,0.00273972602739726,0.00273972602739726,0.0465753424657534,0.010958904109589,0,0.0328767123287671,0.26027397260274,0.00273972602739726,0.0301369863013699,0.16986301369863,0.00547945205479452,0.010958904109589,0.0246575342465753,0.0712328767123288,0.0356164383561644,0.00547945205479452,0.0821917808219178,0.0712328767123288,0.0136986301369863,0.0301369863013699,0,0,0.00273972602739726,0.00273972602739726,0,0,0,0,0,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0.00273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
870,6028,0.0195694716242661,0.0391389432485323,0,0.00195694716242661,0.0645792563600783,0.0136986301369863,0.00195694716242661,0.025440313111546,0.330724070450098,0,0.00978473581213307,0.136986301369863,0.00587084148727984,0.00782778864970646,0.0136986301369863,0.060665362035225,0.0313111545988258,0.00195694716242661,0.0665362035225049,0.0528375733855186,0.0195694716242661,0.0567514677103718,0.00391389432485323,0,0.00391389432485323,0.00195694716242661,0.00195694716242661,0,0.00195694716242661,0.00195694716242661,0,0.00782778864970646,0,0,0.00195694716242661,0,0.00195694716242661,0.00195694716242661,0.00195694716242661,0.00195694716242661,0.00195694716242661,0.00195694716242661,0.00195694716242661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,6076,0.0364372469635627,0.0728744939271255,0,0.00809716599190283,0.0323886639676113,0.00809716599190283,0,0.0242914979757085,0.226720647773279,0,0.0323886639676113,0.178137651821862,0.00809716599190283,0.0161943319838057,0.00809716599190283,0.101214574898785,0.0283400809716599,0,0.0566801619433198,0.0445344129554656,0.0323886639676113,0.0607287449392713,0,0,0,0,0,0.00404858299595142,0,0,0,0.00404858299595142,0.00404858299595142,0,0,0.00404858299595142,0,0,0,0,0,0,0,0.00809716599190283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
875,6147,0.0329457364341085,0.0465116279069767,0,0.00968992248062015,0.0368217054263566,0.0174418604651163,0.00193798449612403,0.0116279069767442,0.317829457364341,0.00581395348837209,0.0232558139534884,0.114341085271318,0.00775193798449612,0.00775193798449612,0.0193798449612403,0.0813953488372093,0.0155038759689922,0.00387596899224806,0.0736434108527132,0.062015503875969,0.0116279069767442,0.0697674418604651,0,0,0,0.00387596899224806,0.00387596899224806,0,0,0,0,0.00193798449612403,0.00387596899224806,0,0,0.00193798449612403,0.00193798449612403,0,0,0,0.00193798449612403,0,0,0.00193798449612403,0.00193798449612403,0.00387596899224806,0.00193798449612403,0,0,0,0,0,0,0,0,0,0,0
877,6194,0.0263157894736842,0.0150375939849624,0,0.0037593984962406,0.0263157894736842,0.0150375939849624,0,0.0112781954887218,0.342105263157895,0,0.0112781954887218,0.139097744360902,0.0037593984962406,0.0150375939849624,0.018796992481203,0.0676691729323308,0.018796992481203,0,0.0977443609022556,0.0601503759398496,0.0150375939849624,0.0902255639097744,0.0037593984962406,0,0,0.0075187969924812,0.0037593984962406,0,0,0,0,0.0037593984962406,0,0,0,0,0,0,0,0,0,0,0.0037593984962406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,6265,0.0271317829457364,0.0426356589147287,0,0.00775193798449612,0.0232558139534884,0.0116279069767442,0,0.0232558139534884,0.251937984496124,0.00387596899224806,0.0348837209302326,0.127906976744186,0.00387596899224806,0.00775193798449612,0.0155038759689922,0.0813953488372093,0.0348837209302326,0.00387596899224806,0.108527131782946,0.0697674418604651,0.0348837209302326,0.0697674418604651,0,0.00387596899224806,0,0.00775193798449612,0,0,0,0,0,0,0,0,0,0,0,0,0.00387596899224806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,6313,0.0473186119873817,0.0347003154574132,0,0.00315457413249211,0.0378548895899054,0.00315457413249211,0,0.0157728706624606,0.290220820189274,0,0.0252365930599369,0.1198738170347,0.0126182965299685,0.00946372239747634,0.0189274447949527,0.0662460567823344,0.0378548895899054,0.00315457413249211,0.100946372239748,0.056782334384858,0.0189274447949527,0.0914826498422713,0,0,0,0,0.00315457413249211,0,0,0.00315457413249211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,6384,0.0386178861788618,0.0426829268292683,0.00203252032520325,0.0040650406504065,0.0304878048780488,0.0101626016260163,0,0.0182926829268293,0.313008130081301,0,0.0223577235772358,0.097560975609756,0.008130081300813,0.0101626016260163,0.024390243902439,0.08130081300813,0.0365853658536585,0,0.0792682926829268,0.056910569105691,0.0101626016260163,0.0853658536585366,0.00203252032520325,0.008130081300813,0,0.008130081300813,0.0040650406504065,0.00203252032520325,0,0,0,0.00203252032520325,0,0,0,0,0,0.00203252032520325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,6431,0.0571428571428571,0.0222222222222222,0,0.00317460317460317,0.053968253968254,0.00317460317460317,0,0.0380952380952381,0.358730158730159,0,0.0222222222222222,0.0476190476190476,0.00952380952380952,0.0126984126984127,0.0380952380952381,0.0349206349206349,0.0253968253968254,0.00317460317460317,0.0666666666666667,0.0634920634920635,0.019047619047619,0.0984126984126984,0,0.00634920634920635,0.00317460317460317,0,0,0,0,0,0,0.00317460317460317,0.00317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0.00317460317460317,0,0.00317460317460317,0,0,0,0,0,0,0,0,0,0
890,6502,0.0308641975308642,0.0308641975308642,0.00308641975308642,0,0.0524691358024691,0.0123456790123457,0,0.0246913580246914,0.348765432098765,0,0.0246913580246914,0.0895061728395062,0.00617283950617284,0.00925925925925926,0.00925925925925926,0.0401234567901235,0.0277777777777778,0.00308641975308642,0.0648148148148148,0.0925925925925926,0.0185185185185185,0.0987654320987654,0.00308641975308642,0.00308641975308642,0.00308641975308642,0.00308641975308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
892,6549,0.0527859237536657,0.032258064516129,0,0.00293255131964809,0.0263929618768328,0.00586510263929619,0,0.0175953079178886,0.348973607038123,0,0.0205278592375367,0.0762463343108504,0.00586510263929619,0.00586510263929619,0.0234604105571848,0.032258064516129,0.0205278592375367,0,0.0703812316715543,0.0762463343108504,0.0117302052785924,0.155425219941349,0,0.00293255131964809,0.00293255131964809,0.00293255131964809,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00293255131964809,0,0,0,0,0,0,0,0,0,0,0,0
895,6620,0.0815217391304348,0.0416666666666667,0.00181159420289855,0.0072463768115942,0.0199275362318841,0.0036231884057971,0,0.0380434782608696,0.289855072463768,0,0.0181159420289855,0.072463768115942,0.0126811594202899,0.0108695652173913,0.0326086956521739,0.0452898550724638,0.036231884057971,0,0.0652173913043478,0.0652173913043478,0.0072463768115942,0.126811594202899,0,0,0,0.00543478260869565,0,0,0.0036231884057971,0,0,0.00181159420289855,0,0,0.00181159420289855,0,0.00181159420289855,0,0,0,0,0.00181159420289855,0,0,0,0,0,0.00181159420289855,0.00181159420289855,0.0036231884057971,0,0,0,0,0,0,0,0
898,6691,0.0427350427350427,0.0213675213675214,0,0.00854700854700855,0.0299145299145299,0.0128205128205128,0,0.0341880341880342,0.346153846153846,0,0.0341880341880342,0.106837606837607,0.00854700854700855,0.00427350427350427,0.0341880341880342,0.0256410256410256,0.0170940170940171,0,0.111111111111111,0.0512820512820513,0.0170940170940171,0.0683760683760684,0,0,0.00427350427350427,0.00427350427350427,0,0,0.00427350427350427,0,0.00427350427350427,0,0.00427350427350427,0,0,0,0,0,0,0,0,0.00427350427350427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,6786,0.0361990950226244,0.0316742081447964,0,0.00904977375565611,0.0180995475113122,0.0271493212669683,0,0.0452488687782805,0.343891402714932,0,0,0.122171945701357,0,0.0135746606334842,0.0180995475113122,0.0769230769230769,0.0407239819004525,0,0.0361990950226244,0.0678733031674208,0.0316742081447964,0.0542986425339367,0.00452488687782805,0.00452488687782805,0,0.0135746606334842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0
906,6881,0.0325581395348837,0.0418604651162791,0.00465116279069767,0.00930232558139535,0.013953488372093,0.0186046511627907,0,0.0558139534883721,0.33953488372093,0,0.0418604651162791,0.0976744186046512,0.00465116279069767,0.00465116279069767,0.0232558139534884,0.0325581395348837,0.0186046511627907,0,0.0697674418604651,0.0604651162790698,0.0232558139534884,0.0744186046511628,0.00465116279069767,0,0.00465116279069767,0.00930232558139535,0.00465116279069767,0,0,0,0,0,0.00465116279069767,0,0,0,0,0.00465116279069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,6976,0.0333333333333333,0.0375,0.00416666666666667,0.0208333333333333,0.0583333333333333,0.00416666666666667,0,0.0208333333333333,0.333333333333333,0,0.0125,0.141666666666667,0.0125,0.0125,0.0166666666666667,0.0458333333333333,0.0333333333333333,0.00416666666666667,0.0541666666666667,0.025,0.0333333333333333,0.0791666666666667,0,0,0,0,0.00416666666666667,0,0,0.00416666666666667,0.00416666666666667,0,0.00416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
