"depth","best.age","min.age","max.age"
220,8199,8108,8302
240,8950,8849,9061
260,9700,9591,9821
280,10450,10333,10580
300,10671,10534,10804
320,10832,10633,11032
340,10994,10710,11284
360,11156,10773,11539
370,11237,10804,11667
375,11277,10968,11579
380,11318,11068,11566
385,11359,11056,11665
390,11421,11242,11631
395,11495,11303,11735
400,11571,11388,11786
405,11647,11469,11853
410,11723,11548,11924
420,11875,11693,12072
425,11951,11755,12144
430,12027,11813,12218
435,12103,11869,12297
440,12179,11923,12379
445,12255,11975,12466
450,12331,12026,12556
455,12407,12076,12648
460,12483,12110,12738
465,12566,12172,12834
470,12702,12382,12933
475,12838,12575,13039
480,12974,12762,13155
485,13111,12933,13281
490,13247,13084,13419
495,13383,13210,13567
500,13519,13323,13726
505,13601,13416,13791
510,13682,13495,13878
515,13763,13563,13983
520,13844,13630,14107
525,13926,13694,14242
530,14007,13751,14382
535,14088,13796,14533
540,14170,13838,14681
545,14251,13880,14824
550,NA,NA,NA
