"sample.depths","sample.ages","upland.sum","Acer.saccharum.type","Acer.negundo","Acer.saccharinum.type","Alnus.incana.type","Alnus.viridis.type","Alnus.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Corylus","Cupressaceae","Cyperaceae","Euphorbia","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Poaceae.undiff.","Iva.xanthifolia.type","Larix","Melilotus.type","Morus","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.balsamifera.type","Populus.tremuloides.type","Quercus","Rumex","Salix","Salsola","Tilia","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Urtica.type","Vitis","Rosaceae.undiff.","Avena.type","Brassica","Cannabis.sativa.type","Plantago","Trifolium.repens.type","Triticum.type","Abies","Acer.rubrum","Impatiens","Juglans.cinerea","Zea.mays","Lythrum","Medicago","Trifolium.pratense","Iva.annua.type","Brassicaceae.undiff.","Asteraceae.subf..Cichorioideae","Sambucus","Thalictrum","Xanthium","Campanula.rotundifolia.type","Celtis","Ephedra.viridis.type","Humulus.type","Juglans.nigra","Liquidambar","Polygonum.lapathifolium.type","Tsuga","Apiaceae","Secale.type","Amorpha.type","Zanthoxylum.type","Castanea","Rhus","Fagus","Sarcobatus.vermiculatus","Ceanothus","Hydrophyllum","Lysimachia.thyrsiflora","Galium","Maclura.pomifera.type","Dalea.candida.type","Pedicularis","Ranunculaceae.undiff.","Tidestromia.type","Viburnum.rafinesquianum.type","Solanum.rostratum","Laportea.type","Ephedra.trifurca.type","Phlox","Comandra","Caryophyllaceae","Lilium.philadelphicum.type","Lycopus.type","Hypoxis","Dalea.purpurea.type","Anemone.quinquefolia.type","Campanula.aparinoides.type","Fabaceae.undiff.","Sisyrinchium","Stachys.type","Myricaceae","Parietaria","Zigadenus","Lysimachia.quadriflora.type","Pilea.type","Cornus.sericea.type","Polygonum.amphibium","Viburnum.opulus.type","Eriogonum","Shepherdia.argentea","Allium","Anemone.canadensis.type","Amelanchier.type","Nyssa","Ranunculaceae..tricolpate..undiff.","Populus.undiff.","Shepherdia.canadensis","Ribes","Ericaceae","Epilobium"
650,-26,1595,52,18,6,12,4,2,166,24,20,4,24,2,32,50,2,20,30,2,212,2,2,2,6,56,15,26,6,22,4,10,28,452,2,32,4,30,18,154,12,6,2,4,2,4,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,-6,1721,32,12,6,14,0,0,224,24,30,8,30,4,36,82,0,10,10,8,376,2,2,2,4,50,7,4,13,36,4,0,16,356,0,42,4,20,36,138,12,6,4,0,4,2,2,18,6,1,2,2,2,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,8,1165,16,8,6,8,0,0,218,12,8,2,34,4,20,48,0,12,8,2,218,4,0,2,4,38,7,7,19,12,2,0,12,240,2,4,4,20,26,76,10,2,2,4,6,12,2,2,0,0,0,0,0,6,0,0,0,2,4,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,27,1761,61,18,0,6,0,0,200,34,28,8,12,2,32,86,0,8,32,10,346,6,2,0,10,82,5,8,16,28,0,4,10,528,6,10,14,8,16,64,10,0,2,4,0,8,0,8,0,0,2,2,0,0,0,2,0,0,4,0,0,2,0,0,2,2,2,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,49,1519,32,2,4,18,0,0,206,26,22,4,38,6,12,112,0,6,22,6,330,2,0,0,0,48,9,22,19,30,0,0,18,346,6,10,6,30,20,60,8,2,6,0,0,0,0,8,4,3,0,0,0,2,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,79,1201,30,2,0,10,0,0,158,14,20,6,24,8,6,48,0,12,14,8,192,2,4,0,2,78,2,11,12,18,2,0,10,278,2,38,2,8,26,72,10,4,4,2,0,0,2,20,10,0,0,4,2,4,0,0,4,2,2,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,103,1446,36,4,0,16,4,0,58,26,32,8,24,8,24,106,0,18,12,8,254,0,2,0,2,132,13,11,13,19,2,0,42,344,0,36,0,20,36,82,4,0,4,2,0,0,0,0,6,0,6,0,2,8,0,0,0,4,0,2,0,4,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,116,1624,59,10,0,12,4,0,50,38,60,8,18,22,20,130,0,10,8,0,256,0,4,0,4,176,3,16,26,26,2,0,20,456,0,32,0,22,26,66,6,0,4,2,0,0,2,0,2,0,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,145,1708,70,2,2,8,0,0,30,28,22,10,18,8,42,88,0,12,10,4,172,0,12,0,0,274,4,10,32,40,8,0,26,508,2,18,0,40,20,138,22,2,2,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
730,176,1679,14,4,0,18,2,0,22,42,44,4,14,18,12,130,0,8,20,0,156,0,4,0,0,268,13,28,28,46,0,18,34,530,0,6,0,54,24,98,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
738,211,1870,12,4,0,24,2,0,24,40,66,10,6,16,62,120,0,16,10,0,166,0,4,0,0,336,3,17,29,43,6,0,48,548,0,8,0,54,22,132,8,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,0,0,0,0,0,4,0,0,2,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
