"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Fagus","Fraxinus..tetracolpate.","Fraxinus..tricolpate.","Juglans.cinerea","Larix","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Populus","Amaranthaceae","Poaceae","Ericaceae","Asteraceae.subf..Asteroideae.undiff.","Myrica","Herbs.undiff.","Pinus.undiff.","Juglans.nigra","Liquidambar","Ephedra","Rosaceae.undiff.","Potentilla.type","Polygonum","Shepherdia","Elaeagnus"
1,120,508,6,11,3,28,1,90,3,3,5,10,20,1,1,1,1,3,24,89,122,1,22,1,2,1,24,8,10,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0
5,199,508,5,13,0,31,4,115,1,0,2,4,18,1,0,0,1,4,22,57,128,1,20,8,1,1,25,5,13,0,3,19,5,1,0,0,0,0,0,0,0,0,0,0,0
10,298,533,4,14,0,16,1,101,1,0,4,2,30,1,1,0,0,7,12,102,146,1,33,3,0,2,14,9,16,0,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0
15,398,533,5,12,0,3,3,112,1,0,7,6,16,0,0,0,1,5,20,83,202,2,11,0,1,1,23,5,7,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0
23,556,540,3,7,0,10,5,72,1,1,9,3,5,2,1,1,1,3,8,158,186,1,34,0,0,1,3,10,8,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
101.5,2113,569,3,8,0,2,4,88,1,1,5,2,12,1,1,0,1,6,8,39,33,1,29,0,1,1,14,3,9,0,4,3,2,2,0,0,285,0,0,0,0,0,0,0,0
104.5,2172,543,2,7,2,2,7,96,0,1,4,4,11,1,4,0,0,10,5,23,41,1,21,0,1,0,15,6,15,0,2,2,0,1,1,0,258,0,0,0,0,0,0,0,0
110.5,2412,798,12,10,3,10,4,129,1,6,1,6,11,1,6,0,3,13,20,63,66,2,46,0,2,1,8,10,19,0,1,8,1,4,0,0,331,0,0,0,0,0,0,0,0
114.5,2685,686,2,7,0,5,7,103,2,2,6,2,15,1,1,0,0,6,16,47,50,1,34,0,0,1,21,15,14,0,0,2,0,2,0,1,323,0,0,0,0,0,0,0,0
119.5,3026,528,2,6,0,6,3,98,1,0,5,4,5,3,1,1,1,4,7,43,56,2,19,0,0,0,12,4,10,0,0,5,0,0,0,1,229,0,0,0,0,0,0,0,0
124.5,3367,855,2,13,1,7,10,132,2,3,10,0,6,3,9,2,1,12,9,86,82,0,43,0,0,1,9,12,24,0,1,3,0,3,0,0,369,0,0,0,0,0,0,0,0
129.5,3708,522,3,6,0,0,6,60,2,0,20,6,1,1,2,0,3,6,9,54,62,2,34,0,1,0,3,11,14,0,0,4,0,2,0,0,210,0,0,0,0,0,0,0,0
134.5,4049,920,7,14,0,12,11,116,2,2,6,6,6,0,5,0,2,16,13,66,75,2,42,0,0,1,11,8,28,0,1,11,0,0,0,0,457,0,0,0,0,0,0,0,0
139.5,4390,559,4,7,1,5,3,37,1,2,16,3,4,0,3,1,3,13,8,45,59,0,32,0,0,1,9,12,12,0,0,10,0,2,0,0,266,0,0,0,0,0,0,0,0
144.5,4730,848,1,5,1,13,7,79,3,4,3,11,2,0,5,0,2,13,7,44,75,3,48,0,1,1,26,20,20,0,3,16,0,4,0,0,431,0,0,0,0,0,0,0,0
149.5,5071,599,1,5,2,14,12,33,1,0,8,1,1,0,2,1,2,7,5,35,53,0,40,0,1,0,24,6,7,0,0,11,0,1,0,0,326,0,0,0,0,0,0,0,0
154.5,5412,841,2,3,0,16,6,38,1,3,9,11,5,1,5,1,2,13,10,74,110,1,50,0,0,0,43,20,11,0,1,7,0,4,0,0,394,0,0,0,0,0,0,0,0
159.5,5753,552,0,1,1,6,2,18,2,2,9,5,1,0,1,0,1,12,5,86,67,1,32,0,0,0,8,6,6,0,3,4,0,0,0,0,273,0,0,0,0,0,0,0,0
164.5,5919,975,2,7,0,9,2,53,1,1,1,2,1,1,7,1,3,16,5,63,121,1,57,0,2,0,8,26,15,0,3,7,0,2,0,1,557,0,0,0,0,0,0,0,0
174.5,6212,973,0,6,0,11,7,43,4,3,5,9,2,1,3,1,2,21,7,71,112,2,49,0,1,0,6,14,13,0,2,7,0,1,0,0,570,0,0,0,0,0,0,0,0
184.5,6505,795,4,2,1,7,9,38,0,3,1,13,0,0,3,1,0,17,4,78,107,2,44,0,1,1,1,13,13,0,3,5,0,2,0,0,420,1,1,0,0,0,0,0,0
193.5,6768,603,2,4,0,6,5,23,2,3,6,8,0,1,3,0,1,15,2,46,77,2,33,0,0,0,1,12,8,0,1,6,0,0,0,0,336,0,0,0,0,0,0,0,0
201.5,7002,577,1,2,0,8,6,26,0,1,5,4,3,2,0,0,0,7,2,36,89,0,25,0,0,0,1,17,4,0,1,9,0,0,0,0,328,0,0,0,0,0,0,0,0
209.5,7237,962,7,3,0,13,11,45,1,3,7,6,1,1,9,1,2,26,6,41,97,1,45,0,4,0,0,30,7,0,8,4,0,4,0,3,575,0,0,1,0,0,0,0,0
219.5,7529,831,2,3,0,22,4,57,0,2,1,4,0,1,4,1,0,15,9,40,86,1,26,0,1,0,0,14,12,0,9,9,0,2,0,0,506,0,0,0,0,0,0,0,0
229.5,7761,630,3,1,0,8,4,30,1,1,3,2,0,1,1,1,2,7,4,85,81,0,15,0,0,0,0,18,6,0,1,4,0,1,0,0,350,0,0,0,0,0,0,0,0
239.5,7989,992,9,2,0,20,5,89,2,3,4,9,0,0,2,1,3,23,14,71,69,1,25,0,0,1,0,34,5,0,6,5,0,1,0,0,588,0,0,0,0,0,0,0,0
249.5,8217,801,8,3,0,9,6,82,0,3,0,13,1,0,7,1,1,25,15,83,41,4,26,0,1,1,0,16,9,0,5,5,0,4,0,0,432,0,0,0,0,0,0,0,0
259.5,8446,847,10,2,0,11,2,79,1,2,1,5,0,0,4,1,2,15,20,169,40,2,29,0,1,1,0,5,8,0,4,5,0,2,0,2,424,0,0,0,0,0,0,0,0
269.5,8674,547,4,0,0,11,10,42,2,2,0,7,0,1,5,1,0,11,18,50,12,0,23,0,3,0,1,6,11,0,6,6,0,0,0,0,315,0,0,0,0,0,0,0,0
275.5,8916,632,6,0,0,17,17,38,0,0,0,5,0,2,2,1,0,9,18,125,11,0,25,0,2,1,0,15,4,0,8,7,0,1,0,0,317,0,0,0,1,0,0,0,0
279.5,9848,576,4,3,0,9,6,31,0,0,1,4,0,1,3,0,0,6,13,96,11,1,15,0,3,0,0,13,7,3,3,5,0,0,0,3,335,0,0,0,0,0,0,0,0
284.5,11014,683,6,0,0,6,4,31,2,0,1,5,0,1,0,0,4,5,23,93,4,1,30,0,1,1,1,13,5,0,1,2,0,1,0,0,442,0,0,0,0,0,0,0,0
289.5,11067,571,6,2,0,7,10,24,2,2,0,2,0,0,3,1,2,10,28,109,2,0,23,0,0,0,0,9,1,0,1,7,0,0,0,0,320,0,0,0,0,0,0,0,0
304.5,11229,619,4,2,0,2,9,24,4,0,0,5,0,1,2,1,2,14,31,106,2,1,24,0,3,0,0,26,1,0,3,15,0,0,0,0,337,0,0,0,0,0,0,0,0
309.5,11282,602,2,1,0,5,11,22,2,1,0,13,0,0,5,0,2,17,29,140,6,0,34,0,1,0,0,12,2,0,6,3,0,0,0,0,287,0,0,0,0,1,0,0,0
314.5,11336,918,3,1,0,7,15,18,5,3,0,9,0,0,4,2,3,10,45,170,8,0,53,0,3,0,0,18,1,0,1,3,0,0,0,0,536,0,0,0,0,0,0,0,0
319.5,11390,717,1,1,0,4,20,13,2,1,0,7,0,0,5,1,2,10,42,142,5,0,17,0,2,0,0,17,2,1,1,3,0,3,0,0,414,0,0,0,0,1,0,0,0
324.5,11444,546,3,2,0,8,32,10,2,2,2,15,0,1,5,3,2,19,91,56,3,3,49,0,4,0,0,17,0,1,2,3,0,1,0,0,209,0,0,0,0,0,1,0,0
329.5,11497,838,5,2,0,10,44,27,10,0,0,8,0,0,20,12,5,19,297,73,2,0,69,0,4,0,0,17,3,0,3,5,0,6,0,0,186,0,0,1,0,0,2,8,0
334.5,11551,623,1,0,0,15,39,10,5,3,1,12,0,1,8,4,2,12,182,89,4,0,68,0,4,0,0,33,0,0,2,2,0,1,0,3,107,0,0,0,0,0,15,0,0
339.5,NA,623,2,2,0,6,35,24,4,4,0,11,0,0,9,5,6,30,151,154,3,0,40,0,4,1,0,28,1,6,3,7,0,3,0,1,82,0,0,0,0,0,0,0,1
