"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum.type","Acer.spicatum","Acer.undiff.","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Amorpha.type","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Athyrium","Betula","Brasenia.schreberi","Caltha","Cannabaceae","Carya","Caryophyllaceae","Castanea","Celtis","Comptonia.peregrina","Cornus","Corylus","Cyperaceae","Dalea","Dryopteris.type","Ephedra","Equisetum","Fabaceae.undiff.","Fagus","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Fraxinus.undiff.","Galium","Huperzia.selago","Hydrophyllum","Hypericum","Ilex","Indeterminable","Isoëtes","Iva.annua.type","Iva.xanthifolia.type","Juglans.cinerea","Juglans.nigra","Juglans.undiff.","Juniperus.Thuja","Lamiaceae","Laportea.type","Larix","Ledum.Chamaedaphne.calyculata","Liliaceae","Lycopodium.annotinum","Lycopodium.clavatum","Morus","Myrica","Myriophyllum","Nuphar","Nymphaea","Nyssa","Osmunda","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Plantago.major","Platanus","Poaceae.undiff.","Polygonum","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potentilla.type","Pteridium.type","Pteridophyta.undiff.","Quercus","Ranunculus","Rhamnaceae","Rosaceae.undiff.","Rubus","Salix","Sambucus","Sarcobatus.vermiculatus","Sarracenia","Saxifragaceae","Shepherdia","Sparganium.type","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Urtica.type","Utricularia","Vaccinium","Valeriana","Vitis","Xanthium","Zea.mays"
0,-85,3,1,8,0,0,16,0,0,14,0,0,1,1,0,0,99,0,0,0,1,0,0,1,0,0,1,5,0,0,0,2,0,1,4,0,0,0,0,0,0,1,11,2,0,6,0,0,0,5,0,0,6,0,0,0,0,0,0,0,1,0,1,0,2,1,4,67,21,0,2,9,1,0,13,1,0,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,9,2,0,0,1,0,1,0,0
40,9,9,1,4,0,0,15,0,2,23,0,0,2,2,0,1,164,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,5,0,0,5,0,0,0,2,1,1,0,1,1,1,0,2,1,2,59,48,0,1,6,0,0,1,1,0,0,6,15,0,0,0,0,1,0,0,0,0,0,0,0,1,1,87,0,8,1,1,0,0,0,0,0,0
60,64,3,1,5,0,0,14,0,3,20,1,0,1,3,1,1,128,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,7,3,0,0,1,0,0,1,11,5,0,2,0,0,0,5,0,0,6,0,0,1,0,0,0,1,0,0,2,1,5,5,7,60,38,1,1,12,0,0,8,0,0,2,7,28,0,0,0,0,1,0,0,0,0,1,5,0,1,1,56,2,12,0,1,0,0,0,0,0,1
100,188,3,3,4,0,1,8,0,4,4,0,0,1,1,0,0,84,0,0,0,2,0,0,0,2,1,3,3,0,0,0,6,0,0,3,0,0,0,2,0,0,1,10,4,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,5,3,2,3,56,54,0,0,9,0,0,3,0,0,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65,0,1,0,0,0,0,0,0,0,0
160,412,1,0,3,0,0,7,0,3,3,0,0,5,2,0,0,103,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,1,2,2,7,22,63,0,0,4,0,0,1,3,1,6,4,21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,58,0,5,0,0,0,0,0,0,0,0
200,587,1,0,6,0,0,10,0,0,3,0,0,3,0,0,0,76,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,6,67,33,0,1,7,0,0,2,2,0,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,0,6,0,0,0,0,0,0,0,0
240,781,1,0,5,0,0,8,0,0,1,0,0,9,4,0,0,100,0,0,0,2,0,0,0,0,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,5,3,9,42,64,0,0,3,0,0,0,0,0,2,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,9,0,0,0,0,0,0,0,0
260,886,3,0,2,0,0,7,0,1,2,0,0,5,2,0,0,99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,1,0,0,1,5,0,2,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,1,10,63,48,0,0,3,0,0,6,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1,11,0,0,0,0,0,0,0,0
300,1110,4,2,6,0,0,17,0,1,6,0,0,6,2,0,1,81,0,0,0,1,0,0,1,0,0,1,3,2,1,0,7,0,0,5,1,0,0,0,1,0,0,10,3,0,1,1,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,2,3,3,7,91,43,0,1,4,0,0,6,1,0,2,2,21,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,5,2,0,0,0,0,0,0,0
380,1620,2,0,3,0,0,7,0,0,0,0,0,2,1,0,0,79,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,1,3,2,7,102,75,0,1,9,0,0,4,0,0,3,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,6,0,0,0,0,0,0,0,0
