"sample.depths","sample.ages","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Ilex","Iva.xanthifolia.type","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Juniperus.Thuja","Polygonum","Amaranthaceae.undiff.","Fabaceae.undiff.","Morus","Salix","Thalictrum","Tilia","Urtica.type","Myrica","Comptonia.peregrina","Amorpha.type","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Plantago.major","Zea.mays","Shepherdia","Acer.undiff.","Juglans.cinerea","Cornus","Potentilla.type","Iva.annua.type","Castanea","Hydrophyllum","Sambucus","Dalea","Ranunculus","Liliaceae","Fraxinus.undiff.","Ledum.Chamaedaphne.calyculata","Lamiaceae","Juglans.nigra","Cannabaceae","Galium","Juglans.undiff.","Ephedra","Rhamnaceae","Rubus","Hypericum","Sarcobatus.vermiculatus","Alnus.viridis.type","Acer.spicatum","Laportea.type","Apiaceae","Saxifragaceae","Valeriana","Populus.balsamifera.type","Rosaceae.undiff.","Caryophyllaceae","Xanthium"
0,-85,0.00835654596100279,0.0222841225626741,0.00278551532033426,0.0445682451253482,0.0389972144846797,0.00278551532033426,0.275766016713092,0.00278551532033426,0.00278551532033426,0.00278551532033426,0.0139275766016713,0.00278551532033426,0.011142061281337,0.0250696378830084,0.00278551532033426,0.0167130919220056,0.0167130919220056,0.00278551532033426,0.00557103064066852,0.00278551532033426,0.011142061281337,0.186629526462396,0.0584958217270195,0.00557103064066852,0.0362116991643454,0.0445682451253482,0.103064066852368,0.00278551532033426,0.0250696378830084,0.00278551532033426,0.00278551532033426,0.0139275766016713,0.00278551532033426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,0.0188679245283019,0.00838574423480084,0.00209643605870021,0.0314465408805031,0.0482180293501048,0.00419287211740042,0.343815513626834,0,0,0.00209643605870021,0.00419287211740042,0,0.00628930817610063,0.0125786163522013,0,0,0.010482180293501,0.00209643605870021,0.00419287211740042,0.00209643605870021,0.00419287211740042,0.123689727463312,0.10062893081761,0.00209643605870021,0.00209643605870021,0.0314465408805031,0.182389937106918,0.00419287211740042,0.0167714884696017,0,0,0.010482180293501,0,0.00419287211740042,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0.00209643605870021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,64,0.00665188470066519,0.0110864745011086,0.00221729490022173,0.0310421286031042,0.0443458980044346,0.00221729490022173,0.283813747228381,0,0.00221729490022173,0.00443458980044346,0.00221729490022173,0.00221729490022173,0.0155210643015521,0.0266075388026608,0.00221729490022173,0.00443458980044346,0.0133037694013304,0.00443458980044346,0.0110864745011086,0.0110864745011086,0.0155210643015521,0.133037694013304,0.0842572062084257,0.00221729490022173,0.0177383592017738,0.0620842572062084,0.124168514412417,0.00665188470066519,0.0266075388026608,0,0,0.0110864745011086,0,0.00665188470066519,0,0,0.00221729490022173,0.00221729490022173,0.00221729490022173,0.00221729490022173,0,0.00221729490022173,0.00221729490022173,0.00665188470066519,0.00221729490022173,0.00221729490022173,0.00221729490022173,0.00221729490022173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,188,0.00869565217391304,0.0115942028985507,0.00869565217391304,0.0231884057971014,0.0115942028985507,0.00289855072463768,0.243478260869565,0.00579710144927536,0,0.00869565217391304,0.00869565217391304,0,0.00869565217391304,0.0260869565217391,0.00289855072463768,0,0.0144927536231884,0,0.00869565217391304,0.00579710144927536,0.00869565217391304,0.16231884057971,0.156521739130435,0,0.00869565217391304,0.0405797101449275,0.188405797101449,0.00289855072463768,0.00289855072463768,0,0,0,0,0.0115942028985507,0,0,0,0,0.00289855072463768,0,0,0.00579710144927536,0,0,0,0,0,0,0.00289855072463768,0.00289855072463768,0.00289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,412,0.00304878048780488,0.00914634146341463,0,0.0213414634146341,0.00914634146341463,0.0152439024390244,0.314024390243902,0,0,0.00304878048780488,0.0121951219512195,0,0.00304878048780488,0.0121951219512195,0,0,0.00914634146341463,0,0.00609756097560976,0.00609756097560976,0.0213414634146341,0.0670731707317073,0.192073170731707,0,0.00304878048780488,0.0640243902439024,0.176829268292683,0.00609756097560976,0.0152439024390244,0,0,0.00304878048780488,0,0.00914634146341463,0,0,0.00304878048780488,0.00304878048780488,0,0,0.00304878048780488,0,0,0.00609756097560976,0,0,0,0,0,0,0,0.00304878048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,587,0.00344827586206897,0.0206896551724138,0,0.0344827586206897,0.0103448275862069,0.0103448275862069,0.262068965517241,0,0,0.00689655172413793,0.00344827586206897,0,0.0137931034482759,0.0241379310344828,0.00344827586206897,0,0,0,0.00344827586206897,0.00344827586206897,0.0206896551724138,0.231034482758621,0.113793103448276,0.00344827586206897,0.00689655172413793,0.0241379310344828,0.16551724137931,0,0.0206896551724138,0,0,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0.00689655172413793,0,0,0,0,0,0,0,0,0.00344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,781,0.00284090909090909,0.0142045454545455,0,0.0227272727272727,0.00284090909090909,0.0255681818181818,0.284090909090909,0.00568181818181818,0,0.00852272727272727,0.0170454545454545,0,0.0170454545454545,0.00852272727272727,0.00284090909090909,0.00284090909090909,0.00852272727272727,0,0.0142045454545455,0.00852272727272727,0.0255681818181818,0.119318181818182,0.181818181818182,0,0,0.0454545454545455,0.142045454545455,0.0113636363636364,0.0255681818181818,0,0,0,0,0,0,0,0,0,0.00284090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,886,0.0087463556851312,0.00583090379008746,0,0.0204081632653061,0.00583090379008746,0.0145772594752187,0.288629737609329,0,0,0,0.00291545189504373,0,0.0204081632653061,0.0087463556851312,0.00291545189504373,0,0.0116618075801749,0,0.0145772594752187,0.00291545189504373,0.0291545189504373,0.183673469387755,0.139941690962099,0,0.0174927113702624,0.0349854227405248,0.12536443148688,0.00583090379008746,0.032069970845481,0,0,0.0116618075801749,0,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583090379008746,0.00291545189504373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1110,0.0114285714285714,0.0171428571428571,0.00571428571428571,0.0485714285714286,0.0171428571428571,0.0171428571428571,0.231428571428571,0.00285714285714286,0.00285714285714286,0.00285714285714286,0.00857142857142857,0,0.0142857142857143,0.0114285714285714,0,0.00285714285714286,0.00571428571428571,0,0.00857142857142857,0.00857142857142857,0.02,0.26,0.122857142857143,0.00285714285714286,0.0171428571428571,0.06,0.0457142857142857,0.00571428571428571,0.0142857142857143,0,0,0.00857142857142857,0,0.00285714285714286,0,0,0.00285714285714286,0,0,0,0,0,0,0.00285714285714286,0,0,0,0,0,0.00285714285714286,0,0,0,0,0.00285714285714286,0.00285714285714286,0.00571428571428571,0.00285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1620,0.00546448087431694,0.00819672131147541,0,0.0191256830601093,0,0.00546448087431694,0.215846994535519,0.00273224043715847,0,0,0,0,0.0163934426229508,0.0245901639344262,0,0,0.0109289617486339,0,0.00819672131147541,0.00546448087431694,0.0191256830601093,0.278688524590164,0.204918032786885,0.00273224043715847,0.0109289617486339,0.0437158469945355,0.0846994535519126,0.00273224043715847,0.0163934426229508,0,0,0.00546448087431694,0,0,0,0,0,0,0.00546448087431694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273224043715847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,1767,0.0110497237569061,0,0,0.0773480662983425,0.00552486187845304,0.0110497237569061,0.171270718232044,0.00276243093922652,0,0.0110497237569061,0.00276243093922652,0.00276243093922652,0.0331491712707182,0.0193370165745856,0,0.00828729281767956,0.00552486187845304,0,0.0138121546961326,0.00276243093922652,0.0165745856353591,0.237569060773481,0.179558011049724,0,0.0193370165745856,0.0580110497237569,0.0497237569060773,0.00276243093922652,0.0331491712707182,0,0,0,0,0,0,0,0.00276243093922652,0,0.00276243093922652,0,0,0,0,0.00276243093922652,0,0,0,0,0,0.00552486187845304,0,0,0,0,0,0,0,0,0,0.00828729281767956,0.00276243093922652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,2062,0.00671140939597315,0.00335570469798658,0.00335570469798658,0.0771812080536913,0,0.0134228187919463,0.144295302013423,0,0.00671140939597315,0.0100671140939597,0.0100671140939597,0.00335570469798658,0,0.0268456375838926,0.00335570469798658,0,0.00335570469798658,0.00335570469798658,0.0134228187919463,0,0.0134228187919463,0.214765100671141,0.231543624161074,0,0.00335570469798658,0.063758389261745,0.0704697986577181,0.0100671140939597,0.0201342281879195,0,0.00335570469798658,0.0167785234899329,0,0.00335570469798658,0,0,0,0.00335570469798658,0.00335570469798658,0,0.00335570469798658,0,0,0.00335570469798658,0,0,0,0,0,0,0,0,0.00335570469798658,0,0,0,0,0,0,0.00335570469798658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
