"sample.depths","sample.ages","upland.sum","Abies","Acer.saccharum.type","Acer.rubrum","Alnus.incana.type","Ambrosia.type","Artemisia","Betula","Carya","Celtis","Corylus","Cyperaceae","Fagus","Fraxinus.nigra.type","Poaceae.undiff.","Ilex","Iva.xanthifolia.type","Larix","Nyssa","Ostrya.Carpinus","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus.tremuloides.type","Quercus","Tsuga","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Vaccinium","Vitis","Juniperus.Thuja","Polygonum","Amaranthaceae.undiff.","Fabaceae.undiff.","Morus","Salix","Thalictrum","Tilia","Urtica.type","Myrica","Comptonia.peregrina","Amorpha.type","Fraxinus.pennsylvanica.type","Asteraceae.subf..Cichorioideae","Plantago.major","Zea.mays","Shepherdia","Acer.undiff.","Juglans.cinerea","Cornus","Potentilla.type","Iva.annua.type","Castanea","Hydrophyllum","Sambucus","Dalea","Ranunculus","Liliaceae","Fraxinus.undiff.","Ledum.Chamaedaphne.calyculata","Lamiaceae","Juglans.nigra","Cannabaceae","Galium","Juglans.undiff.","Ephedra","Rhamnaceae","Rubus","Hypericum","Sarcobatus.vermiculatus","Alnus.viridis.type","Acer.spicatum","Laportea.type","Apiaceae","Saxifragaceae","Valeriana","Populus.balsamifera.type","Rosaceae.undiff.","Caryophyllaceae","Xanthium"
0,-85,359,3,8,1,16,14,1,99,1,1,1,5,1,4,9,1,6,6,1,2,1,4,67,21,2,13,16,37,1,9,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,477,9,4,1,15,23,2,164,0,0,1,2,0,3,6,0,0,5,1,2,1,2,59,48,1,1,15,87,2,8,0,0,5,0,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,64,451,3,5,1,14,20,1,128,0,1,2,1,1,7,12,1,2,6,2,5,5,7,60,38,1,8,28,56,3,12,0,0,5,0,3,0,0,1,1,1,1,0,1,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,188,345,3,4,3,8,4,1,84,2,0,3,3,0,3,9,1,0,5,0,3,2,3,56,54,0,3,14,65,1,1,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,412,328,1,3,0,7,3,5,103,0,0,1,4,0,1,4,0,0,3,0,2,2,7,22,63,0,1,21,58,2,5,0,0,1,0,3,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,587,290,1,6,0,10,3,3,76,0,0,2,1,0,4,7,1,0,0,0,1,1,6,67,33,1,2,7,48,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,781,352,1,5,0,8,1,9,100,2,0,3,6,0,6,3,1,1,3,0,5,3,9,42,64,0,0,16,50,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,886,343,3,2,0,7,2,5,99,0,0,0,1,0,7,3,1,0,4,0,5,1,10,63,48,0,6,12,43,2,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,1110,350,4,6,2,17,6,6,81,1,1,1,3,0,5,4,0,1,2,0,3,3,7,91,43,1,6,21,16,2,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,1620,366,2,3,0,7,0,2,79,1,0,0,0,0,6,9,0,0,4,0,3,2,7,102,75,1,4,16,31,1,6,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,1767,362,4,0,0,28,2,4,62,1,0,4,1,1,12,7,0,3,2,0,5,1,6,86,65,0,7,21,18,1,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,2062,298,2,1,1,23,0,4,43,0,2,3,3,1,0,8,1,0,1,1,4,0,4,64,69,0,1,19,21,3,6,0,1,5,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,2139,187,3,4,1,7,2,1,84,1,2,0,0,0,3,2,0,0,0,0,1,2,3,1,33,0,3,12,5,2,6,0,0,1,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,2217,343,4,7,1,11,0,1,97,0,0,0,2,1,7,3,0,1,0,0,5,1,0,97,44,1,1,14,28,3,7,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2297,378,3,4,1,10,2,1,92,0,1,0,1,0,3,4,1,0,2,0,2,6,3,117,50,1,1,21,33,2,7,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2378,332,2,4,1,17,3,2,62,0,0,1,5,1,3,4,0,0,4,0,3,3,3,95,49,0,5,11,34,2,8,0,0,1,0,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494,2484,335,0,4,0,8,0,1,72,0,3,1,1,1,4,2,0,0,2,0,4,1,5,110,45,0,1,15,39,3,6,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,2568,336,4,3,0,11,0,3,79,1,0,0,1,0,1,0,0,0,2,0,1,0,7,94,62,0,5,11,31,3,8,0,0,2,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,2653,300,1,3,1,9,0,1,76,0,1,2,3,0,6,5,1,0,2,0,3,1,6,85,36,1,3,20,19,1,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
524,2739,361,6,6,1,5,1,2,52,0,1,0,1,1,5,3,0,1,1,0,1,1,4,87,97,1,0,26,39,1,9,0,0,0,0,2,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,3096,334,2,5,1,14,4,2,60,0,0,1,1,0,1,2,0,0,2,1,1,1,8,124,64,0,3,19,11,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
600,3434,311,2,5,1,8,3,2,45,0,1,0,1,0,7,2,1,0,1,0,3,4,6,114,52,1,11,23,5,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660,4035,322,5,4,0,12,1,1,45,0,0,1,1,0,2,4,0,2,1,0,4,1,4,145,63,0,2,14,0,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
700,4460,346,1,6,1,14,2,0,58,1,1,0,4,0,5,10,0,0,4,0,7,1,6,109,70,0,4,22,0,1,10,0,0,2,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
760,5136,411,2,4,0,16,6,4,23,2,0,2,3,0,7,5,1,0,2,0,6,1,21,179,69,0,1,32,2,1,6,0,0,3,0,3,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
800,5611,315,3,2,0,14,5,2,25,0,0,1,2,0,4,1,0,1,1,0,1,2,10,99,80,0,4,35,0,3,4,0,1,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
830,5981,287,2,1,0,5,1,1,11,0,1,0,5,0,7,3,0,0,4,0,14,1,15,102,62,0,5,26,0,0,10,0,0,6,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
