"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharum","Adiantum","Alnus","Amaranthaceae.undiff.","Ambrosia","Arceuthobium","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Betula","Botrychium","Brassicaceae","Carya","Corylus","Cupressaceae","Cyperaceae","Dryopteris.type","Equisetum","Ericaceae","Fagus","Fraxinus.americana","Fraxinus.nigra","Humulus","Indeterminable","Iva.annua","Juglans.cinerea","Juglans.nigra","Larix","Lycopodium.type","Nymphaea","Osmunda","Ostrya.Carpinus","Picea","Pinus.banksiana.P..resinosa","Pinus.strobus","Pinus.undiff.","Plantago","Platanus","Poaceae.undiff.","Populus","Pteridium","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Sarracenia","Selaginella.selaginoides","Shepherdia.canadensis","Sphagnum","Thalictrum","Tilia","Tsuga","Typha.latifolia","Ulmus","Unknown","Vitis","Xanthium","Zea.mays"
3,53,0,0,4,0,4,4,103,0,5,4,0,13,0,1,1,0,0,1,3,0,11,1,0,0,0,16,0,0,0,0,0,0,0,1,1,0,0,6,3,1,22,2,1,7,0,3,1,0,0,0,0,3,0,1,3,0,9,0,1,2,1
10,235,3,0,13,0,5,0,0,0,0,0,0,23,0,0,3,1,0,14,0,0,23,23,1,3,0,1,0,0,0,0,0,0,0,11,10,0,0,34,0,1,1,0,1,30,0,0,13,0,0,0,0,16,1,0,23,0,19,0,0,0,0
20,480,0,0,13,0,0,0,3,0,0,0,0,33,0,0,1,2,0,0,0,0,31,25,2,1,0,3,0,0,0,0,0,0,0,4,5,0,0,32,0,0,1,0,0,21,0,0,3,0,0,0,0,25,0,1,36,0,20,0,0,0,0
30,724,7,0,15,0,5,0,1,0,0,0,0,25,0,0,1,0,1,11,0,0,0,25,2,4,0,5,0,0,1,0,0,0,0,3,10,0,0,31,0,1,0,0,0,28,0,0,0,0,0,0,0,9,1,2,30,0,13,0,0,0,0
40,969,1,0,20,0,3,1,0,1,0,0,0,48,0,0,1,0,0,3,1,0,22,29,0,5,0,3,0,1,0,0,1,0,0,3,4,0,0,29,0,0,0,0,2,13,0,0,0,0,0,0,0,14,0,0,18,0,26,0,0,0,0
50,1213,3,0,16,0,0,0,1,4,0,1,0,31,0,0,3,0,0,2,0,0,10,24,1,2,0,12,0,0,0,1,0,0,0,6,6,0,0,20,0,1,0,0,0,26,0,0,0,0,0,0,0,14,0,3,24,0,28,2,0,0,0
60,1458,1,0,3,0,0,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,44,2,2,0,3,0,0,0,3,0,0,0,12,7,0,0,15,0,0,0,0,0,23,0,0,0,0,0,0,0,11,0,2,29,0,24,0,0,0,0
70,1702,3,0,12,0,1,1,1,0,0,1,1,22,0,0,0,0,0,2,0,0,1,19,4,1,0,8,0,0,0,1,0,0,0,11,23,0,0,39,0,0,0,0,0,18,0,0,0,0,0,0,0,26,0,2,20,0,21,0,0,0,0
80,1947,3,1,16,0,1,0,0,0,0,1,0,21,1,0,6,1,0,0,1,0,0,26,3,0,0,8,0,2,0,0,2,0,0,4,10,0,0,43,0,0,0,0,0,11,0,0,0,0,0,0,0,20,0,2,25,0,25,0,0,0,0
90,2191,3,0,15,0,5,0,3,0,1,1,0,20,0,0,4,0,0,1,0,0,1,17,4,3,0,3,0,1,0,2,0,0,0,7,7,0,0,42,0,2,1,0,0,16,0,0,0,0,1,0,0,123,0,3,11,0,36,0,0,0,0
100,2435,2,0,13,0,1,0,2,0,0,1,0,27,0,0,2,0,0,4,0,0,0,20,1,1,0,8,0,1,0,0,0,0,0,6,8,0,0,28,0,1,3,0,0,25,0,0,0,0,0,0,0,46,0,4,17,0,38,0,0,0,0
110,2680,2,0,15,0,2,0,1,0,0,1,0,32,1,0,1,1,0,0,2,0,6,22,2,1,0,1,0,0,0,1,1,0,0,8,14,0,0,33,0,0,0,0,1,14,1,0,0,0,0,0,0,217,0,2,10,0,39,1,0,0,0
120,2924,4,0,12,0,0,0,2,0,1,0,0,22,0,0,3,0,0,0,0,0,7,20,3,0,0,7,0,0,0,1,0,0,0,11,9,0,0,54,0,0,0,0,1,11,0,0,0,0,0,0,0,304,0,12,17,0,18,0,0,0,0
130,3169,0,0,8,0,2,0,1,0,2,1,0,19,0,0,1,0,1,1,0,0,3,23,0,0,0,3,0,0,0,0,0,0,0,6,62,0,0,36,0,0,1,0,0,18,0,0,0,0,0,0,0,81,0,2,2,0,17,0,0,0,0
140,3413,5,0,16,0,2,1,0,0,3,1,0,20,0,0,1,0,0,7,2,0,3,24,0,5,0,5,0,2,0,2,0,0,0,19,3,0,0,39,0,0,0,0,0,22,0,0,0,0,0,0,0,34,0,0,6,0,31,0,0,0,0
150,3658,1,0,11,0,4,2,2,0,1,1,0,35,0,0,5,0,0,7,1,0,2,32,2,3,0,5,0,0,0,1,0,0,0,13,4,0,0,44,0,0,0,0,1,20,0,0,0,1,0,0,0,33,0,1,2,0,20,1,0,0,0
165,4024,1,0,17,0,1,0,0,0,5,0,0,36,0,0,2,0,1,1,0,0,0,21,4,1,0,3,0,2,0,3,0,0,0,6,4,0,0,29,0,2,0,0,3,20,0,0,0,0,0,0,0,16,1,0,7,0,37,0,0,0,0
175,4269,0,0,10,0,6,0,1,0,2,1,0,39,0,0,3,1,0,1,1,0,0,20,2,5,0,1,0,6,0,6,0,0,0,5,4,0,0,46,0,0,0,0,1,12,0,0,1,0,0,0,0,24,0,4,7,1,24,0,0,0,0
185,4513,2,0,19,0,1,0,2,0,0,0,0,32,0,0,4,1,0,5,4,0,3,18,1,4,0,9,0,3,0,3,0,0,0,8,2,0,0,47,0,1,1,0,0,22,0,0,0,0,0,0,0,8,1,1,7,0,21,0,0,0,0
195,4758,0,0,35,0,1,0,1,0,1,2,0,31,0,0,6,1,0,9,4,0,1,11,2,2,0,13,0,1,0,4,1,0,0,4,0,0,0,52,0,1,1,0,1,17,0,0,2,0,0,0,0,13,0,3,7,0,16,2,0,0,0
205,5002,0,0,14,0,4,0,1,0,2,0,0,35,0,0,1,0,7,3,18,0,0,5,0,7,0,23,0,0,0,8,1,0,0,4,3,0,0,53,0,1,2,0,0,15,1,0,0,0,0,0,0,1,0,1,19,0,21,2,0,1,0
215,5161,0,0,10,0,0,2,0,0,0,2,0,26,0,0,1,0,3,7,5,0,0,6,0,2,0,19,0,0,0,15,0,0,0,3,0,0,0,56,0,1,1,0,1,27,0,0,0,0,0,0,0,0,0,0,28,0,17,0,0,0,0
225,5235,0,0,15,0,3,0,1,0,0,1,0,23,0,0,0,0,3,6,16,0,1,5,1,3,0,1,0,0,0,9,0,0,0,1,2,0,0,46,0,0,1,0,0,25,0,0,0,0,0,0,0,2,0,1,38,0,25,1,0,0,0
235,5344,1,0,8,1,3,0,1,0,2,0,0,17,0,0,3,0,1,1,32,0,2,8,2,3,0,17,0,1,1,8,0,0,1,2,0,0,0,37,0,0,0,0,0,22,0,0,1,0,0,0,0,1,0,3,59,0,20,0,0,0,0
245,5453,0,0,22,0,3,0,2,0,1,0,0,13,0,0,2,0,1,1,2,0,0,7,0,4,0,11,0,0,0,9,1,0,0,1,0,0,0,36,0,2,1,0,1,15,0,0,0,0,0,0,0,0,0,3,61,0,20,3,0,0,0
255,5562,0,0,11,0,1,1,0,0,0,3,0,16,0,0,1,0,2,4,2,0,0,6,0,5,0,20,0,0,0,8,0,0,0,1,0,0,0,32,0,1,2,0,0,14,0,0,0,0,0,0,0,0,0,3,77,0,17,1,0,0,0
265,5671,0,0,12,0,0,1,0,0,1,0,0,13,0,0,1,0,0,14,4,0,1,5,0,6,0,14,0,0,0,10,0,0,0,1,0,0,0,35,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,70,0,30,1,0,0,0
275,5780,0,0,11,0,0,1,3,0,0,2,0,12,0,0,1,0,0,5,1,0,0,2,2,7,0,9,0,0,0,15,0,0,0,2,0,0,0,51,0,0,1,0,0,17,0,0,0,0,1,0,0,2,0,1,66,0,20,0,0,0,0
285,5889,0,0,12,0,2,0,2,0,2,0,0,6,0,0,1,0,0,8,3,0,0,7,0,5,0,16,0,0,0,12,0,0,0,1,0,0,0,61,0,0,0,0,4,10,0,0,0,0,0,0,0,1,0,1,83,0,10,1,0,0,0
295,5998,0,0,24,0,1,1,0,0,1,0,0,6,0,0,3,0,0,0,4,0,1,3,0,4,0,19,0,0,0,16,1,0,0,1,1,0,0,58,0,0,3,1,2,15,0,0,0,0,1,0,0,1,0,0,69,0,10,0,0,0,0
305,6107,0,0,10,0,0,0,1,0,1,0,0,3,0,0,0,0,3,2,0,0,0,4,0,5,0,10,0,0,0,4,0,0,0,1,0,0,0,41,0,2,2,0,0,16,0,0,1,0,0,0,0,0,0,0,96,0,11,2,0,0,0
315,6216,0,0,11,0,1,0,1,0,0,0,0,3,0,0,1,0,3,7,2,0,0,3,0,1,0,16,0,0,0,7,0,0,0,0,0,0,0,65,0,0,0,0,1,11,0,0,1,0,1,0,0,1,0,3,83,0,15,3,0,0,0
325,6325,0,0,12,0,1,2,0,0,0,0,0,2,0,0,0,0,1,7,3,0,0,1,1,4,0,19,0,0,0,37,0,0,0,0,0,0,0,71,0,1,0,1,2,5,0,0,1,0,2,0,0,0,0,1,89,0,6,4,0,0,0
335,6434,0,0,14,0,0,0,2,0,0,0,0,2,0,0,0,0,2,8,2,0,0,2,1,0,0,17,0,0,0,28,0,0,0,1,0,0,0,52,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,1,106,0,10,1,0,0,0
345,6543,1,0,25,0,0,0,2,0,1,1,0,3,0,0,5,0,1,16,9,0,0,17,0,5,0,15,1,0,0,41,0,0,0,2,0,0,0,52,0,1,1,0,1,24,0,0,1,0,0,0,0,0,0,2,34,0,22,1,0,0,0
355,6652,0,0,14,0,0,0,2,0,0,2,0,3,0,0,2,0,2,15,4,0,0,7,4,6,0,10,0,0,0,13,0,0,0,3,0,0,0,56,0,0,1,0,2,18,0,0,0,0,0,0,0,0,0,3,65,0,12,1,0,0,0
365,6761,0,0,17,0,0,2,2,0,0,1,0,1,0,0,0,0,1,6,4,0,0,0,0,3,0,11,0,0,0,13,0,0,0,0,0,0,0,47,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,2,110,0,6,0,0,0,0
375,6869,0,0,17,0,1,1,4,0,1,0,0,0,0,0,7,0,1,22,1,0,1,7,0,4,0,12,0,0,0,16,0,0,0,0,1,0,0,46,0,0,2,0,2,26,0,0,0,0,0,0,0,0,0,1,67,0,15,1,0,0,0
385,6978,1,0,10,0,0,0,2,0,1,0,0,2,0,0,3,0,0,22,0,0,0,12,1,4,0,3,0,0,0,12,0,0,1,3,1,0,0,49,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,89,0,13,0,0,0,0
395,7087,1,0,8,0,0,0,0,0,0,0,0,3,0,0,1,0,1,22,1,0,0,19,2,1,2,3,1,1,0,2,0,0,0,9,0,0,0,50,0,1,0,0,1,21,0,0,0,0,2,0,0,0,0,0,62,0,15,0,0,0,0
405,7196,1,0,3,0,0,0,3,0,2,1,0,4,0,0,1,0,2,10,0,0,0,1,1,3,0,4,0,0,0,8,0,0,0,5,1,0,0,65,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,4,68,0,15,0,0,0,0
415,7305,1,0,6,0,0,1,1,0,0,1,0,5,0,0,4,0,0,12,4,0,0,10,1,4,0,3,0,4,0,2,0,0,0,8,1,0,0,64,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,55,0,17,2,0,0,0
425,7414,2,0,5,0,1,1,0,0,0,0,0,2,0,0,2,0,2,5,3,0,0,7,3,3,0,6,0,0,0,5,0,0,0,3,1,0,0,73,0,0,0,0,0,23,0,0,1,0,0,0,0,1,0,4,41,0,27,0,0,0,0
435,7523,1,0,8,0,0,0,1,0,1,1,0,4,0,0,0,0,3,1,0,1,1,3,1,2,0,3,0,0,0,2,0,0,0,20,1,0,0,75,0,0,0,0,1,29,0,0,1,0,0,0,0,1,0,0,40,0,10,1,0,0,0
445,7632,2,0,6,0,0,0,3,0,1,0,0,13,0,0,1,0,0,2,2,0,0,0,1,2,0,4,0,1,0,0,0,0,0,4,0,0,0,111,0,1,0,0,1,22,0,0,0,0,0,0,0,0,0,1,21,0,10,0,0,0,0
455,7741,2,0,5,0,1,0,3,0,0,0,0,15,0,0,0,0,16,2,1,0,0,3,0,0,0,4,0,0,0,2,0,0,0,5,0,8,75,0,0,0,0,0,1,27,0,0,0,0,0,0,0,1,0,0,16,0,23,0,0,0,0
465,7850,8,0,6,0,0,1,2,0,0,1,0,2,0,0,1,0,2,4,4,1,0,3,0,0,0,101,0,2,0,1,0,0,0,2,2,0,0,123,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0
475,7959,1,0,10,0,0,0,0,0,0,0,0,14,0,0,2,0,4,3,0,0,0,0,0,1,0,2,0,0,1,1,1,0,0,4,1,19,109,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,3,6,0,13,1,0,0,0
485,8068,2,0,3,0,1,0,0,0,1,0,0,9,0,0,1,0,1,8,1,0,0,1,1,1,0,2,0,1,0,0,0,0,0,8,0,0,0,152,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,2,0,8,0,0,0,0
495,8177,2,0,5,0,0,1,1,0,2,0,0,14,0,0,0,0,1,55,0,0,0,0,0,1,0,3,0,1,0,5,0,1,0,9,2,11,124,0,0,0,0,0,1,12,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0
505,8850,3,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,2,1,0,0,0,1,3,0,5,0,0,0,3,0,0,0,5,3,77,77,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
515,9711,2,0,2,0,1,0,0,0,0,0,0,11,0,0,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,0,155,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0
525,10571,14,0,1,0,0,0,0,0,0,0,0,25,0,0,1,0,1,1,0,0,0,0,0,6,0,2,0,2,0,1,0,1,0,3,7,74,33,0,0,0,1,0,5,19,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0
535,11432,26,0,3,0,1,0,1,0,0,0,0,32,0,0,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,9,7,0,0,85,0,0,2,1,3,20,0,0,1,0,0,0,1,0,0,0,0,1,8,0,0,0,0
545,11448,19,0,1,0,0,0,0,0,0,0,0,34,0,0,1,0,0,3,1,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,23,0,0,110,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
550,11455,23,0,1,0,1,0,0,0,0,0,0,41,0,0,1,0,1,3,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,6,17,85,8,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
555,11463,13,0,3,0,0,0,1,0,0,2,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,2,0,2,0,0,0,2,32,0,0,99,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
560,11471,9,0,1,0,1,0,2,0,1,0,0,18,0,0,0,0,1,3,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,63,0,0,75,0,0,1,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
565,11478,1,0,0,0,0,0,2,0,2,1,0,9,0,0,0,0,1,7,1,0,0,0,0,2,0,2,0,2,0,1,0,0,0,2,68,0,0,84,0,0,0,1,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
570,11486,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,7,1,0,0,0,0,2,0,2,0,0,0,1,0,0,0,4,106,0,0,62,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
580,11502,1,0,0,0,2,0,1,0,1,1,0,3,0,0,1,0,0,16,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,144,36,0,0,0,0,1,1,1,6,0,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0
590,11517,2,0,0,0,0,0,1,0,3,2,0,3,0,0,0,0,0,17,3,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,158,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,11532,0,0,0,0,1,1,1,0,1,2,0,1,0,0,0,0,0,36,3,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,41,0,0,42,0,0,3,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,2,24,0,0,0
610,NA,0,0,0,0,3,0,2,0,1,2,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,33,0,0,32,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0
620,NA,0,0,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,11,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,26,0,0,47,0,0,3,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,92,0,0,0
630,NA,0,0,0,0,2,0,1,0,0,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,31,0,0,52,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,64,0,0,0
