"sample.depths","sample.ages","upland.sum","Abies","Artemisia","Betula","Carya","Amaranthaceae.undiff.","Cupressaceae","Ericaceae","Fagus","Juglans.cinerea","Juglans.nigra","Larix","Ostrya.Carpinus","Picea","Quercus","Rumex","Salix","Tilia","Tsuga","Ulmus","Alnus","Ambrosia","Pinus","Poaceae","Plantago","Acer.saccharum","Fraxinus.americana","Cyperaceae","Asteraceae.subf..Asteroideae.undiff.","Vitis","Myrica","Fraxinus.nigra","Xanthium","Apiaceae","Platanus","Populus","Celtis","Sarcobatus.vermiculatus","Iva.annua","Corylus","Polygonum.persicaria","Acer.rubrum","Thalictrum","Rosaceae","Onagraceae"
1,-25,212,1,2,27,1,1,1,1,18,2,1,4,9,3,24,1,2,2,9,27,2,16,29,10,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,21,216,2,1,36,2,1,0,1,20,0,0,0,11,6,25,0,0,0,14,27,4,11,18,6,0,21,3,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,73,211,2,1,33,0,1,3,4,30,0,0,0,6,2,19,2,0,2,14,27,3,14,19,6,0,13,4,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
30,124,218,3,3,26,1,1,0,6,17,2,0,1,6,5,24,3,0,0,25,30,5,13,18,2,0,19,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,370,205,0,1,24,4,0,0,0,31,0,0,2,9,1,15,0,0,2,29,30,2,0,30,1,0,18,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
50,810,212,2,0,35,3,0,0,4,31,0,0,0,8,5,20,0,1,1,24,26,1,0,19,0,0,23,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1251,213,2,0,28,4,0,0,2,35,1,0,2,5,4,16,0,0,1,21,33,4,0,29,0,0,19,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,1691,209,2,0,32,2,0,0,3,30,1,0,1,7,5,28,0,0,0,16,36,0,1,26,2,0,9,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
80,2131,211,0,0,28,2,0,0,3,38,0,0,0,5,6,21,0,0,1,17,34,1,0,25,0,0,23,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2572,207,2,0,24,2,0,0,2,34,0,0,0,5,4,14,0,0,6,19,42,2,1,24,1,0,18,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0
100,3012,212,3,2,27,0,0,0,4,35,4,0,3,7,4,12,0,0,1,16,39,1,2,28,1,0,17,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
110,3452,202,1,1,31,3,0,0,0,33,1,0,0,9,2,22,0,0,1,7,39,0,0,27,3,0,15,2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
120,3892,207,1,2,31,0,0,1,1,18,4,1,2,4,1,26,0,0,2,2,41,1,0,35,1,0,23,3,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
130,4333,206,1,0,31,4,0,0,1,32,3,0,0,1,2,23,0,0,1,11,44,1,4,27,0,0,15,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
140,4773,210,1,1,31,3,0,2,1,20,2,0,1,6,4,18,0,0,2,5,35,2,3,48,0,0,15,4,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
150,5213,215,0,2,32,4,0,0,3,20,0,0,2,10,7,35,0,0,0,6,29,1,0,37,0,0,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5362,205,0,0,13,4,1,1,0,10,1,0,3,5,0,22,0,0,1,75,36,0,1,24,0,0,3,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
170,5511,209,1,3,6,0,0,0,0,7,0,1,3,3,0,10,0,0,1,102,5,2,0,54,0,0,5,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
180,5660,206,0,2,6,2,0,1,0,18,1,0,0,2,1,7,0,0,1,67,26,0,0,57,0,0,5,1,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
190,5808,211,0,1,9,1,0,0,0,8,0,0,0,8,1,20,0,0,1,60,23,1,0,54,0,0,12,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
200,5957,207,0,0,4,0,0,0,0,6,0,0,0,4,1,4,0,0,0,111,11,2,0,52,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,6106,206,0,1,5,1,0,1,0,13,2,0,2,4,1,9,0,0,1,73,20,1,0,58,0,0,8,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
220,6255,203,1,2,6,1,0,0,0,9,0,0,0,3,0,10,0,0,0,78,31,0,0,51,0,0,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
230,6404,208,0,1,1,3,0,0,0,5,0,0,2,4,2,10,0,0,1,74,28,1,1,56,0,0,9,1,3,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
240,6552,208,0,0,2,6,0,3,0,7,1,0,2,5,0,14,0,0,1,57,16,1,2,76,0,0,6,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
250,6701,203,0,0,3,3,0,1,0,3,0,0,0,11,0,22,0,0,3,33,31,1,2,79,0,0,3,1,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0
260,6850,204,1,0,2,1,0,4,0,2,0,0,0,10,0,16,0,0,0,43,15,0,2,96,1,0,1,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
270,6999,204,1,1,2,3,1,5,0,2,0,1,0,12,0,31,0,0,1,19,17,0,2,95,0,0,2,2,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
280,7148,207,3,0,4,2,1,1,0,2,0,0,2,16,0,27,0,0,3,12,22,1,2,89,2,0,4,1,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
290,7296,205,4,3,9,2,0,2,0,0,2,0,0,9,0,18,0,0,1,14,17,0,4,102,0,0,4,3,5,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0
300,7445,205,2,0,5,0,0,1,0,4,1,0,0,10,0,27,0,0,0,14,16,0,1,108,0,0,6,1,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
310,7594,208,2,1,7,2,1,4,0,1,0,0,1,8,1,17,0,0,0,12,13,0,1,121,2,0,4,0,6,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
320,7743,207,5,0,9,0,0,0,0,1,1,1,3,10,2,21,0,0,0,6,17,0,0,115,0,0,8,1,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
330,7892,209,2,0,14,1,0,2,0,1,0,0,0,7,0,26,0,0,0,4,14,0,1,122,0,0,1,2,8,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
340,8169,226,5,0,12,0,0,1,0,0,0,0,1,9,1,18,0,0,2,0,11,1,1,133,0,0,4,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,8576,218,4,0,13,1,0,0,0,2,0,0,0,7,3,9,0,0,1,3,8,0,0,143,1,0,3,1,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,8983,209,5,0,20,0,0,0,0,0,0,0,1,5,4,16,0,0,0,2,11,0,2,129,1,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
370,9390,205,2,0,13,0,0,2,0,0,0,0,1,3,0,21,0,0,1,1,9,0,0,138,0,0,6,0,4,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
380,9797,200,4,0,22,1,0,0,0,0,1,0,1,7,2,22,0,1,0,1,7,0,2,124,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
390,10204,209,5,1,18,0,0,2,0,0,0,0,0,4,1,21,0,0,0,2,8,3,2,134,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,10611,199,8,1,35,1,0,0,0,0,0,0,1,5,6,15,0,0,0,1,12,0,0,108,0,0,1,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
410,11018,212,6,0,11,1,2,0,0,0,0,0,1,7,2,15,0,0,0,0,8,0,0,143,0,0,7,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
420,11425,201,8,0,46,0,0,0,0,0,0,0,1,6,4,34,0,0,0,0,8,0,0,90,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
430,11610,213,11,1,35,2,1,0,0,0,0,0,0,5,12,28,0,0,0,0,9,1,1,100,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
440,11796,200,9,0,43,1,0,0,0,0,0,0,1,11,13,21,0,1,0,1,4,1,0,87,0,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
450,11981,205,9,2,8,0,0,0,0,0,1,0,3,4,44,17,0,0,0,1,9,0,0,100,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,12166,200,1,0,4,2,0,1,0,0,3,0,1,8,61,19,0,1,0,0,1,2,1,76,1,0,1,0,7,2,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0
470,12352,205,1,3,3,1,0,0,0,0,0,0,3,0,76,8,0,1,0,1,9,0,0,93,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
480,12537,200,2,3,6,1,2,0,0,0,0,0,3,1,80,9,0,1,0,1,9,0,1,64,0,0,0,0,7,0,0,0,1,0,0,0,7,0,0,0,0,0,0,2,0,0
490,12723,201,1,1,1,0,0,0,0,0,0,0,0,1,130,7,0,0,0,1,1,0,1,38,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
500,NA,200,0,9,13,0,0,0,0,0,0,0,0,3,95,8,0,2,0,0,1,0,1,22,2,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
510,NA,100,0,1,1,1,0,0,0,0,0,0,0,1,15,2,0,0,0,0,0,0,1,9,4,0,0,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
