"depth","best.age","min.age","max.age"
0,0,-2,3
20,368,351,390
40,736,701,783
60,1104,1051,1174
80,1472,1402,1566
100,1841,1751,1958
120,2209,2101,2349
140,2577,2452,2741
160,2945,2802,3132
180,3313,3153,3525
200,3730,3566,3948
220,4296,4164,4443
240,4862,4748,4986
260,5427,5316,5552
280,5993,5874,6142
300,6627,6498,6805
310,7046,6916,7196
320,7466,7325,7608
330,7886,7729,8032
340,8305,8130,8463
350,8725,8528,8898
360,9144,8923,9339
380,9983,9701,10231
400,NA,NA,NA
420,NA,NA,NA
440,NA,NA,NA
450,NA,NA,NA
460,NA,NA,NA
470,NA,NA,NA
480,NA,NA,NA
490,NA,NA,NA
500,NA,NA,NA
