"sample.depths","sample.ages","Abies.balsamea","Acer.rubrum","Acer.saccharinum","Acer.saccharum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Amaranthaceae","Ambrosia.type","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Athyrium","Betula","Botrychium","Campanula.type","Carya.ovata","Caryophyllaceae","Castanea.dentata","cf..Callitriche","cf..Oxyria.digyna","Corylus.cornuta","Cyperaceae","Dryopteris","Dryopteris.type.undiff.","Equisetum","Ericaceae","Eriocaulon","Fabaceae.undiff.","Fagus","Fraxinus.americana.type","Fraxinus.nigra.type","Fraxinus.pennsylvanica.type","Huperzia.selago.type","Impatiens","Indeterminable","Isoëtes","Juglans.cinerea","Juglans.nigra","Juniperus.type","Juniperus.communis.Thuja.occidentalis.type","Larix","Lonicera","Lycopodiella.inundata","Lycopodium.annotinum.type","Lycopodium.clavatum","Myrica.gale","Nemopanthus.mucronatus","Nuphar","Nymphaea","Osmunda.cinnamomea","Osmunda.regalis.type","Ostrya.Carpinus","Oxytropis.maydelliana.type","Picea.glauca.type","Picea.mariana.type","Picea.undiff.","Pinus.banksiana.type","Pinus.resinosa.type","Pinus.strobus","Pinus.undiff.","Poaceae","Populus.balsamifera.type","Populus.tremuloides.type","Potamogetonaceae","Potamogetonaceae.Triglochin.undiff.","Prunus.pensylvanica","Quercus","Ranunculaceae.undiff.","Rosaceae.undiff.","Rubiaceae","Rumex.type","Sagittaria","Salix","Shepherdia.canadensis","Sphagnum","Taxus","Thalictrum","Tilia","Tsuga.canadensis","Typha.angustifolia","Typha.latifolia","Typha.Sparganium.undiff.","Ulmus","Unknown","Unknown..monolete.","Unknown..trilete."
0,0,4,1,0,2,1,58,26,4,4,2,15,0,158,0,0,0,0,0,1,0,2,0,0,0,0,7,0,0,0,0,4,0,0,0,0,7,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,87,22,128,0,12,26,2,0,11,0,0,0,2,0,2,0,0,0,5,0,12,0,1,0,1,0,0,0,5,0,0,0
20,368,8,0,0,1,0,6,17,1,0,5,0,1,165,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,2,0,3,2,0,0,0,0,0,0,2,0,7,0,0,0,0,1,1,0,0,0,0,1,0,1,154,28,78,2,15,24,1,0,0,0,0,0,11,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,4,0,0,1
40,736,4,0,0,2,2,49,19,1,2,4,3,0,157,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,3,0,4,0,2,0,0,2,0,0,14,2,3,0,0,2,1,1,0,1,0,0,0,1,0,0,79,22,111,0,38,28,1,0,0,0,0,0,10,0,4,0,0,0,0,0,7,2,1,0,4,0,0,0,4,0,0,0
60,1104,9,2,0,1,0,16,18,0,0,5,2,0,212,0,0,0,0,0,1,0,0,4,0,0,0,3,0,0,1,0,2,0,2,0,0,4,0,0,14,0,1,0,0,0,4,2,0,1,1,0,0,4,0,0,130,18,69,0,11,18,6,0,2,0,0,0,10,1,1,0,0,0,0,0,16,0,0,0,2,0,0,0,4,0,0,0
80,1472,6,0,0,0,0,35,18,2,0,3,2,0,99,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,7,2,10,0,0,1,0,1,0,0,0,0,0,1,0,1,42,27,89,0,27,24,1,0,3,0,0,0,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0
100,1841,6,0,0,1,0,23,18,1,0,1,3,0,213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,7,11,0,0,1,0,3,0,0,0,0,1,1,0,1,53,16,98,1,27,28,1,0,5,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,6,0,0,0
120,2209,16,0,0,1,0,38,27,1,1,1,0,0,184,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,12,13,4,0,0,0,0,8,0,0,0,0,0,2,0,0,59,14,68,0,56,54,3,0,5,0,0,0,5,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,5,1,3,2
140,2577,2,0,0,0,0,89,28,0,0,3,2,0,233,0,0,0,0,0,2,0,1,7,0,0,0,1,1,0,2,1,5,1,1,0,0,5,1,0,11,10,5,0,0,1,0,2,0,0,0,0,0,1,0,0,73,17,155,4,60,66,5,1,2,0,0,0,15,0,1,1,0,0,0,0,7,3,1,0,1,0,0,1,9,0,1,0
160,2945,2,0,0,1,0,24,15,0,0,1,1,0,193,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,23,2,4,0,0,1,0,0,0,0,0,0,0,5,0,0,71,13,121,0,76,46,5,0,2,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,0,0
180,3313,7,0,0,0,0,36,13,0,0,2,1,0,107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0,0,14,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,54,8,116,0,61,25,3,0,2,0,0,0,2,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0
200,3730,14,1,0,0,2,42,13,0,0,3,3,0,195,0,0,0,1,0,0,0,0,8,0,1,0,1,4,0,1,0,4,1,0,0,0,1,0,0,79,6,6,1,0,0,0,2,0,0,0,0,0,2,0,3,68,28,90,4,152,57,2,0,13,0,0,1,14,0,0,0,0,0,2,0,3,3,0,0,2,0,0,0,7,0,5,0
220,4296,4,0,0,3,1,20,6,4,1,5,3,0,165,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,6,2,0,0,0,0,0,0,50,2,2,0,0,1,0,3,0,0,2,0,0,0,0,0,27,4,41,0,43,8,0,0,9,0,0,0,11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0
240,4862,6,0,0,0,0,21,10,0,0,3,0,0,128,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,44,42,5,0,0,0,0,5,0,0,0,0,0,0,0,0,47,14,59,0,70,39,0,3,7,0,0,0,6,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,5,0,0,2
260,5427,3,0,0,3,0,32,10,0,0,5,0,0,116,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,64,2,2,0,0,0,0,4,0,0,0,0,0,5,0,1,32,5,73,0,104,27,2,0,7,0,0,0,13,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,3,0,0,2
280,5993,5,0,0,1,0,36,8,1,0,3,0,0,46,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19,6,62,0,91,27,2,0,10,1,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
300,6627,3,0,0,1,0,25,8,2,0,1,3,0,46,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,2,0,3,1,0,0,0,1,0,0,220,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,19,11,78,0,95,32,3,0,7,2,0,0,11,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,10,0,0,0
310,7046,2,0,0,1,0,3,15,2,1,2,3,0,36,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,10,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,20,8,27,0,133,90,3,0,12,0,0,0,3,0,0,0,0,1,2,0,1,4,0,0,0,0,0,0,6,0,1,3
320,7466,7,0,0,3,0,5,15,5,3,8,3,0,107,0,0,0,0,0,4,0,3,4,0,0,0,1,0,0,5,0,4,4,0,0,0,0,0,0,12,3,1,0,0,0,2,1,0,1,0,0,0,3,0,0,53,4,79,0,327,49,5,2,27,1,0,0,20,0,0,0,0,0,1,0,4,12,0,0,1,0,0,0,6,0,0,1
330,7886,4,0,0,1,0,3,14,0,0,2,0,0,53,0,0,1,1,0,0,0,3,4,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,10,10,3,0,0,2,0,1,0,0,0,0,0,3,0,0,24,7,41,0,120,46,1,0,27,1,0,0,10,0,0,0,0,1,0,0,3,5,0,0,1,0,1,0,12,0,4,2
340,8305,2,1,0,2,0,2,18,2,0,3,7,0,109,0,0,2,0,0,3,0,4,5,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,11,1,1,0,0,0,1,0,0,1,0,0,0,6,0,0,44,12,201,0,59,35,6,2,35,1,0,0,15,0,2,0,0,0,1,0,3,2,0,0,0,0,0,0,10,0,0,8
350,8725,5,0,0,3,0,3,14,0,4,3,3,0,136,0,0,0,4,1,3,0,2,9,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,12,12,11,0,0,0,2,0,0,0,0,0,0,1,0,0,52,10,122,0,99,67,6,1,60,0,0,0,14,0,0,0,1,0,6,0,2,4,0,0,0,0,0,0,6,0,3,5
360,9144,7,0,0,0,0,4,63,4,0,11,11,0,177,0,0,0,0,0,2,0,0,12,5,5,2,0,0,0,0,0,2,0,0,0,0,0,0,1,73,3,22,0,0,0,1,0,0,0,0,0,0,0,0,1,11,9,59,0,19,10,5,0,41,0,0,0,9,0,1,0,0,0,5,0,0,0,0,0,0,2,1,0,7,0,0,2
