"sample.depths","sample.ages","upland.sum","Acer.rubrum","Acer.spicatum","Alnus.incana.type","Alnus.viridis.type","Ambrosia.type","Artemisia","Betula","Ericaceae","Fraxinus.nigra.type","Picea.glauca.type","Picea.mariana.type","Pinus.undiff.","Populus.tremuloides.type","Quercus","Salix","Thalictrum","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Rosaceae.undiff.","Juniperus.type","Amaranthaceae","Poaceae","Abies.balsamea","Acer.saccharum","Corylus.cornuta","Myrica.gale","Pinus.banksiana.type","Pinus.strobus","Tsuga.canadensis","Picea.undiff.","Cyperaceae","Fagus","Fraxinus.pennsylvanica.type","Larix","Ostrya.Carpinus","Taxus","Nemopanthus.mucronatus","Pinus.resinosa.type","Juniperus.communis.Thuja.occidentalis.type","Ranunculaceae.undiff.","Campanula.type","Juglans.cinerea","Populus.balsamifera.type","Fraxinus.americana.type","Rubiaceae","Caryophyllaceae","Lonicera","Prunus.pensylvanica","Tilia","Fabaceae.undiff.","Carya.ovata","Castanea.dentata","Rumex.type","Juglans.nigra","cf..Oxyria.digyna","Impatiens","Acer.saccharinum","Shepherdia.canadensis","Oxytropis.maydelliana.type"
0,0,602,1,1,58,26,4,2,158,7,4,2,87,26,11,2,5,1,15,5,2,2,4,2,4,2,2,6,128,12,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,368,546,0,0,6,17,0,5,165,2,3,1,154,24,0,11,0,0,0,4,0,2,1,1,8,1,0,1,78,15,1,28,2,2,2,7,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,736,580,0,2,49,19,2,4,157,1,4,0,79,28,0,10,0,1,3,4,4,14,1,1,4,2,1,1,111,38,4,22,3,3,0,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1104,568,2,0,16,18,0,5,212,3,2,0,130,18,2,10,0,0,2,4,1,14,0,6,9,1,0,2,69,11,2,18,4,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1472,425,0,0,35,18,0,3,99,0,3,1,42,24,3,15,0,0,2,2,0,7,2,1,6,0,0,1,89,27,0,27,3,2,0,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1841,546,0,0,23,18,0,1,213,0,0,1,53,28,5,7,0,0,3,6,0,7,1,1,6,1,0,3,98,27,2,16,1,5,0,11,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2209,585,0,0,38,27,1,1,184,0,1,0,59,54,5,5,1,0,0,5,0,12,1,3,16,1,0,8,68,56,0,14,3,1,1,4,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2577,819,0,0,89,28,0,3,233,1,5,0,73,66,2,15,0,1,2,9,1,11,0,5,2,0,1,2,155,60,1,17,7,2,1,5,1,3,0,4,10,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2945,622,0,0,24,15,0,1,193,0,1,0,71,46,2,5,0,0,1,4,0,23,0,5,2,1,1,0,121,76,0,13,2,3,1,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,3313,463,0,0,36,13,0,2,107,0,2,0,54,25,2,2,1,0,1,2,0,14,0,3,7,0,1,1,116,61,0,8,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,3730,831,1,2,42,13,0,3,195,1,4,3,68,57,13,14,2,0,3,7,0,79,0,2,14,0,0,2,90,152,2,28,8,1,1,6,2,3,0,4,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
220,4296,429,0,1,20,6,1,5,165,1,6,0,27,8,9,11,1,0,3,4,0,50,4,0,4,3,0,3,41,43,0,4,0,2,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,4862,522,0,0,21,10,0,3,128,0,3,0,47,39,7,6,0,0,0,5,0,44,0,0,6,0,2,5,59,70,0,14,0,1,1,5,0,0,0,0,42,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
260,5427,525,0,0,32,10,0,5,116,0,4,1,32,27,7,13,1,0,0,3,0,64,0,2,3,3,1,4,73,104,1,5,2,1,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
