"sample.depths","sample.ages","Abies","Acer.rubrum","Acer.saccharinum.type","Acer.saccharum.type","Acer.undiff.","Alnus.undiff.","Alnus.viridis.type","Amaranthaceae.undiff.","Ambrosia.type","Artemisia","Betula","Carya","Corylus","Cupressaceae","Cyperaceae","Ericaceae","Fraxinus","Herbs.undiff.","Juglans","Larix","Lycopodium.type","Morus","Myricaceae","Nuphar","Nymphaea","Ostrya.Carpinus","Picea","Pinus","Pinus.subg..Pinus","Pinus.subg..Strobus","Platanus","Populus","Quercus","Rosaceae","Rumex","Salix","Sarcobatus.vermiculatus","Shepherdia","Shrubs.undiff.","Sphagnum","Tilia","Trees.undiff.","Tsuga","Typha.Sparganium","Ulmus","Unknown"
0,1,8,3,0,13,0,7,12,6,22,4,150,1,0,3,16,0,2,2,0,1,3,0,0,1,0,4,43,344,269,25,1,3,28,0,3,1,0,0,0,1,0,1,24,0,4,3
15,122,2,3,1,7,0,3,10,2,5,2,136,0,0,1,6,0,2,0,0,0,1,0,1,0,0,8,27,162,117,96,1,0,15,3,0,4,0,0,1,0,1,0,14,1,2,1
25,1252,2,1,0,2,0,0,11,1,2,0,100,0,0,6,15,0,2,2,0,0,2,0,0,5,0,2,9,254,159,36,0,0,16,0,0,0,0,0,2,0,0,0,9,0,5,1
35,2195,1,3,0,3,0,7,4,2,2,2,98,1,1,3,8,0,1,0,0,0,0,0,0,2,0,5,8,238,176,12,0,0,14,0,0,3,0,0,0,0,0,0,11,0,4,0
50,2491,3,0,0,3,1,3,7,1,3,2,81,0,0,9,13,0,7,1,0,0,2,0,2,2,0,6,6,281,240,92,0,3,14,0,0,1,0,0,0,0,0,0,18,1,2,2
65,2823,0,3,2,7,1,5,4,0,2,3,91,1,0,0,18,1,2,0,0,0,0,0,0,6,1,13,3,363,285,29,1,1,15,0,0,1,0,0,0,0,0,0,13,0,5,1
75,2989,1,1,0,5,0,2,3,0,4,3,35,0,0,3,12,0,1,0,0,0,0,0,0,1,1,2,1,227,184,94,0,0,14,0,0,1,0,0,0,0,0,0,5,0,1,2
80,3059,2,1,0,7,1,3,8,3,2,0,55,1,0,2,13,0,1,1,0,0,2,0,0,5,0,5,4,345,267,29,0,0,14,0,0,1,0,1,0,0,0,0,5,0,3,3
100,3659,1,1,0,4,1,2,6,2,1,3,46,0,1,7,11,0,1,1,0,0,0,0,0,7,0,4,5,263,226,88,0,4,10,0,0,0,0,0,1,0,1,0,6,1,1,1
125,5095,1,2,0,13,0,2,13,3,5,3,49,0,0,5,14,0,3,5,0,0,1,0,0,2,2,7,3,438,334,4,1,3,36,1,0,0,0,0,0,0,1,0,16,5,6,2
130,5247,3,2,0,11,0,1,6,0,4,5,62,0,1,13,26,0,7,6,0,0,1,0,0,2,2,8,0,544,483,61,0,2,39,0,0,0,0,0,0,0,0,0,1,2,3,3
155,6000,0,1,0,1,0,0,3,4,3,2,5,0,0,3,5,0,1,0,0,0,0,0,0,5,0,2,0,260,210,1,0,1,19,0,0,0,0,0,0,0,0,1,1,0,7,1
170,6421,2,0,0,8,0,5,5,7,3,9,61,0,2,2,19,0,3,0,0,0,0,0,1,1,3,22,3,884,586,99,3,1,31,0,0,0,0,0,1,0,0,0,0,0,16,3
175,6561,0,0,0,3,1,1,7,7,6,0,44,0,0,0,26,0,7,2,0,0,1,0,0,1,0,8,4,550,375,74,0,0,11,0,0,2,0,0,0,0,1,1,0,0,13,0
190,6982,3,0,0,0,0,1,5,3,3,10,26,0,0,3,14,0,4,2,0,0,0,0,1,1,0,1,5,155,101,5,1,1,4,1,0,0,0,0,0,0,0,0,0,0,2,0
200,7262,0,0,0,1,0,3,0,0,4,1,26,1,0,1,10,0,0,0,0,0,0,0,0,2,0,4,8,194,127,73,1,4,5,0,0,2,0,0,0,0,0,0,0,1,1,1
210,7542,3,1,0,0,0,1,1,1,4,9,31,0,0,0,13,0,0,3,0,0,0,0,0,1,0,4,5,184,90,44,0,2,2,0,0,1,0,0,0,0,0,0,0,1,2,2
220,7822,2,0,0,1,0,7,7,1,5,7,44,0,0,2,21,0,0,0,1,0,0,0,0,2,0,5,7,356,140,67,1,1,9,0,0,1,0,0,0,0,0,0,0,0,3,1
230,8103,2,0,0,3,0,3,5,4,2,5,25,0,1,1,11,0,2,1,0,2,2,0,0,1,0,2,2,243,96,97,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,2
235,8243,14,0,0,2,0,8,13,1,9,18,90,2,0,6,24,0,7,5,1,7,0,1,2,3,0,8,24,762,312,52,0,5,15,0,0,2,0,0,2,0,0,0,0,0,12,2
245,8430,0,0,0,2,0,3,6,2,5,14,23,1,1,2,13,0,1,1,0,0,0,0,0,1,0,1,9,286,82,55,0,2,6,0,0,0,0,0,1,0,0,0,0,0,7,1
260,8712,0,0,0,0,0,2,3,1,1,13,9,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,228,28,78,0,1,6,0,0,0,0,0,0,0,0,0,0,0,5,2
275,8984,0,0,0,0,0,2,2,3,5,2,11,0,0,0,38,0,0,1,0,0,0,0,0,2,0,0,13,278,19,70,0,1,5,0,0,1,0,0,0,0,0,0,0,0,2,2
285,9142,1,0,0,0,0,2,2,1,0,9,10,0,0,1,5,0,0,2,0,0,1,0,0,0,0,1,11,249,12,89,1,2,6,0,0,2,0,0,0,0,0,0,0,0,4,2
290,9221,0,0,0,0,0,0,1,2,0,8,7,0,0,0,6,0,3,2,0,0,1,0,0,0,0,0,14,347,12,86,0,1,9,1,0,1,0,0,0,0,0,0,0,1,6,1
300,9378,0,0,0,0,0,1,1,0,4,8,9,0,2,1,13,0,1,3,1,0,0,0,0,2,0,3,13,238,5,84,0,2,12,0,0,2,1,0,0,0,0,0,0,2,7,4
320,9693,1,0,0,0,0,1,0,2,2,4,9,0,0,0,8,0,2,18,2,0,0,0,0,2,0,5,20,327,7,71,0,1,10,0,0,2,0,0,0,0,1,0,0,0,8,0
325,9771,1,0,0,0,0,0,1,2,5,9,9,1,0,1,12,0,2,3,0,0,0,0,0,0,0,5,17,241,6,85,0,1,7,1,0,2,0,0,0,0,0,0,0,0,11,0
330,9850,2,0,0,0,0,0,0,0,2,29,9,1,0,4,3,0,0,29,0,0,0,0,0,0,0,1,27,322,7,16,0,1,5,0,0,0,0,0,0,0,1,0,0,1,8,0
345,10086,1,0,0,1,0,0,0,0,1,117,7,1,0,6,17,0,5,32,0,1,0,0,0,0,0,5,66,176,4,22,0,3,9,0,0,3,0,0,0,0,0,0,0,1,5,0
350,10165,0,0,0,0,0,0,0,0,2,87,5,0,0,1,23,0,1,8,0,0,0,0,0,0,0,1,37,159,4,5,0,1,9,0,0,2,0,0,0,1,0,0,0,0,2,1
352,10196,1,0,0,0,0,2,1,1,6,40,5,1,0,0,9,0,0,16,1,1,0,0,0,1,0,5,35,224,6,69,0,3,12,0,0,4,0,0,0,0,0,0,0,0,9,0
355,10244,0,0,0,0,0,0,0,1,2,79,3,0,2,2,16,0,4,45,0,0,0,0,1,0,0,1,51,65,2,64,0,1,8,0,0,0,0,0,0,0,0,0,0,0,3,4
356,10259,0,0,0,0,0,0,2,1,4,63,7,3,0,1,12,0,1,69,2,0,0,0,0,0,0,5,68,98,2,97,0,5,12,0,0,1,0,0,0,0,0,0,0,1,11,3
357,NA,3,0,0,2,0,0,0,1,4,22,7,3,1,2,22,0,3,91,2,1,0,0,0,0,0,4,85,108,2,6,1,0,12,0,0,3,0,0,0,0,0,0,0,1,16,2
358,NA,0,0,0,1,1,2,1,1,9,38,9,1,2,26,50,0,2,20,3,0,1,0,0,0,0,5,58,78,2,77,0,13,22,0,0,0,0,0,0,2,0,0,0,0,30,4
359,NA,0,0,0,6,0,0,4,5,5,57,15,1,0,3,21,0,3,6,0,1,1,0,0,0,0,3,43,68,2,67,1,43,24,0,0,0,0,0,0,0,0,0,0,0,20,3
